UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-10-12 16:00:00,2024-07-17 00:00:00,3.1,5.503264596452169,289.3417646855196,280.0418079517,237.75810711570685,1.1034015105440145,22198.72353,22119.40288,8635.03791,834.52308,364.30504,14247.52056,293.78643
2023-10-12 17:00:00,2024-07-17 00:00:00,3.1,5.503264596452169,289.3417646855196,280.0418079517,237.75810711570685,1.1034015105440145,22755.69309,22997.13659,8635.26071,829.20987,384.32713,14281.3879,299.4692
2023-10-12 18:00:00,2024-07-17 00:00:00,3.1,5.503264596452169,289.3417646855196,280.0418079517,237.75810711570685,1.1034015105440145,22935.35921,23733.45061,8639.6336,822.98324,432.36916,14182.94329,293.96249
2023-10-12 19:00:00,2024-07-17 00:00:00,3.1,5.341307201186777,289.9641764486107,279.76746287040805,386.2457893458799,0.4848948414120255,22927.23573,24386.60972,8650.37026,848.04303,481.44604,13959.58411,300.84084
2023-10-12 20:00:00,2024-07-17 00:00:00,3.1,5.341307201186777,289.9641764486107,279.76746287040805,386.2457893458799,0.4848948414120255,22835.1961,24815.05471,8657.66083,891.30812,526.24704,13800.80367,295.05559
2023-10-12 21:00:00,2024-07-17 00:00:00,3.1,5.341307201186777,289.9641764486107,279.76746287040805,386.2457893458799,0.4848948414120255,22927.24431,25314.84548,8664.49143,958.26297,552.91601,13651.89463,293.82058
2023-10-12 22:00:00,2024-07-17 00:00:00,3.1,4.751148979266702,287.6100513305036,279.7394503342752,261.7241320429944,0.9671021565684174,23157.79617,25353.1064,8671.38263,1012.04765,577.36375,13437.93916,293.70831
2023-10-12 23:00:00,2024-07-17 00:00:00,3.1,4.751148979266702,287.6100513305036,279.7394503342752,261.7241320429944,0.9671021565684174,23347.36368,25287.89057,8682.46272,1056.28514,575.81751,13465.4276,303.38557
2023-10-13 00:00:00,2024-07-17 00:00:00,3.1,4.751148979266702,287.6100513305036,279.7394503342752,261.7241320429944,0.9671021565684174,23601.7688,26754.02775,8780.55536,961.79459,456.00261,13361.2787,293.87535
2023-10-13 01:00:00,2024-07-17 00:00:00,3.1,4.511393389097689,285.7126042987649,279.2015759847189,0.4972228535720308,0.4437230109472772,23934.35073,26099.70544,8780.62092,961.37207,468.88008,13448.85819,300.35652
2023-10-13 02:00:00,2024-07-17 00:00:00,3.1,4.511393389097689,285.7126042987649,279.2015759847189,0.4972228535720308,0.4437230109472772,23770.86076,25336.54787,8774.79699,962.57755,482.61675,13436.07707,310.48817
2023-10-13 03:00:00,2024-07-17 00:00:00,3.1,4.511393389097689,285.7126042987649,279.2015759847189,0.4972228535720308,0.4437230109472772,23333.90752,24557.06655,8775.30357,797.72251,498.81831,13435.67202,316.09567
2023-10-13 04:00:00,2024-07-17 00:00:00,3.1,4.419636354030335,284.5849382475864,278.76228226187635,0.2486406053076521,0.80156071989271,22563.40453,23728.39531,8786.92607,668.12144,472.77915,13655.24727,313.24551
2023-10-13 05:00:00,2024-07-17 00:00:00,3.1,4.419636354030335,284.5849382475864,278.76228226187635,0.2486406053076521,0.80156071989271,21245.91599,22999.70449,8790.12925,652.49564,438.41046,13843.99457,318.31244
2023-10-13 06:00:00,2024-07-17 00:00:00,3.1,4.419636354030335,284.5849382475864,278.76228226187635,0.2486406053076521,0.80156071989271,19765.13598,22306.24249,8799.81977,643.45935,375.927,13802.20825,322.98331
2023-10-13 07:00:00,2024-07-17 00:00:00,3.1,4.396957941697422,283.67525879147416,278.37572362270646,0.0,0.2799174488320058,18502.92379,21880.42443,8812.32849,634.62035,331.6577,13877.80799,326.20751
2023-10-13 08:00:00,2024-07-17 00:00:00,3.1,4.396957941697422,283.67525879147416,278.37572362270646,0.0,0.2799174488320058,17421.22106,21388.1227,8817.9807,654.79557,310.46014,13952.91089,330.64011
2023-10-13 09:00:00,2024-07-17 00:00:00,3.1,4.396957941697422,283.67525879147416,278.37572362270646,0.0,0.2799174488320058,16799.3141,20861.45618,8816.45563,644.97505,296.82261,13924.46664,326.75088
2023-10-13 10:00:00,2024-07-17 00:00:00,3.1,4.393039501004505,282.93476643925817,278.016089831691,0.0430858091769701,0.481064809469484,16645.94012,20225.80414,8818.66395,693.60417,318.01685,13786.18377,318.3149
2023-10-13 11:00:00,2024-07-17 00:00:00,3.1,4.393039501004505,282.93476643925817,278.016089831691,0.0430858091769701,0.481064809469484,16935.12566,19912.57525,8830.26682,669.49916,332.2904,13624.38289,319.24134
2023-10-13 12:00:00,2024-07-17 00:00:00,3.1,4.393039501004505,282.93476643925817,278.016089831691,0.0430858091769701,0.481064809469484,17652.57121,19903.07912,8843.53331,654.56277,324.05252,13467.58109,318.19999
2023-10-13 13:00:00,2024-07-17 00:00:00,3.1,5.120240349960616,285.1708260023003,278.00755975580734,108.98908131580802,0.1413438741989053,18623.17187,20279.83336,8845.64671,755.84031,322.6258,13404.3341,318.76059
2023-10-13 14:00:00,2024-07-17 00:00:00,3.1,5.120240349960616,285.1708260023003,278.00755975580734,108.98908131580802,0.1413438741989053,19878.21124,20760.2562,8843.87998,835.9158,339.34489,13068.80067,314.90778
2023-10-13 15:00:00,2024-07-17 00:00:00,3.1,5.120240349960616,285.1708260023003,278.00755975580734,108.98908131580802,0.1413438741989053,21048.8763,21142.07112,8844.2905,903.50327,356.72994,12897.0424,316.66159
2023-10-13 16:00:00,2024-07-17 00:00:00,3.1,5.418672440549669,288.22374825162103,277.7294878385571,262.64433933782595,0.2676783032621228,21986.58175,21942.74097,8847.88343,942.70472,347.75007,12575.53148,321.15488
2023-10-13 17:00:00,2024-07-17 00:00:00,3.1,5.418672440549669,288.22374825162103,277.7294878385571,262.64433933782595,0.2676783032621228,22668.62241,22884.18787,8850.43633,975.26173,346.14924,12334.01036,327.06843
2023-10-13 18:00:00,2024-07-17 00:00:00,3.1,5.418672440549669,288.22374825162103,277.7294878385571,262.64433933782595,0.2676783032621228,22990.08405,23702.59555,8854.90728,1002.29707,366.49951,11968.26821,321.42154
2023-10-13 19:00:00,2024-07-17 00:00:00,3.1,5.34528074262252,289.30033207808003,277.6138456108351,447.1196513169082,0.0869802688946053,23125.39453,24451.95837,8862.39216,1032.27775,387.67921,11547.14487,328.10486
2023-10-13 20:00:00,2024-07-17 00:00:00,3.1,5.34528074262252,289.30033207808003,277.6138456108351,447.1196513169082,0.0869802688946053,23174.89936,24973.33346,8867.43277,1054.86238,403.12609,11182.88526,321.9527
2023-10-13 21:00:00,2024-07-17 00:00:00,3.1,5.34528074262252,289.30033207808003,277.6138456108351,447.1196513169082,0.0869802688946053,23384.3233,25565.17287,8876.64893,1086.45657,407.10447,10868.69157,320.36196
2023-10-13 22:00:00,2024-07-17 00:00:00,3.1,4.506641234469111,286.77618124656294,277.74958173282744,298.9259542785509,0.1335219785194903,23701.86001,25676.66055,8885.00669,1095.94483,413.42253,10576.65939,320.35034
2023-10-13 23:00:00,2024-07-17 00:00:00,3.1,4.506641234469111,286.77618124656294,277.74958173282744,298.9259542785509,0.1335219785194903,23964.08603,25663.50979,8893.95889,1096.75627,406.9579,10458.46175,330.19896
2023-10-14 00:00:00,2024-07-17 00:00:00,3.1,4.506641234469111,286.77618124656294,277.74958173282744,298.9259542785509,0.1335219785194903,24196.11323,27204.71178,8904.10301,877.5572,403.40836,9519.15611,320.52797
2023-10-14 01:00:00,2024-07-17 00:00:00,3.1,4.281436799698998,284.64078466797434,277.44665236865745,0.4176879922048175,0.0351609566968342,24549.29732,26545.72592,8904.23852,912.12185,418.06243,9776.08684,326.50238
2023-10-14 02:00:00,2024-07-17 00:00:00,3.1,4.281436799698998,284.64078466797434,277.44665236865745,0.4176879922048175,0.0351609566968342,24387.1786,25760.44469,8897.30787,956.83308,434.76157,9957.96276,336.8042
2023-10-14 03:00:00,2024-07-17 00:00:00,3.1,4.281436799698998,284.64078466797434,277.44665236865745,0.4176879922048175,0.0351609566968342,23945.11587,24942.87553,8896.83502,841.44574,456.82265,10217.81194,342.05646
2023-10-14 04:00:00,2024-07-17 00:00:00,3.1,4.0177789295193005,283.4132756018507,277.2685908586444,0.2088921733317425,0.0680930837762234,23164.22435,24066.60153,8908.40911,744.74125,439.4937,10721.8661,338.77806
2023-10-14 05:00:00,2024-07-17 00:00:00,3.1,4.0177789295193005,283.4132756018507,277.2685908586444,0.2088921733317425,0.0680930837762234,21813.00047,23284.39265,8910.98869,718.98286,412.18114,11150.89823,343.82697
2023-10-14 06:00:00,2024-07-17 00:00:00,3.1,4.0177789295193005,283.4132756018507,277.2685908586444,0.2088921733317425,0.0680930837762234,20282.49674,22529.83768,8920.2504,691.82107,358.46155,11299.16981,348.51431
2023-10-14 07:00:00,2024-07-17 00:00:00,3.1,3.893315979170882,282.4661951207717,277.08730485555515,0.0,0.0324048649114085,18961.09399,22043.93558,8932.35718,665.68154,322.58788,11597.6093,351.72459
2023-10-14 08:00:00,2024-07-17 00:00:00,3.1,3.893315979170882,282.4661951207717,277.08730485555515,0.0,0.0324048649114085,17811.17916,21489.77213,8937.96593,662.65362,308.01071,11877.18236,355.94874
2023-10-14 09:00:00,2024-07-17 00:00:00,3.1,3.893315979170882,282.4661951207717,277.08730485555515,0.0,0.0324048649114085,17107.87861,20905.54653,8936.41322,646.2496,300.52734,12067.71671,352.45494
2023-10-14 10:00:00,2024-07-17 00:00:00,3.1,3.906143182901278,281.74583412304844,276.9229829532856,0.0495222567703498,0.0660751642798504,16873.92435,20221.74299,8938.72617,692.37208,325.48618,12146.43014,344.26576
2023-10-14 11:00:00,2024-07-17 00:00:00,3.1,3.906143182901278,281.74583412304844,276.9229829532856,0.0495222567703498,0.0660751642798504,17081.48562,19870.76301,8949.92595,679.76295,340.18692,12211.35419,345.319
2023-10-14 12:00:00,2024-07-17 00:00:00,3.1,3.906143182901278,281.74583412304844,276.9229829532856,0.0495222567703498,0.0660751642798504,17720.99577,19837.80158,8962.26886,676.48342,333.016,12280.72365,344.32874
2023-10-14 13:00:00,2024-07-17 00:00:00,3.1,4.678047952884319,284.5456794999998,277.01242896777126,118.90972561139937,0.0272459844807824,18645.94143,20208.68078,8963.20083,775.8787,331.06636,12494.75635,344.90863
2023-10-14 14:00:00,2024-07-17 00:00:00,3.1,4.678047952884319,284.5456794999998,277.01242896777126,118.90972561139937,0.0272459844807824,19893.90669,20696.02648,8961.00585,850.66089,344.38679,12403.31862,340.8289
2023-10-14 15:00:00,2024-07-17 00:00:00,3.1,4.678047952884319,284.5456794999998,277.01242896777126,118.90972561139937,0.0272459844807824,21096.24162,21097.37167,8961.77029,914.74207,356.63786,12497.24933,342.84434
2023-10-14 16:00:00,2024-07-17 00:00:00,3.1,5.0128516368491765,287.9671599681842,276.3745628591863,290.15298736636464,0.0665087298215272,22083.82958,21939.08097,8966.00263,950.00436,342.83954,12431.57929,347.58123
2023-10-14 17:00:00,2024-07-17 00:00:00,3.1,5.0128516368491765,287.9671599681842,276.3745628591863,290.15298736636464,0.0665087298215272,22829.53832,22934.99044,8968.88486,966.88044,334.82487,12473.48654,353.71759
2023-10-14 18:00:00,2024-07-17 00:00:00,3.1,5.0128516368491765,287.9671599681842,276.3745628591863,290.15298736636464,0.0665087298215272,23224.00719,23816.84701,8973.42633,976.84675,346.96125,12397.53565,347.93535
2023-10-14 19:00:00,2024-07-17 00:00:00,3.1,4.930698101639811,289.0891136573599,276.3114102599833,468.439769219296,0.037443638911157,23433.53307,24634.69792,8980.83726,982.41506,359.86604,12214.64199,354.43036
2023-10-14 20:00:00,2024-07-17 00:00:00,3.1,4.930698101639811,289.0891136573599,276.3114102599833,468.439769219296,0.037443638911157,23556.39491,25219.93243,8985.89789,985.22733,366.60592,12097.44024,347.92392
2023-10-14 21:00:00,2024-07-17 00:00:00,3.1,4.930698101639811,289.0891136573599,276.3114102599833,468.439769219296,0.037443638911157,23828.73907,25873.4283,8995.1697,999.97875,363.85371,11984.87696,345.98971
2023-10-14 22:00:00,2024-07-17 00:00:00,3.1,4.1994316755267365,286.30283296163014,276.3953023498924,313.991976400081,0.0710496415267189,24194.22158,26028.21342,9003.36889,1004.28295,364.7942,11821.92065,346.07528
2023-10-14 23:00:00,2024-07-17 00:00:00,3.1,4.1994316755267365,286.30283296163014,276.3953023498924,313.991976400081,0.0710496415267189,24492.94477,26043.51081,9011.94945,1013.40606,356.87063,11849.87533,356.08935
2023-10-15 00:00:00,2024-07-17 00:00:00,3.1,4.1994316755267365,286.30283296163014,276.3953023498924,313.991976400081,0.0710496415267189,24498.48882,28052.84084,9057.75828,795.94253,413.35464,11553.3737,355.53006
2023-10-15 01:00:00,2024-07-17 00:00:00,3.1,3.836864547721056,283.90394610226645,276.1879848917838,0.3667491515581285,0.0310937415155431,24828.15013,27076.75009,9058.39046,851.64428,427.67271,11717.26178,360.839
2023-10-15 02:00:00,2024-07-17 00:00:00,3.1,3.836864547721056,283.90394610226645,276.1879848917838,0.3667491515581285,0.0310937415155431,24668.11084,25962.48911,9049.74434,939.01605,443.81163,11791.93923,371.36427
2023-10-15 03:00:00,2024-07-17 00:00:00,3.1,3.836864547721056,283.90394610226645,276.1879848917838,0.3667491515581285,0.0310937415155431,24297.76776,24793.92923,9047.68296,874.40351,464.76461,11907.65116,376.15001
2023-10-15 04:00:00,2024-07-17 00:00:00,3.1,3.5104224358337004,282.45230814771344,276.0391335972751,0.1833437983641161,0.0635172896757229,23636.13827,23593.9119,9059.12364,816.37376,445.78839,12251.85249,372.30918
2023-10-15 05:00:00,2024-07-17 00:00:00,3.1,3.5104224358337004,282.45230814771344,276.0391335972751,0.1833437983641161,0.0635172896757229,22417.96196,22537.92778,9060.98624,789.08838,417.14143,12545.57483,377.33444
2023-10-15 06:00:00,2024-07-17 00:00:00,3.1,3.5104224358337004,282.45230814771344,276.0391335972751,0.1833437983641161,0.0635172896757229,21028.56277,21552.16782,9070.21726,751.90582,361.7645,12588.30531,382.04342
2023-10-15 07:00:00,2024-07-17 00:00:00,3.1,3.341565162964872,281.38591787808934,275.86460292561355,0.1833437983641161,0.0635172896757229,19847.15511,20931.31006,9081.89179,710.00036,324.3031,12762.34529,385.23543
2023-10-15 08:00:00,2024-07-17 00:00:00,3.1,3.341565162964872,281.38591787808934,275.86460292561355,0.1833437983641161,0.0635172896757229,18825.99811,20301.80005,9087.26498,678.49147,308.47393,12927.47842,389.18583
2023-10-15 09:00:00,2024-07-17 00:00:00,3.1,3.341565162964872,281.38591787808934,275.86460292561355,0.1833437983641161,0.0635172896757229,18232.75133,19700.69661,9085.88323,644.27164,299.82673,12995.88915,386.21133
2023-10-15 10:00:00,2024-07-17 00:00:00,3.1,3.259984894539583,280.604786553159,275.7092203515915,0.0445716441358334,0.0579652408603093,18099.59001,19066.22387,9088.25088,678.27143,324.07362,12954.37529,378.34628
2023-10-15 11:00:00,2024-07-17 00:00:00,3.1,3.259984894539583,280.604786553159,275.7092203515915,0.0445716441358334,0.0579652408603093,18392.99341,18847.34588,9099.22081,670.03229,338.69357,12894.84374,379.56601
2023-10-15 12:00:00,2024-07-17 00:00:00,3.1,3.259984894539583,280.604786553159,275.7092203515915,0.0445716441358334,0.0579652408603093,19095.54073,19046.77142,9110.18769,675.61106,331.3209,12840.40015,378.64286
2023-10-15 13:00:00,2024-07-17 00:00:00,3.1,3.777032527497006,284.7745017950736,276.05981499471426,141.9194880353439,0.0250433099752441,20065.29266,19718.91072,9109.23,779.43536,329.47014,12901.61312,379.24807
2023-10-15 14:00:00,2024-07-17 00:00:00,3.1,3.777032527497006,284.7745017950736,276.05981499471426,141.9194880353439,0.0250433099752441,21329.91797,20523.97713,9105.8187,859.08461,343.43329,12677.35787,374.87032
2023-10-15 15:00:00,2024-07-17 00:00:00,3.1,3.777032527497006,284.7745017950736,276.05981499471426,141.9194880353439,0.0250433099752441,22493.18274,21239.78015,9106.32947,944.64701,356.65528,12626.73608,377.22936
2023-10-15 16:00:00,2024-07-17 00:00:00,3.1,3.9193203129487215,289.17139967506034,276.036755887287,338.94039007206766,0.0480862682409247,23377.51744,22421.51896,9110.68436,1006.47151,343.76819,12423.4024,382.28619
2023-10-15 17:00:00,2024-07-17 00:00:00,3.1,3.9193203129487215,289.17139967506034,276.036755887287,338.94039007206766,0.0480862682409247,24010.63375,23718.65365,9113.66302,1025.74285,336.96646,12311.45253,388.71517
2023-10-15 18:00:00,2024-07-17 00:00:00,3.1,3.9193203129487215,289.17139967506034,276.036755887287,338.94039007206766,0.0480862682409247,24277.61626,24834.7983,9118.29578,1034.45964,350.65618,12078.86886,382.75516
2023-10-15 19:00:00,2024-07-17 00:00:00,3.1,3.8036412523759866,290.65579122789893,276.01188464134526,556.0134730612798,0.0146594318638654,24330.82606,25852.9079,9126.16774,1018.93756,365.12588,11768.25948,389.00289
2023-10-15 20:00:00,2024-07-17 00:00:00,3.1,3.8036412523759866,290.65579122789893,276.01188464134526,556.0134730612798,0.0146594318638654,24267.58396,26540.4573,9131.65719,993.47656,373.51236,11518.59207,382.03119
2023-10-15 21:00:00,2024-07-17 00:00:00,3.1,3.8036412523759866,290.65579122789893,276.01188464134526,556.0134730612798,0.0146594318638654,24349.5988,27232.67963,9140.59337,976.17755,372.033,11298.03186,379.64587
2023-10-15 22:00:00,2024-07-17 00:00:00,3.1,2.9441116392022644,286.88801193103524,276.4530626710064,366.46498566587655,0.0233210972564964,24558.3693,27337.5718,9148.28809,955.52433,373.99048,11067.26366,379.85908
2023-10-15 23:00:00,2024-07-17 00:00:00,3.1,2.9441116392022644,286.88801193103524,276.4530626710064,366.46498566587655,0.0233210972564964,24740.47428,27261.06473,9156.67158,953.21824,366.3428,11015.70427,390.09043
