,UTC time,Local time,net_generation,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
21,2020-01-01 21:00:00,2020-01-01 16:00:00,10811,213.4,2,5187,3358,0,1016,16,560,672
22,2020-01-01 22:00:00,2020-01-01 17:00:00,11845,209.94,0,5658,3346,0,1536,1,620,684
23,2020-01-01 23:00:00,2020-01-01 18:00:00,12738,212.15,1,6216,3344,0,1851,0,628,699
24,2020-01-02 00:00:00,2020-01-01 19:00:00,12457,210.3,2,5993,3321,0,1800,0,644,697
25,2020-01-02 01:00:00,2020-01-01 20:00:00,11928,216.19,3,5892,3312,0,1348,0,683,689
26,2020-01-02 02:00:00,2020-01-01 21:00:00,11305,218.56,1,5606,3313,0,1007,0,689,688
27,2020-01-02 03:00:00,2020-01-01 22:00:00,10602,212.44,1,5047,3308,0,890,0,688,668
28,2020-01-02 04:00:00,2020-01-01 23:00:00,9800,206.35,1,4444,3306,0,723,0,670,656
29,2020-01-02 05:00:00,2020-01-02 00:00:00,9289,200.48,0,4023,3297,0,683,0,636,650
30,2020-01-02 06:00:00,2020-01-02 01:00:00,8808,191.27,0,3526,3340,0,644,0,637,661
31,2020-01-02 07:00:00,2020-01-02 02:00:00,8594,188.59,1,3348,3323,0,641,0,618,663
32,2020-01-02 08:00:00,2020-01-02 03:00:00,8506,183.19,1,3192,3329,0,677,0,653,655
33,2020-01-02 09:00:00,2020-01-02 04:00:00,8664,185.33,1,3310,3353,0,684,0,654,661
34,2020-01-02 10:00:00,2020-01-02 05:00:00,9039,194.68,2,3723,3354,0,651,0,647,662
35,2020-01-02 11:00:00,2020-01-02 06:00:00,9660,205.52,0,4380,3345,0,670,0,630,634
36,2020-01-02 12:00:00,2020-01-02 07:00:00,10812,214.54,0,5272,3376,0,941,0,582,642
37,2020-01-02 13:00:00,2020-01-02 08:00:00,11482,212.74,0,5612,3330,0,1366,1,536,637
38,2020-01-02 14:00:00,2020-01-02 09:00:00,11509,217.29,0,5766,3333,0,1265,16,490,639
39,2020-01-02 15:00:00,2020-01-02 10:00:00,11180,218.93,0,5605,3315,0,1127,39,444,650
40,2020-01-02 16:00:00,2020-01-02 11:00:00,10941,221.98,0,5543,3334,0,938,72,397,657
41,2020-01-02 17:00:00,2020-01-02 12:00:00,10518,219.71,0,5260,3317,6,829,103,373,630
42,2020-01-02 18:00:00,2020-01-02 13:00:00,10016,216.43,3,4876,3314,3,775,111,307,626
43,2020-01-02 19:00:00,2020-01-02 14:00:00,9969,216.21,1,4853,3341,0,785,103,261,624
44,2020-01-02 20:00:00,2020-01-02 15:00:00,10382,225.37,1,5285,3367,47,771,60,217,634
45,2020-01-02 21:00:00,2020-01-02 16:00:00,11127,236.43,2,5905,3387,198,794,15,193,633
46,2020-01-02 22:00:00,2020-01-02 17:00:00,12218,236.73,1,6291,3388,470,1233,1,185,649
47,2020-01-02 23:00:00,2020-01-02 18:00:00,13543,229.08,5,6795,3364,497,2016,0,201,666
48,2020-01-03 00:00:00,2020-01-02 19:00:00,13151,228.54,4,6565,3313,489,1871,0,257,652
49,2020-01-03 01:00:00,2020-01-02 20:00:00,12626,231.47,4,6361,3315,488,1551,0,268,640
50,2020-01-03 02:00:00,2020-01-02 21:00:00,11821,231.2,0,5887,3304,487,1231,0,291,621
51,2020-01-03 03:00:00,2020-01-02 22:00:00,10821,230.15,2,5560,3307,208,803,0,337,604
52,2020-01-03 04:00:00,2020-01-02 23:00:00,9802,217.04,1,4825,3304,1,748,0,330,593
53,2020-01-03 05:00:00,2020-01-03 00:00:00,9198,209.36,1,4267,3296,0,733,0,299,602
54,2020-01-03 06:00:00,2020-01-03 01:00:00,8795,202.14,1,3886,3335,0,669,0,314,590
55,2020-01-03 07:00:00,2020-01-03 02:00:00,8510,198.49,0,3679,3300,0,622,0,338,570
56,2020-01-03 08:00:00,2020-01-03 03:00:00,8355,193.58,3,3473,3321,0,618,0,366,574
57,2020-01-03 09:00:00,2020-01-03 04:00:00,8457,193.27,4,3512,3346,0,611,0,406,577
58,2020-01-03 10:00:00,2020-01-03 05:00:00,8608,193.37,0,3599,3331,0,626,0,473,579
59,2020-01-03 11:00:00,2020-01-03 06:00:00,9592,206.12,0,4368,3369,62,692,0,517,584
60,2020-01-03 12:00:00,2020-01-03 07:00:00,10743,218.25,0,5246,3370,159,894,0,483,589
61,2020-01-03 13:00:00,2020-01-03 08:00:00,11088,228.86,1,5763,3342,165,802,1,427,587
62,2020-01-03 14:00:00,2020-01-03 09:00:00,11618,235.78,0,6311,3346,165,805,7,397,586
63,2020-01-03 15:00:00,2020-01-03 10:00:00,11782,240.29,0,6574,3339,165,768,15,344,577
64,2020-01-03 16:00:00,2020-01-03 11:00:00,11810,241.11,1,6598,3340,178,732,16,365,579
65,2020-01-03 17:00:00,2020-01-03 12:00:00,11655,238.88,0,6429,3340,170,755,27,349,585
66,2020-01-03 18:00:00,2020-01-03 13:00:00,11585,239.89,0,6415,3331,164,715,27,344,590
67,2020-01-03 19:00:00,2020-01-03 14:00:00,11656,241.09,3,6475,3335,164,692,18,368,601
68,2020-01-03 20:00:00,2020-01-03 15:00:00,11567,241.54,2,6424,3329,183,666,11,358,593
69,2020-01-03 21:00:00,2020-01-03 16:00:00,11423,238.42,1,6158,3339,243,707,5,369,601
70,2020-01-03 22:00:00,2020-01-03 17:00:00,11968,236.15,0,6293,3369,373,938,0,392,602
71,2020-01-03 23:00:00,2020-01-03 18:00:00,12721,233.99,1,6650,3341,387,1297,0,422,623
72,2020-01-04 00:00:00,2020-01-03 19:00:00,12498,232.67,0,6460,3336,399,1222,0,463,619
73,2020-01-04 01:00:00,2020-01-03 20:00:00,11917,238.1,1,6253,3321,416,832,0,478,616
74,2020-01-04 02:00:00,2020-01-03 21:00:00,11236,233.18,0,5785,3324,308,744,0,459,617
75,2020-01-04 03:00:00,2020-01-03 22:00:00,10482,221.03,0,5243,3330,47,714,0,525,622
76,2020-01-04 04:00:00,2020-01-03 23:00:00,9899,214.71,1,4782,3328,0,655,0,515,618
77,2020-01-04 05:00:00,2020-01-04 00:00:00,9252,206.3,0,4194,3327,0,632,0,479,621
78,2020-01-04 06:00:00,2020-01-04 01:00:00,8602,196.26,0,3593,3332,0,610,0,443,624
79,2020-01-04 07:00:00,2020-01-04 02:00:00,8293,191.66,0,3327,3331,0,578,0,433,623
80,2020-01-04 08:00:00,2020-01-04 03:00:00,8121,189.9,0,3173,3333,0,576,0,398,640
81,2020-01-04 09:00:00,2020-01-04 04:00:00,7936,187.6,0,3037,3326,0,592,0,346,635
82,2020-01-04 10:00:00,2020-01-04 05:00:00,8056,188.83,0,3123,3335,0,623,0,339,636
83,2020-01-04 11:00:00,2020-01-04 06:00:00,8049,190.55,0,3160,3325,0,670,0,260,634
84,2020-01-04 12:00:00,2020-01-04 07:00:00,8370,196.14,0,3432,3353,0,729,0,210,647
85,2020-01-04 13:00:00,2020-01-04 08:00:00,8918,206.87,0,3979,3362,0,740,0,189,648
86,2020-01-04 14:00:00,2020-01-04 09:00:00,9801,219.73,0,4786,3378,0,819,4,149,666
87,2020-01-04 15:00:00,2020-01-04 10:00:00,10326,221.26,0,5128,3356,0,1065,7,95,673
88,2020-01-04 16:00:00,2020-01-04 11:00:00,10519,222.87,0,5298,3343,0,1155,7,48,668
89,2020-01-04 17:00:00,2020-01-04 12:00:00,10719,229.69,0,5599,3336,0,1053,8,44,679
90,2020-01-04 18:00:00,2020-01-04 13:00:00,10775,228.62,0,5605,3332,0,1101,9,50,677
91,2020-01-04 19:00:00,2020-01-04 14:00:00,10735,228.09,0,5564,3338,0,1112,8,35,678
92,2020-01-04 20:00:00,2020-01-04 15:00:00,10614,228.78,0,5517,3329,0,1065,6,24,673
93,2020-01-04 21:00:00,2020-01-04 16:00:00,10867,230.5,0,5721,3348,0,1095,3,25,675
94,2020-01-04 22:00:00,2020-01-04 17:00:00,11518,234.6,0,6244,3365,0,1193,0,34,681
95,2020-01-04 23:00:00,2020-01-04 18:00:00,11950,235.64,0,6545,3347,0,1355,0,18,686
96,2020-01-05 00:00:00,2020-01-04 19:00:00,11768,234.45,0,6393,3333,0,1330,0,28,685
97,2020-01-05 01:00:00,2020-01-04 20:00:00,11240,242.92,1,6333,3318,0,882,0,34,672
98,2020-01-05 02:00:00,2020-01-04 21:00:00,10982,243.76,0,6193,3315,0,765,0,39,671
99,2020-01-05 03:00:00,2020-01-04 22:00:00,10265,235.1,0,5486,3318,0,739,0,55,667
100,2020-01-05 04:00:00,2020-01-04 23:00:00,9700,226.29,5,4895,3325,0,730,0,84,661
101,2020-01-05 05:00:00,2020-01-05 00:00:00,8960,213.32,1,4138,3312,0,720,0,129,660
102,2020-01-05 06:00:00,2020-01-05 01:00:00,8600,203.0,0,3714,3330,0,721,0,188,646
103,2020-01-05 07:00:00,2020-01-05 02:00:00,8436,197.9,0,3490,3354,0,688,0,247,658
104,2020-01-05 08:00:00,2020-01-05 03:00:00,8414,199.98,0,3522,3313,0,642,0,277,660
105,2020-01-05 09:00:00,2020-01-05 04:00:00,8168,192.59,2,3217,3324,0,616,0,346,663
106,2020-01-05 10:00:00,2020-01-05 05:00:00,8308,190.82,0,3258,3343,0,630,0,417,661
107,2020-01-05 11:00:00,2020-01-05 06:00:00,8501,189.12,0,3318,3351,0,687,0,484,661
108,2020-01-05 12:00:00,2020-01-05 07:00:00,8814,192.43,1,3523,3360,0,712,0,536,681
109,2020-01-05 13:00:00,2020-01-05 08:00:00,9151,195.17,2,3777,3351,0,739,1,608,673
110,2020-01-05 14:00:00,2020-01-05 09:00:00,9820,199.15,2,4245,3366,0,847,14,679,667
111,2020-01-05 15:00:00,2020-01-05 10:00:00,9700,197.39,4,4129,3333,0,761,31,775,668
112,2020-01-05 16:00:00,2020-01-05 11:00:00,10011,198.08,3,4309,3367,0,756,44,860,672
113,2020-01-05 17:00:00,2020-01-05 12:00:00,10190,198.85,6,4428,3349,0,762,68,911,667
114,2020-01-05 18:00:00,2020-01-05 13:00:00,10347,200.82,2,4597,3338,0,760,62,935,653
115,2020-01-05 19:00:00,2020-01-05 14:00:00,10153,197.76,2,4403,3331,0,739,78,944,656
116,2020-01-05 20:00:00,2020-01-05 15:00:00,10190,197.79,3,4406,3356,0,718,72,969,666
117,2020-01-05 21:00:00,2020-01-05 16:00:00,10927,209.12,5,5130,3353,0,778,31,963,666
118,2020-01-05 22:00:00,2020-01-05 17:00:00,12019,209.26,2,5746,3363,2,1255,2,977,673
119,2020-01-05 23:00:00,2020-01-05 18:00:00,13268,204.95,9,6176,3349,74,2028,0,941,691
120,2020-01-06 00:00:00,2020-01-05 19:00:00,13014,206.57,10,6101,3335,54,1923,0,893,698
121,2020-01-06 01:00:00,2020-01-05 20:00:00,12433,216.85,4,6108,3315,82,1401,0,827,695
122,2020-01-06 02:00:00,2020-01-05 21:00:00,11947,219.74,0,6015,3310,0,1159,0,768,695
123,2020-01-06 03:00:00,2020-01-05 22:00:00,10830,214.49,0,5209,3308,0,959,0,666,688
124,2020-01-06 04:00:00,2020-01-05 23:00:00,9977,214.07,1,4726,3299,0,732,0,547,672
125,2020-01-06 05:00:00,2020-01-06 00:00:00,9368,200.93,0,4054,3326,0,725,0,598,665
126,2020-01-06 06:00:00,2020-01-06 01:00:00,9327,202.06,0,4072,3332,0,731,0,534,657
127,2020-01-06 07:00:00,2020-01-06 02:00:00,9040,201.15,2,3888,3327,0,693,0,472,658
128,2020-01-06 08:00:00,2020-01-06 03:00:00,8760,198.88,0,3685,3323,0,669,0,425,659
129,2020-01-06 09:00:00,2020-01-06 04:00:00,8862,201.71,0,3801,3340,0,691,0,367,663
130,2020-01-06 10:00:00,2020-01-06 05:00:00,9230,212.14,1,4241,3360,0,691,0,262,675
131,2020-01-06 11:00:00,2020-01-06 06:00:00,9872,224.46,1,4944,3366,0,749,0,141,671
132,2020-01-06 12:00:00,2020-01-06 07:00:00,11721,227.26,0,6142,3418,0,1384,0,96,680
133,2020-01-06 13:00:00,2020-01-06 08:00:00,12729,226.25,2,6714,3338,8,1918,1,68,680
134,2020-01-06 14:00:00,2020-01-06 09:00:00,12811,241.09,0,7231,3331,49,1458,8,50,684
135,2020-01-06 15:00:00,2020-01-06 10:00:00,12664,247.57,7,7378,3331,25,1178,12,55,678
136,2020-01-06 16:00:00,2020-01-06 11:00:00,12651,250.26,11,7482,3333,3,1056,13,78,675
137,2020-01-06 17:00:00,2020-01-06 12:00:00,12749,248.59,9,7489,3343,7,1122,15,88,676
138,2020-01-06 18:00:00,2020-01-06 13:00:00,12633,248.12,7,7402,3321,7,1090,25,107,674
139,2020-01-06 19:00:00,2020-01-06 14:00:00,12167,248.79,4,7100,3321,26,880,34,130,672
140,2020-01-06 20:00:00,2020-01-06 15:00:00,12025,248.15,2,7003,3341,16,824,33,136,669
141,2020-01-06 21:00:00,2020-01-06 16:00:00,12457,248.11,2,7377,3365,0,920,23,145,626
142,2020-01-06 22:00:00,2020-01-06 17:00:00,13190,243.76,1,7701,3387,0,1299,2,165,635
143,2020-01-06 23:00:00,2020-01-06 18:00:00,14090,241.43,8,8200,3356,0,1666,0,231,629
144,2020-01-07 00:00:00,2020-01-06 19:00:00,14081,238.71,11,8107,3323,0,1721,0,305,615
145,2020-01-07 01:00:00,2020-01-06 20:00:00,13576,237.18,8,7745,3327,0,1572,0,319,606
146,2020-01-07 02:00:00,2020-01-06 21:00:00,12910,242.91,2,7543,3319,0,1103,0,345,597
147,2020-01-07 03:00:00,2020-01-06 22:00:00,12038,235.38,1,6721,3321,0,1041,0,353,602
148,2020-01-07 04:00:00,2020-01-06 23:00:00,10736,223.73,0,5547,3315,0,946,0,320,608
149,2020-01-07 05:00:00,2020-01-07 00:00:00,9567,211.34,0,4546,3308,0,780,0,342,591
150,2020-01-07 06:00:00,2020-01-07 01:00:00,9601,211.06,1,4564,3349,0,745,0,356,586
151,2020-01-07 07:00:00,2020-01-07 02:00:00,9368,206.24,6,4321,3320,0,764,0,386,572
152,2020-01-07 08:00:00,2020-01-07 03:00:00,9222,202.61,6,4155,3328,0,752,0,413,568
153,2020-01-07 09:00:00,2020-01-07 04:00:00,9298,200.19,6,4159,3348,0,768,0,464,553
154,2020-01-07 10:00:00,2020-01-07 05:00:00,9625,205.7,8,4469,3340,0,728,0,523,557
155,2020-01-07 11:00:00,2020-01-07 06:00:00,10087,210.86,7,4823,3362,0,722,0,586,586
156,2020-01-07 12:00:00,2020-01-07 07:00:00,11348,221.22,7,5828,3378,0,918,0,610,606
157,2020-01-07 13:00:00,2020-01-07 08:00:00,12267,229.99,6,6658,3348,0,1016,1,623,614
158,2020-01-07 14:00:00,2020-01-07 09:00:00,12499,231.7,8,6814,3332,18,1097,15,587,629
159,2020-01-07 15:00:00,2020-01-07 10:00:00,11915,233.42,15,6479,3308,36,944,46,465,623
160,2020-01-07 16:00:00,2020-01-07 11:00:00,11247,227.54,10,5888,3314,47,884,81,407,615
161,2020-01-07 17:00:00,2020-01-07 12:00:00,10681,224.89,14,5360,3323,134,773,116,345,615
162,2020-01-07 18:00:00,2020-01-07 13:00:00,10514,224.07,13,5159,3345,193,774,111,295,624
163,2020-01-07 19:00:00,2020-01-07 14:00:00,11449,239.59,10,6140,3359,262,783,65,208,621
164,2020-01-07 20:00:00,2020-01-07 15:00:00,11479,242.3,12,6143,3358,341,807,41,150,628
165,2020-01-07 21:00:00,2020-01-07 16:00:00,11927,247.88,3,6490,3358,468,856,13,108,631
166,2020-01-07 22:00:00,2020-01-07 17:00:00,12775,238.91,4,6784,3357,439,1470,1,92,627
167,2020-01-07 23:00:00,2020-01-07 18:00:00,13706,243.02,4,7518,3353,467,1661,0,83,620
168,2020-01-08 00:00:00,2020-01-07 19:00:00,13624,246.54,8,7563,3320,496,1534,0,89,614
169,2020-01-08 01:00:00,2020-01-07 20:00:00,13164,243.0,12,7121,3315,496,1516,0,89,615
170,2020-01-08 02:00:00,2020-01-07 21:00:00,12241,244.35,3,6596,3320,480,1133,0,95,615
171,2020-01-08 03:00:00,2020-01-07 22:00:00,11591,245.15,0,6572,3303,145,870,0,90,610
172,2020-01-08 04:00:00,2020-01-07 23:00:00,10411,232.64,0,5594,3291,0,819,0,95,613
173,2020-01-08 05:00:00,2020-01-08 00:00:00,9586,221.76,1,4784,3316,0,771,0,96,617
174,2020-01-08 06:00:00,2020-01-08 01:00:00,8976,214.52,1,4251,3315,0,735,0,62,612
175,2020-01-08 07:00:00,2020-01-08 02:00:00,8725,208.31,1,3959,3316,0,768,0,69,612
176,2020-01-08 08:00:00,2020-01-08 03:00:00,8734,205.94,1,3888,3353,0,767,0,100,625
177,2020-01-08 09:00:00,2020-01-08 04:00:00,8967,210.04,0,4116,3345,0,761,0,118,627
178,2020-01-08 10:00:00,2020-01-08 05:00:00,8987,212.12,0,4229,3325,0,714,0,125,594
179,2020-01-08 11:00:00,2020-01-08 06:00:00,9445,217.93,0,4640,3375,0,743,0,93,594
180,2020-01-08 12:00:00,2020-01-08 07:00:00,11092,227.59,0,5892,3379,0,1128,0,94,599
181,2020-01-08 13:00:00,2020-01-08 08:00:00,12172,230.41,2,6605,3344,35,1496,0,90,600
182,2020-01-08 14:00:00,2020-01-08 09:00:00,12489,230.76,3,6847,3353,9,1541,5,135,596
183,2020-01-08 15:00:00,2020-01-08 10:00:00,12098,236.75,2,6832,3323,0,1192,26,140,582
184,2020-01-08 16:00:00,2020-01-08 11:00:00,11410,238.96,0,6460,3332,0,814,57,162,585
185,2020-01-08 17:00:00,2020-01-08 12:00:00,11007,232.74,0,6017,3327,0,786,102,191,583
186,2020-01-08 18:00:00,2020-01-08 13:00:00,10783,228.56,0,5741,3338,0,779,108,225,592
187,2020-01-08 19:00:00,2020-01-08 14:00:00,11080,232.22,0,6017,3348,0,765,76,271,603
188,2020-01-08 20:00:00,2020-01-08 15:00:00,11411,234.1,0,6275,3334,0,802,26,366,608
189,2020-01-08 21:00:00,2020-01-08 16:00:00,11994,230.45,0,6513,3345,0,1038,14,468,616
190,2020-01-08 22:00:00,2020-01-08 17:00:00,12880,223.51,0,6815,3342,0,1526,2,573,621
191,2020-01-08 23:00:00,2020-01-08 18:00:00,13888,222.97,0,7257,3347,132,1897,0,632,622
192,2020-01-09 00:00:00,2020-01-08 19:00:00,13730,225.18,0,7233,3326,127,1656,0,755,633
193,2020-01-09 01:00:00,2020-01-08 20:00:00,13436,229.43,0,7265,3325,76,1298,0,840,633
194,2020-01-09 02:00:00,2020-01-08 21:00:00,12892,230.43,0,7009,3310,27,1019,0,891,638
195,2020-01-09 03:00:00,2020-01-08 22:00:00,12007,219.18,0,6112,3309,26,965,0,970,626
196,2020-01-09 04:00:00,2020-01-08 23:00:00,10747,204.97,0,4972,3321,5,802,0,1019,628
197,2020-01-09 05:00:00,2020-01-09 00:00:00,9877,194.24,0,4220,3306,0,710,0,1020,621
198,2020-01-09 06:00:00,2020-01-09 01:00:00,9709,191.15,0,4042,3329,0,680,0,1032,627
199,2020-01-09 07:00:00,2020-01-09 02:00:00,9631,189.53,0,3971,3319,0,702,0,1019,619
200,2020-01-09 08:00:00,2020-01-09 03:00:00,9533,187.9,0,3884,3336,0,717,0,980,616
201,2020-01-09 09:00:00,2020-01-09 04:00:00,9626,190.52,0,4008,3334,0,712,0,961,610
202,2020-01-09 10:00:00,2020-01-09 05:00:00,9885,195.57,0,4267,3343,0,667,0,991,616
203,2020-01-09 11:00:00,2020-01-09 06:00:00,10902,209.34,0,5196,3365,0,700,0,1016,626
204,2020-01-09 12:00:00,2020-01-09 07:00:00,12885,217.52,0,6523,3375,75,1274,0,1014,624
205,2020-01-09 13:00:00,2020-01-09 08:00:00,14132,212.94,4,6991,3342,144,2037,3,983,628
206,2020-01-09 14:00:00,2020-01-09 09:00:00,13670,217.47,2,7045,3295,44,1690,31,960,603
207,2020-01-09 15:00:00,2020-01-09 10:00:00,12866,226.5,3,6862,3300,61,1044,84,906,605
208,2020-01-09 16:00:00,2020-01-09 11:00:00,11945,224.15,0,6259,3311,26,784,134,821,611
209,2020-01-09 17:00:00,2020-01-09 12:00:00,11836,224.22,3,6222,3324,1,784,152,743,607
210,2020-01-09 18:00:00,2020-01-09 13:00:00,11462,222.07,7,5928,3325,0,834,153,612,603
211,2020-01-09 19:00:00,2020-01-09 14:00:00,11729,228.93,10,6276,3350,0,864,136,475,618
212,2020-01-09 20:00:00,2020-01-09 15:00:00,12404,239.95,7,7042,3368,0,896,85,371,636
213,2020-01-09 21:00:00,2020-01-09 16:00:00,13133,244.75,8,7694,3340,0,1113,37,313,629
214,2020-01-09 22:00:00,2020-01-09 17:00:00,14183,238.23,5,8032,3351,74,1794,2,276,649
215,2020-01-09 23:00:00,2020-01-09 18:00:00,14558,231.67,4,8043,3335,59,2200,0,274,643
216,2020-01-10 00:00:00,2020-01-09 19:00:00,14390,231.85,6,7967,3324,33,2178,0,237,644
217,2020-01-10 01:00:00,2020-01-09 20:00:00,14087,234.09,2,7852,3326,57,1985,0,225,639
218,2020-01-10 02:00:00,2020-01-09 21:00:00,13449,236.38,1,7554,3316,28,1701,0,202,647
219,2020-01-10 03:00:00,2020-01-09 22:00:00,12662,248.65,1,7439,3325,23,995,0,208,671
220,2020-01-10 04:00:00,2020-01-09 23:00:00,11632,245.42,1,6677,3313,7,740,0,232,662
221,2020-01-10 05:00:00,2020-01-10 00:00:00,10545,229.31,2,5518,3323,0,736,0,314,652
222,2020-01-10 06:00:00,2020-01-10 01:00:00,10454,227.01,2,5364,3331,0,665,0,419,673
223,2020-01-10 07:00:00,2020-01-10 02:00:00,10507,224.82,0,5327,3328,0,611,0,560,680
224,2020-01-10 08:00:00,2020-01-10 03:00:00,10380,219.01,0,5092,3328,0,606,0,677,677
225,2020-01-10 09:00:00,2020-01-10 04:00:00,10356,216.28,1,4991,3336,0,591,0,754,682
226,2020-01-10 10:00:00,2020-01-10 05:00:00,10625,217.54,1,5199,3351,0,589,0,812,673
227,2020-01-10 11:00:00,2020-01-10 06:00:00,10871,221.54,1,5430,3352,0,581,0,814,693
228,2020-01-10 12:00:00,2020-01-10 07:00:00,12155,224.65,0,6242,3373,33,961,0,837,709
229,2020-01-10 13:00:00,2020-01-10 08:00:00,12959,221.91,0,6544,3335,104,1408,2,849,717
230,2020-01-10 14:00:00,2020-01-10 09:00:00,12716,226.36,0,6503,3341,104,1137,17,866,748
231,2020-01-10 15:00:00,2020-01-10 10:00:00,12744,224.27,0,6389,3338,155,1221,30,861,750
232,2020-01-10 16:00:00,2020-01-10 11:00:00,12650,230.94,0,6547,3332,201,983,18,843,726
233,2020-01-10 17:00:00,2020-01-10 12:00:00,12476,229.55,0,6546,3336,55,969,17,824,730
234,2020-01-10 18:00:00,2020-01-10 13:00:00,12272,230.53,0,6487,3335,28,923,15,758,726
235,2020-01-10 19:00:00,2020-01-10 14:00:00,12202,233.98,0,6512,3347,55,841,14,697,736
236,2020-01-10 20:00:00,2020-01-10 15:00:00,11922,234.54,0,6381,3334,56,777,14,642,717
237,2020-01-10 21:00:00,2020-01-10 16:00:00,11761,232.34,1,6202,3342,51,793,7,641,724
238,2020-01-10 22:00:00,2020-01-10 17:00:00,12354,231.72,0,6549,3346,53,1055,1,623,727
239,2020-01-10 23:00:00,2020-01-10 18:00:00,13008,236.45,0,7006,3346,145,1133,0,640,739
240,2020-01-11 00:00:00,2020-01-10 19:00:00,12565,231.2,0,6605,3325,100,1158,0,645,731
241,2020-01-11 01:00:00,2020-01-10 20:00:00,12061,230.34,0,6323,3336,48,980,0,645,729
242,2020-01-11 02:00:00,2020-01-10 21:00:00,11515,226.49,0,5919,3325,0,891,0,653,727
243,2020-01-11 03:00:00,2020-01-10 22:00:00,10785,220.53,0,5304,3309,0,796,0,652,723
244,2020-01-11 04:00:00,2020-01-10 23:00:00,10278,215.38,0,4847,3326,0,738,0,636,731
245,2020-01-11 05:00:00,2020-01-11 00:00:00,9598,207.03,0,4246,3323,0,716,0,590,724
246,2020-01-11 06:00:00,2020-01-11 01:00:00,9189,200.96,0,3862,3341,0,685,0,574,726
247,2020-01-11 07:00:00,2020-01-11 02:00:00,8961,201.89,0,3753,3339,0,681,0,456,731
248,2020-01-11 08:00:00,2020-01-11 03:00:00,8871,200.37,1,3683,3331,0,674,0,462,720
249,2020-01-11 09:00:00,2020-01-11 04:00:00,8681,198.14,0,3533,3317,0,679,0,434,718
250,2020-01-11 10:00:00,2020-01-11 05:00:00,8797,198.67,0,3615,3333,0,690,0,445,713
251,2020-01-11 11:00:00,2020-01-11 06:00:00,8889,196.88,1,3596,3353,0,725,0,485,728
252,2020-01-11 12:00:00,2020-01-11 07:00:00,9387,200.15,4,3930,3348,0,743,0,628,733
253,2020-01-11 13:00:00,2020-01-11 08:00:00,9724,199.77,4,4123,3352,0,827,1,697,720
254,2020-01-11 14:00:00,2020-01-11 09:00:00,10169,200.95,3,4390,3360,0,802,13,876,725
255,2020-01-11 15:00:00,2020-01-11 10:00:00,10420,200.19,2,4504,3334,0,902,34,917,727
256,2020-01-11 16:00:00,2020-01-11 11:00:00,9883,195.08,0,4082,3320,0,731,69,954,726
257,2020-01-11 17:00:00,2020-01-11 12:00:00,9591,192.15,1,3862,3329,0,666,100,915,719
258,2020-01-11 18:00:00,2020-01-11 13:00:00,9614,190.74,3,3828,3348,0,661,97,955,722
259,2020-01-11 19:00:00,2020-01-11 14:00:00,9655,189.23,3,3850,3348,0,699,92,967,696
