UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-02-23 12:00:00,2024-07-17 00:00:00,3.1,6.156938897678714,266.1113835522539,262.9230670952969,0.3097619328401958,0.3161508876298621,0.0,0.0,435.96921,822.59269,3161.50794,312.027
2023-02-23 13:00:00,2024-07-17 00:00:00,3.1,6.996983288802753,266.06709895778823,261.02617519558714,231.14237481384384,0.0663262721772858,0.0,0.0,444.17747,811.07191,3165.99604,306.15335
2023-02-23 14:00:00,2024-07-17 00:00:00,3.1,6.996983288802753,266.06709895778823,261.02617519558714,231.14237481384384,0.0663262721772858,0.0,0.0,457.46251,815.79802,3143.00447,300.91165
2023-02-23 15:00:00,2024-07-17 00:00:00,3.1,6.996983288802753,266.06709895778823,261.02617519558714,231.14237481384384,0.0663262721772858,0.0,0.0,474.2319,815.02796,3178.49049,285.1168
2023-02-23 16:00:00,2024-07-17 00:00:00,3.1,7.153853603267088,267.08257263018294,260.57076335602585,401.63672196399307,0.1084572358783512,0.0,0.0,492.71735,831.54609,3199.78746,310.60345
2023-02-23 17:00:00,2024-07-17 00:00:00,3.1,7.153853603267088,267.08257263018294,260.57076335602585,401.63672196399307,0.1084572358783512,0.0,0.0,513.15783,814.86195,3187.35371,308.24639
2023-02-23 18:00:00,2024-07-17 00:00:00,3.1,7.153853603267088,267.08257263018294,260.57076335602585,401.63672196399307,0.1084572358783512,0.0,0.0,521.63997,830.27902,3182.66475,302.90343
2023-02-23 19:00:00,2024-07-17 00:00:00,3.1,6.367658011418887,266.79618297165354,260.49466186623545,441.1678644171555,0.0437367549769962,0.0,0.0,523.00175,831.71932,3190.10413,319.06417
2023-02-23 20:00:00,2024-07-17 00:00:00,3.1,6.367658011418887,266.79618297165354,260.49466186623545,441.1678644171555,0.0437367549769962,0.0,0.0,526.87926,809.80405,3213.97516,301.32651
2023-02-23 21:00:00,2024-07-17 00:00:00,3.1,6.367658011418887,266.79618297165354,260.49466186623545,441.1678644171555,0.0437367549769962,0.0,0.0,529.46998,798.02309,3224.21704,307.49153
2023-02-23 22:00:00,2024-07-17 00:00:00,3.1,4.401008456551129,263.3922147374035,258.793246259428,250.9469154242136,0.0738709033388751,0.0,0.0,527.93313,780.59832,3211.70153,320.80797
2023-02-23 23:00:00,2024-07-17 00:00:00,3.1,4.401008456551129,263.3922147374035,258.793246259428,250.9469154242136,0.0738709033388751,0.0,0.0,526.95854,799.81732,3242.8128,331.73243
2023-02-24 00:00:00,2024-07-17 00:00:00,3.1,4.401008456551129,263.3922147374035,258.793246259428,250.9469154242136,0.0738709033388751,0.0,0.0,617.71333,689.09072,3141.5161,337.95825
2023-02-24 01:00:00,2024-07-17 00:00:00,3.1,3.405966974020639,261.61190327354154,257.2260212310188,0.0,0.0191635819436698,0.0,0.0,614.02383,673.85296,3119.92329,300.37635
2023-02-24 02:00:00,2024-07-17 00:00:00,3.1,3.405966974020639,261.61190327354154,257.2260212310188,0.0,0.0191635819436698,0.0,0.0,621.81858,682.8933,3135.40999,314.52777
2023-02-24 03:00:00,2024-07-17 00:00:00,3.1,3.405966974020639,261.61190327354154,257.2260212310188,0.0,0.0191635819436698,0.0,0.0,626.62438,690.55178,3156.12984,293.25745
2023-02-24 04:00:00,2024-07-17 00:00:00,3.1,2.676277188092514,260.57807285034795,256.18448363717994,0.0,0.0287513338922614,0.0,0.0,625.05116,679.73061,3168.75641,291.34582
2023-02-24 05:00:00,2024-07-17 00:00:00,3.1,2.676277188092514,260.57807285034795,256.18448363717994,0.0,0.0287513338922614,0.0,0.0,614.48884,678.32319,3177.13174,308.16344
2023-02-24 06:00:00,2024-07-17 00:00:00,3.1,2.676277188092514,260.57807285034795,256.18448363717994,0.0,0.0287513338922614,0.0,0.0,605.14698,674.78181,3166.55707,297.84818
