UTC time,coal,nat_gas,nuclear,hydro,solar,wind,biomass,avg_solar_production_forecast
1/6/2019 0:00,1470,1326,1397,1089,0,1499,40,0
1/6/2019 1:00,1497,1344,1398,963,0,1422,39,0
1/6/2019 2:00,1519,1304,1397,943,0,1302,38,0
1/6/2019 3:00,1414,1424,1397,1150,0,960,40,0
1/6/2019 4:00,1421,1490,1397,1193,0,668,40,1
1/6/2019 5:00,1587,1507,1397,1114,0,504,42,1
1/6/2019 6:00,1617,1745,1396,1173,1,379,42,12
1/6/2019 7:00,1699,1884,1395,1175,24,332,42,53
1/6/2019 8:00,1731,1891,1395,1242,64,287,46,107
1/6/2019 9:00,1755,1929,1395,1220,111,369,48,145
1/6/2019 10:00,1755,1965,1395,1167,127,562,50,157
1/6/2019 11:00,1752,1963,1395,1097,108,830,53,146
1/6/2019 12:00,1719,1927,1396,1026,77,1114,53,108
1/6/2019 13:00,1626,1761,1395,980,36,1589,53,48
1/6/2019 14:00,1400,1514,1396,1000,4,2100,53,8
1/6/2019 15:00,1409,1516,1396,796,0,2349,53,1
1/6/2019 16:00,1398,1527,1396,1002,0,2343,52,0
1/6/2019 17:00,1401,1531,1396,1059,0,2335,50,0
1/6/2019 18:00,1433,1534,1395,1064,0,2268,50,0
1/6/2019 19:00,1439,1537,1396,1166,0,2241,51,0
1/6/2019 20:00,1402,1528,1395,1078,0,2202,52,0
1/6/2019 21:00,1443,1548,1394,995,0,2206,51,0
1/6/2019 22:00,1457,1551,1394,978,0,2162,50,0
1/6/2019 23:00,1384,1351,1395,613,0,2222,51,0
1/7/2019 0:00,1404,1292,1394,683,0,2192,50,0
1/7/2019 1:00,1419,1293,1395,707,0,2206,48,0
1/7/2019 2:00,1445,1296,1395,763,0,2200,49,0
1/7/2019 3:00,1453,1296,1394,805,0,2195,48,0
1/7/2019 4:00,1373,1311,1395,776,0,2215,50,1
1/7/2019 5:00,1400,1462,1395,970,0,2262,54,2
1/7/2019 6:00,1512,1603,1395,1095,2,2198,57,15
1/7/2019 7:00,1517,1559,1352,1305,34,2268,57,67
1/7/2019 8:00,1510,1651,1329,1194,102,2361,55,128
1/7/2019 9:00,1412,1625,1339,1122,187,2429,55,183
1/7/2019 10:00,1423,1638,1350,1167,221,2357,54,206
1/7/2019 11:00,1425,1678,1359,1166,214,2353,55,193
1/7/2019 12:00,1401,1651,1364,1162,199,2301,57,146
1/7/2019 13:00,1393,1651,1370,1134,112,2360,57,73
1/7/2019 14:00,1412,1671,1341,1207,22,2293,57,17
1/7/2019 15:00,1429,1762,1362,1311,0,2314,55,5
1/7/2019 16:00,1377,1725,1380,1350,0,2376,55,4
1/7/2019 17:00,1395,1525,1384,1383,0,2434,54,4
1/7/2019 18:00,1379,1484,1385,1295,0,2512,54,1
1/7/2019 19:00,1396,1488,1386,1202,0,2425,54,1
1/7/2019 20:00,1392,1491,1383,923,0,2360,55,1
1/7/2019 21:00,1449,1513,1386,740,0,2222,54,0
1/7/2019 22:00,1430,1522,1387,969,0,1989,54,0
1/7/2019 23:00,1560,1740,1389,935,0,1979,57,0
1/8/2019 0:00,1732,1856,1393,800,0,1795,57,0
1/8/2019 1:00,1816,1867,1394,910,0,1569,57,0
1/8/2019 2:00,1905,1898,1394,1010,0,1312,58,0
1/8/2019 3:00,1865,1941,1393,1096,0,1160,58,0
1/8/2019 4:00,1831,1944,1393,1135,0,1000,58,0
1/8/2019 5:00,1937,1889,1393,1307,0,1194,62,3
1/8/2019 6:00,1860,1702,1392,1274,16,1313,62,45
1/8/2019 7:00,2011,1909,1392,1604,123,958,62,169
1/8/2019 8:00,2062,1983,1393,1621,238,689,62,332
1/8/2019 9:00,2088,1992,1393,1685,322,519,61,421
1/8/2019 10:00,2115,1999,1379,1722,379,377,61,443
1/8/2019 11:00,2118,2004,1382,1727,372,294,61,404
1/8/2019 12:00,2096,2013,1385,1654,306,348,62,292
1/8/2019 13:00,2006,2020,1384,1687,154,404,64,126
1/8/2019 14:00,1960,2019,1385,1785,37,514,62,23
1/8/2019 15:00,1947,2017,1390,1926,1,641,63,5
1/8/2019 16:00,1944,2013,1392,1858,0,885,62,1
1/8/2019 17:00,1979,2007,1393,1844,0,966,61,1
1/8/2019 18:00,1995,2010,1392,1930,0,914,59,1
1/8/2019 19:00,1983,2042,1392,1850,0,873,61,1
1/8/2019 20:00,1939,2047,1393,1537,0,981,63,1
1/8/2019 21:00,1935,2039,1394,1015,0,1285,63,0
1/8/2019 22:00,1910,1960,1395,914,0,1441,63,0
1/8/2019 23:00,1929,1954,1395,912,0,1342,62,0
1/9/2019 0:00,1813,1952,1394,960,0,1200,62,0
1/9/2019 1:00,1658,1937,1394,958,0,1213,63,0
1/9/2019 2:00,1727,1945,1394,975,0,1014,62,0
1/9/2019 3:00,1956,1954,1394,1004,0,910,62,0
1/9/2019 4:00,1976,2006,1394,1085,0,894,60,1
1/9/2019 5:00,2029,2039,1394,1484,0,886,63,2
1/9/2019 6:00,2075,2040,1393,1526,17,881,64,25
1/9/2019 7:00,2079,2042,1357,1591,85,854,65,97
1/9/2019 8:00,2079,2043,1253,1573,189,730,64,178
1/9/2019 9:00,2079,2043,1253,1573,189,730,64,238
1/9/2019 10:00,2125,2006,1320,1737,263,431,64,250
1/9/2019 11:00,2130,2033,1355,1725,245,302,65,225
1/9/2019 12:00,2121,2012,1358,1796,144,325,56,156
1/9/2019 13:00,2072,1989,1379,1601,71,503,61,69
1/9/2019 14:00,2111,2000,1383,1680,14,566,62,13
1/9/2019 15:00,2163,2027,1384,2069,0,464,63,4
1/9/2019 16:00,2171,2008,1386,2241,0,406,63,1
1/9/2019 17:00,2247,2010,1385,2198,0,494,62,1
1/9/2019 18:00,2244,2007,1386,2194,0,625,60,1
1/9/2019 19:00,2216,2039,1383,1933,0,846,61,1
1/9/2019 20:00,2213,2009,1382,1613,0,1140,62,1
1/9/2019 21:00,2249,2004,1383,1310,0,1364,58,0
1/9/2019 22:00,2256,1920,1393,1058,0,1469,58,0
1/9/2019 23:00,2252,1551,1395,1092,0,1691,57,0
1/10/2019 0:00,2259,1532,1395,1027,0,1798,58,0
1/10/2019 1:00,2209,1522,1395,862,0,1968,57,0
1/10/2019 2:00,2081,1501,1395,927,0,2108,57,0
1/10/2019 3:00,2180,1487,1395,1052,0,2042,58,0
1/10/2019 4:00,2303,1576,1395,1333,0,1777,60,1
1/10/2019 5:00,2269,1613,1393,1539,0,1542,64,2
1/10/2019 6:00,2271,1928,1394,1977,1,1046,62,7
1/10/2019 7:00,2209,2003,1343,2070,13,884,58,29
1/10/2019 8:00,2236,2029,1347,2163,26,714,65,59
1/10/2019 9:00,2258,2032,1345,2050,49,493,65,80
1/10/2019 10:00,2245,2021,1344,2231,69,273,62,91
1/10/2019 11:00,2168,2016,1347,2053,95,344,64,86
1/10/2019 12:00,2173,2014,1367,1820,78,367,66,65
1/10/2019 13:00,2219,2018,1374,1762,37,367,64,31
1/10/2019 14:00,2174,2028,1360,1834,5,427,64,10
1/10/2019 15:00,2219,2025,1366,1985,0,493,65,8
1/10/2019 16:00,2290,2025,1381,1976,0,387,66,8
1/10/2019 17:00,2247,2018,1381,1893,0,393,67,4
1/10/2019 18:00,2235,2022,1381,1742,0,424,67,4
1/10/2019 19:00,2260,2017,1380,1679,0,375,67,1
1/10/2019 20:00,2276,2012,1382,1657,0,338,65,1
1/10/2019 21:00,2250,2014,1382,1251,0,426,63,0
1/10/2019 22:00,2283,2007,1383,1398,0,442,61,0
1/10/2019 23:00,2217,1583,1389,1297,0,442,61,0
1/11/2019 0:00,2277,1579,1390,1183,0,393,60,0
1/11/2019 1:00,2307,1571,1390,1238,0,367,60,0
1/11/2019 2:00,2352,1569,1391,1367,0,388,60,0
1/11/2019 3:00,2301,1565,1391,1384,0,700,61,0
1/11/2019 4:00,2288,1579,1391,1161,0,995,63,1
1/11/2019 5:00,2272,1614,1391,1270,0,1379,64,2
1/11/2019 6:00,2272,1763,1388,1275,0,1709,64,9
1/11/2019 7:00,2303,1922,1377,1385,3,1785,65,39
1/11/2019 8:00,2313,1925,1375,1433,9,1847,66,82
1/11/2019 9:00,2303,1919,1374,1364,34,1917,65,117
1/11/2019 10:00,2334,1919,1341,1433,57,1742,64,135
1/11/2019 11:00,2383,1987,1352,1434,69,1398,65,132
1/11/2019 12:00,2331,2010,1374,1542,64,1119,65,109
1/11/2019 13:00,2316,2016,1382,1557,38,925,63,58
1/11/2019 14:00,2289,2019,1382,1650,6,754,63,14
1/11/2019 15:00,2336,2022,1383,1721,0,657,64,5
1/11/2019 16:00,2317,2028,1382,1547,0,791,65,4
1/11/2019 17:00,2291,2026,1382,1371,0,699,64,4
1/11/2019 18:00,2352,1955,1382,1415,0,468,62,4
1/11/2019 19:00,2354,1947,1382,1423,0,344,62,4
1/11/2019 20:00,2266,1948,1383,1323,0,240,61,1
1/11/2019 21:00,2278,1948,1382,1168,0,140,60,0
1/11/2019 22:00,2321,1950,1382,1173,0,63,58,0
1/11/2019 23:00,2270,1937,1382,1068,0,71,58,0
1/12/2019 0:00,2253,1930,1383,972,0,128,57,0
1/12/2019 1:00,2179,1912,1390,847,0,323,57,0
1/12/2019 2:00,2164,1876,1391,818,0,517,57,0
1/12/2019 3:00,2125,1823,1391,1035,0,550,57,0
1/12/2019 4:00,2082,1918,1390,970,0,711,57,1
1/12/2019 5:00,2127,1903,1390,964,0,727,58,1
1/12/2019 6:00,2331,1811,1390,1005,5,795,59,24
1/12/2019 7:00,2378,2016,1390,1308,48,884,59,102
1/12/2019 8:00,2306,2011,1389,1346,106,1140,58,199
1/12/2019 9:00,2239,1985,1390,1004,153,1578,58,260
1/12/2019 10:00,2192,1915,1390,964,209,1760,58,278
1/12/2019 11:00,2167,1904,1390,896,240,1697,57,255
1/12/2019 12:00,2091,1905,1389,1014,209,1556,58,197
1/12/2019 13:00,2239,1910,1389,1058,117,1415,58,93
1/12/2019 14:00,2360,1916,1389,1083,27,1285,58,19
1/12/2019 15:00,2371,2017,1389,1451,0,1174,59,1
1/12/2019 16:00,2333,2013,1389,1532,0,1114,58,0
1/12/2019 17:00,2373,2010,1389,1380,0,1013,57,0
1/12/2019 18:00,2408,2015,1389,1387,0,769,59,0
1/12/2019 19:00,2410,2012,1384,1264,0,647,57,0
1/12/2019 20:00,2490,2012,1382,1165,0,421,57,0
1/12/2019 21:00,2498,2013,1382,1010,0,282,55,0
1/12/2019 22:00,2247,2004,1382,988,0,324,55,0
1/12/2019 23:00,2242,1593,1389,995,0,296,55,0
1/13/2019 0:00,2235,1578,1389,955,0,188,55,0
1/13/2019 1:00,2220,1576,1389,972,0,152,55,0
1/13/2019 2:00,2237,1574,1389,952,0,158,54,0
1/13/2019 3:00,2219,1575,1389,1036,0,99,55,0
1/13/2019 4:00,2168,1593,1389,980,0,147,54,0
1/13/2019 5:00,2201,1602,1389,977,0,161,55,1
1/13/2019 6:00,2158,1756,1389,926,15,159,55,23
1/13/2019 7:00,2231,1996,1390,1045,79,148,58,88
1/13/2019 8:00,2197,2017,1390,1078,151,166,57,162
1/13/2019 9:00,2179,2020,1390,1134,207,197,57,198
1/13/2019 10:00,2111,1935,1390,1171,259,247,58,212
1/13/2019 11:00,2090,1921,1390,987,232,277,57,190
1/13/2019 12:00,2120,1880,1390,918,204,343,56,139
1/13/2019 13:00,2222,1781,1391,1062,98,375,56,65
1/13/2019 14:00,2247,1860,1391,1072,22,436,56,13
1/13/2019 15:00,2219,1941,1391,1230,0,582,56,1
1/13/2019 16:00,2146,2009,1391,1202,0,760,55,0
1/13/2019 17:00,2145,2016,1391,1237,0,743,56,0
1/13/2019 18:00,2154,2016,1391,1226,0,769,55,0
1/13/2019 19:00,2143,2021,1391,1197,0,801,55,0
1/13/2019 20:00,2061,1996,1391,1129,0,917,55,0
1/13/2019 21:00,1966,1925,1391,1035,0,1036,53,0
1/13/2019 22:00,1754,1926,1391,995,0,1166,53,0
1/13/2019 23:00,1661,1511,1391,926,0,1244,53,0
1/14/2019 0:00,1595,1507,1391,910,0,1248,53,0
1/14/2019 1:00,1548,1500,1391,797,0,1221,52,0
1/14/2019 2:00,1671,1507,1391,678,0,1232,53,0
1/14/2019 3:00,1792,1486,1391,653,0,1440,53,0
1/14/2019 4:00,1907,1552,1391,918,0,1626,55,0
1/14/2019 5:00,1939,1619,1390,1496,0,1795,60,2
1/14/2019 6:00,1925,1833,1391,1422,19,1885,60,22
1/14/2019 7:00,1958,1993,1362,1328,81,1814,59,71
1/14/2019 8:00,1957,1997,1340,1379,132,1634,58,127
1/14/2019 9:00,1948,1993,1334,1355,193,1448,58,169
1/14/2019 10:00,1927,1974,1334,1220,271,1445,60,190
1/14/2019 11:00,1850,1883,1354,1259,277,1458,60,184
1/14/2019 12:00,1854,1881,1356,1064,237,1548,61,147
1/14/2019 13:00,1770,1887,1354,1054,141,1966,57,76
1/14/2019 14:00,1585,1924,1317,1179,37,2260,56,17
1/14/2019 15:00,1579,1942,1328,1257,3,2223,61,5
1/14/2019 16:00,1585,1735,1378,1457,0,2265,61,4
1/14/2019 17:00,1624,1683,1378,1581,0,2060,60,1
1/14/2019 18:00,1691,1965,1378,1548,0,1673,61,1
1/14/2019 19:00,1856,1974,1377,1448,0,1494,61,1
1/14/2019 20:00,1892,1999,1379,1196,0,1410,62,1
1/14/2019 21:00,1944,1988,1379,1032,0,1298,60,0
1/14/2019 22:00,1845,1971,1379,1068,0,1230,60,0
1/14/2019 23:00,1923,1934,1379,919,0,986,62,0
1/15/2019 0:00,1932,1930,1381,863,0,863,62,0
1/15/2019 1:00,1909,1931,1389,701,0,936,62,0
1/15/2019 2:00,1843,1951,1389,833,0,879,60,0
1/15/2019 3:00,1850,1965,1389,854,0,1003,62,0
1/15/2019 4:00,1948,1979,1389,956,0,1263,58,1
1/15/2019 5:00,1911,1851,1389,1272,0,1614,55,2
1/15/2019 6:00,1697,1607,1389,1315,13,2223,52,33
1/15/2019 7:00,1722,1494,1389,1377,61,2295,52,127
1/15/2019 8:00,1676,1480,1388,1322,116,2279,57,256
1/15/2019 9:00,1688,1511,1385,1268,189,2031,64,360
1/15/2019 10:00,1695,1629,1379,1222,257,1829,63,415
1/15/2019 11:00,1716,1656,1367,1248,291,1703,64,400
1/15/2019 12:00,1740,1845,1352,1177,261,1445,65,310
1/15/2019 13:00,1805,2030,1384,1153,162,1205,64,157
1/15/2019 14:00,1878,2066,1389,1100,53,1198,64,37
1/15/2019 15:00,1973,2138,1390,1172,11,1443,64,5
1/15/2019 16:00,1865,1961,1393,1258,0,1899,64,4
1/15/2019 17:00,1782,1771,1393,1281,0,1971,63,4
1/15/2019 18:00,1750,1781,1392,1482,0,1786,65,4
1/15/2019 19:00,1729,2015,1393,1440,0,1633,64,4
1/15/2019 20:00,1716,2021,1392,1229,0,1608,63,1
1/15/2019 21:00,1753,1953,1393,1110,0,1429,61,0
1/15/2019 22:00,1701,2024,1393,929,0,1431,60,0
1/15/2019 23:00,1573,1535,1393,937,0,1453,61,0
1/16/2019 0:00,1597,1522,1393,821,0,1513,61,0
1/16/2019 1:00,1705,1528,1393,990,0,1306,60,0
1/16/2019 2:00,1780,1579,1393,898,0,1312,61,0
1/16/2019 3:00,1734,1562,1394,805,0,1739,62,0
1/16/2019 4:00,1740,1513,1394,940,0,1948,63,1
1/16/2019 5:00,1741,1533,1393,1393,0,2154,64,2
1/16/2019 6:00,1689,1745,1392,1369,12,2168,64,20
1/16/2019 7:00,1680,1912,1369,1332,64,2159,63,74
1/16/2019 8:00,1672,1907,1354,1303,130,2120,64,133
1/16/2019 9:00,1598,1795,1363,1210,205,2296,64,180
1/16/2019 10:00,1570,1608,1355,1276,248,2308,63,205
1/16/2019 11:00,1509,1693,1362,1245,278,2197,64,203
1/16/2019 12:00,1509,1701,1356,1225,270,2112,63,164
1/16/2019 13:00,1523,1704,1368,1194,176,2059,64,86
1/16/2019 14:00,1573,1794,1384,1292,44,1870,64,20
1/16/2019 15:00,1711,1928,1384,1421,0,1654,64,4
1/16/2019 16:00,1789,2009,1384,1569,0,1438,61,4
1/16/2019 17:00,1813,2004,1383,1613,0,1124,56,4
1/16/2019 18:00,1840,2010,1384,1661,0,736,55,4
1/16/2019 19:00,1849,2010,1384,1637,0,616,55,4
1/16/2019 20:00,1749,1982,1384,1241,0,561,55,4
1/16/2019 21:00,1789,1931,1392,1194,0,407,53,0
1/16/2019 22:00,1840,1939,1394,1146,0,274,53,0
1/16/2019 23:00,1641,1928,1393,920,0,141,52,0
1/17/2019 0:00,1647,1935,1393,914,0,75,52,0
1/17/2019 1:00,1653,1934,1393,918,0,105,52,0
1/17/2019 2:00,1660,1945,1393,959,0,77,53,0
1/17/2019 3:00,1669,1970,1393,1019,0,76,54,0
1/17/2019 4:00,1681,2074,1394,1241,0,117,56,1
1/17/2019 5:00,1672,2049,1395,1620,0,250,60,5
1/17/2019 6:00,1659,1908,1395,1755,40,455,61,45
1/17/2019 7:00,1646,2051,1347,1666,181,622,62,167
1/17/2019 8:00,1615,2040,1361,1345,363,610,63,317
1/17/2019 9:00,1593,1911,1334,1327,454,526,63,412
1/17/2019 10:00,1486,1910,1365,1269,515,560,63,448
1/17/2019 11:00,1374,1879,1362,1240,501,703,62,418
1/17/2019 12:00,1477,1894,1382,1138,422,721,63,324
1/17/2019 13:00,1533,1772,1373,1222,271,718,62,169
1/17/2019 14:00,1495,1950,1360,1331,75,825,61,42
1/17/2019 15:00,1541,1926,1383,1338,0,1105,61,5
1/17/2019 16:00,1636,2008,1390,1246,0,1323,61,4
1/17/2019 17:00,1502,1914,1390,1246,0,1501,62,4
1/17/2019 18:00,1496,1970,1390,1228,0,1403,61,4
1/17/2019 19:00,1548,1860,1390,1297,0,1224,61,4
1/17/2019 20:00,1530,1671,1391,1069,0,1265,60,1
1/17/2019 21:00,1546,1545,1391,834,0,1350,58,0
1/17/2019 22:00,1497,1632,1390,920,0,1333,60,0
1/17/2019 23:00,1409,1901,1391,936,0,1299,63,0
1/18/2019 0:00,1370,1929,1394,827,0,1418,64,0
1/18/2019 1:00,1365,1930,1394,813,0,1271,64,0
1/18/2019 2:00,1376,1932,1394,857,0,1166,63,0
1/18/2019 3:00,1377,1930,1394,871,0,998,63,0
1/18/2019 4:00,1380,1935,1394,893,0,873,64,1
1/18/2019 5:00,1408,1926,1393,1512,0,892,66,2
1/18/2019 6:00,1456,1926,1392,1604,43,816,65,56
1/18/2019 7:00,1392,1915,1373,1559,226,747,64,210
1/18/2019 8:00,1323,1890,1351,1356,399,718,64,375
1/18/2019 9:00,1360,1699,1376,1371,489,634,59,465
1/18/2019 10:00,1375,1691,1345,1285,512,566,60,473
1/18/2019 11:00,1378,1685,1357,1292,482,518,62,426
1/18/2019 12:00,1416,1703,1353,1367,378,404,64,314
1/18/2019 13:00,1430,1868,1358,1478,185,356,65,158
1/18/2019 14:00,1476,1902,1380,1543,42,440,65,36
1/18/2019 15:00,1556,1906,1379,1565,0,602,66,2
1/18/2019 16:00,1577,1912,1379,1585,0,723,65,4
1/18/2019 17:00,1513,1926,1379,1560,0,833,65,1
1/18/2019 18:00,1546,1927,1379,1740,0,706,65,1
1/18/2019 19:00,1612,1928,1378,1576,0,727,63,1
1/18/2019 20:00,1574,1927,1380,1183,0,801,64,1
1/18/2019 21:00,1592,1929,1385,969,0,877,62,0
1/18/2019 22:00,1639,1934,1388,917,0,1020,60,0
1/18/2019 23:00,1605,1512,1388,874,0,1290,59,0
1/19/2019 0:00,1545,1468,1388,813,0,1388,61,0
1/19/2019 1:00,1511,1433,1388,746,0,1578,61,0
1/19/2019 2:00,1424,1309,1389,684,0,1883,61,0
1/19/2019 3:00,1437,1311,1389,684,0,1849,61,0
1/19/2019 4:00,1457,1345,1388,796,0,1652,63,1
1/19/2019 5:00,1423,1465,1388,863,0,1618,64,1
1/19/2019 6:00,1467,1636,1387,1142,14,1398,62,19
1/19/2019 7:00,1550,1903,1386,1475,68,1041,62,78
1/19/2019 8:00,1636,1955,1386,1469,117,805,60,140
1/19/2019 9:00,1600,2041,1386,1356,151,678,59,177
1/19/2019 10:00,1610,2044,1386,1314,157,586,61,200
1/19/2019 11:00,1620,2041,1386,1331,137,474,60,181
1/19/2019 12:00,1572,2049,1385,1274,114,394,61,135
