UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast
2023-10-13 16:00:00,2024-07-17 00:00:00,3.1,3.66880012861432,283.5491431534405,272.06269110666346,211.6049136011721,0.0623712252225875,2320.29743,196.56583,480.279,24.4116,676.27709
2023-10-13 17:00:00,2024-07-17 00:00:00,3.1,3.66880012861432,283.5491431534405,272.06269110666346,211.6049136011721,0.0623712252225875,2334.31465,193.1537,485.13739,31.80757,658.54448
2023-10-13 18:00:00,2024-07-17 00:00:00,3.1,3.66880012861432,283.5491431534405,272.06269110666346,211.6049136011721,0.0623712252225875,2353.29031,188.06047,475.53025,37.20362,629.79431
2023-10-13 19:00:00,2024-07-17 00:00:00,3.1,3.829077917096116,285.75432447213547,271.7871453409075,502.7476228152932,0.0208845653844501,2398.47776,182.26841,500.22904,37.16373,620.28069
2023-10-13 20:00:00,2024-07-17 00:00:00,3.1,3.829077917096116,285.75432447213547,271.7871453409075,502.7476228152932,0.0208845653844501,2363.35366,176.38701,515.71742,38.11241,629.29456
2023-10-13 21:00:00,2024-07-17 00:00:00,3.1,3.829077917096116,285.75432447213547,271.7871453409075,502.7476228152932,0.0208845653844501,2372.95499,174.06916,511.40681,38.7782,598.86399
2023-10-13 22:00:00,2024-07-17 00:00:00,3.1,3.15155857251798,283.9966165853211,272.4058985672889,370.0608672314462,0.0422955950963288,2381.4227,174.6989,538.70099,45.32767,656.48393
2023-10-13 23:00:00,2024-07-17 00:00:00,3.1,3.15155857251798,283.9966165853211,272.4058985672889,370.0608672314462,0.0422955950963288,2418.71865,175.94066,539.9919,46.51385,669.76292
2023-10-14 00:00:00,2024-07-17 00:00:00,3.1,3.15155857251798,283.9966165853211,272.4058985672889,370.0608672314462,0.0422955950963288,2532.45159,171.01387,540.97648,36.51704,670.44763
2023-10-14 01:00:00,2024-07-17 00:00:00,3.1,2.7642861601409257,280.9074874442143,272.3540923404586,3.5419511817915144,0.0148744041560482,2580.4511,172.54559,574.05627,34.11328,668.7656
2023-10-14 02:00:00,2024-07-17 00:00:00,3.1,2.7642861601409257,280.9074874442143,272.3540923404586,3.5419511817915144,0.0148744041560482,2567.5443,181.82516,576.06436,34.53231,656.18273
