UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-03-24 10:00:00,2024-07-17 00:00:00,3.1,4.21914931331609,285.36528897429093,273.24389941199735,0.0,0.0499751776234297,5370.46315,0.0,15587.35962,3760.86383,233.66994,9611.52905,1.02563
2023-03-24 11:00:00,2024-07-17 00:00:00,3.1,4.21914931331609,285.36528897429093,273.24389941199735,0.0,0.0499751776234297,5474.07497,0.0,15075.0825,3762.58769,248.19104,9405.51051,10.66422
2023-03-24 12:00:00,2024-07-17 00:00:00,3.1,4.21914931331609,285.36528897429093,273.24389941199735,0.0,0.0499751776234297,5645.86923,0.0,14538.7611,3764.93517,262.3963,9728.01071,17.85873
2023-03-24 13:00:00,2024-07-17 00:00:00,3.1,5.227831398328072,289.2656434868153,273.18655657945646,181.13509542979463,0.0100649678800699,5802.65788,1414.17842,13848.13339,3768.20941,258.18848,10120.80699,43.98584
2023-03-24 14:00:00,2024-07-17 00:00:00,3.1,5.227831398328072,289.2656434868153,273.18655657945646,181.13509542979463,0.0100649678800699,5941.84148,3335.21899,13192.56661,3770.54326,269.01988,10252.22865,64.78193
2023-03-24 15:00:00,2024-07-17 00:00:00,3.1,5.227831398328072,289.2656434868153,273.18655657945646,181.13509542979463,0.0100649678800699,6256.35263,5362.3313,12700.9665,3774.11087,256.0429,10738.74077,75.35392
2023-03-24 16:00:00,2024-07-17 00:00:00,3.1,5.054732025099832,293.5734264652384,271.5936301069085,468.7025963204933,0.0158924966376573,6533.58884,7118.41563,12430.58004,3776.27782,256.54796,11486.72342,85.58033
2023-03-24 17:00:00,2024-07-17 00:00:00,3.1,5.054732025099832,293.5734264652384,271.5936301069085,468.7025963204933,0.0158924966376573,6619.68891,8406.51937,12221.30899,3780.48886,248.58151,12636.02393,98.07512
2023-03-24 18:00:00,2024-07-17 00:00:00,3.1,5.054732025099832,293.5734264652384,271.5936301069085,468.7025963204933,0.0158924966376573,6590.53928,8670.04975,11896.12644,3786.24451,247.00747,13916.68337,121.92936
2023-03-24 19:00:00,2024-07-17 00:00:00,3.1,4.6852106066902754,295.5533010689319,270.9406340662026,901.0063811245708,0.0026586846668923,6398.32582,8781.76024,11577.08979,3790.74771,236.956,15195.05866,132.04678
