UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_biomass_production_forecast,avg_unknown_production_forecast
2023-05-15 06:00:00,2024-07-17 00:00:00,3.1,6.581348075096589,285.583287245341,284.2418308104184,22.524295130261983,2.609619993339603,45.01286,39.84374,256.6234,216.3488,66.81668,7.58524
2023-05-15 07:00:00,2024-07-17 00:00:00,3.1,6.8920695085620505,286.83455260841384,284.11354927987423,227.6746867642076,0.5748534037239217,56.78784,44.83448,273.31525,210.12564,67.22842,7.58973
2023-05-15 08:00:00,2024-07-17 00:00:00,3.1,6.8920695085620505,286.83455260841384,284.11354927987423,227.6746867642076,0.5748534037239217,62.35773,45.73679,306.56599,211.10141,67.01914,7.8369
2023-05-15 09:00:00,2024-07-17 00:00:00,3.1,6.8920695085620505,286.83455260841384,284.11354927987423,227.6746867642076,0.5748534037239217,59.77333,43.70535,327.29968,206.6765,67.17796,7.95401
2023-05-15 10:00:00,2024-07-17 00:00:00,3.1,6.629461480751887,287.41236739057604,283.98135341480975,267.14042549805464,1.2212818382306612,65.7823,38.81036,320.65957,207.18556,67.57008,7.95494
2023-05-15 11:00:00,2024-07-17 00:00:00,3.1,6.629461480751887,287.41236739057604,283.98135341480975,267.14042549805464,1.2212818382306612,60.45296,36.39336,280.83237,212.0774,67.27316,7.99939
2023-05-15 12:00:00,2024-07-17 00:00:00,3.1,6.629461480751887,287.41236739057604,283.98135341480975,267.14042549805464,1.2212818382306612,60.87283,35.49839,231.37547,214.26825,67.2788,8.03423
2023-05-15 13:00:00,2024-07-17 00:00:00,3.1,5.552167896284693,287.70054341461343,283.8613457517842,308.40069248278985,0.3875874216578989,58.27991,36.7717,183.70741,214.25024,67.37015,8.07304
2023-05-15 14:00:00,2024-07-17 00:00:00,3.1,5.552167896284693,287.70054341461343,283.8613457517842,308.40069248278985,0.3875874216578989,62.75242,38.45702,146.546,209.27954,67.583,8.07513
2023-05-15 15:00:00,2024-07-17 00:00:00,3.1,5.552167896284693,287.70054341461343,283.8613457517842,308.40069248278985,0.3875874216578989,65.5589,40.91584,107.52621,208.89625,67.10523,8.0973
2023-05-15 16:00:00,2024-07-17 00:00:00,3.1,3.562678426776534,285.19543584496125,283.2376630530058,221.79533610645143,0.4862122343481123,69.35212,41.76777,65.12214,203.86912,66.94636,8.2484
2023-05-15 17:00:00,2024-07-17 00:00:00,3.1,3.562678426776534,285.19543584496125,283.2376630530058,221.79533610645143,0.4862122343481123,65.28302,42.7903,0.0,201.97426,67.41268,8.20686
2023-05-15 18:00:00,2024-07-17 00:00:00,3.1,3.562678426776534,285.19543584496125,283.2376630530058,221.79533610645143,0.4862122343481123,65.49512,45.51604,0.0,204.67051,67.73965,8.08777
2023-05-15 19:00:00,2024-07-17 00:00:00,3.1,2.8517307914328613,282.92798120692123,281.8699302091054,0.9782591311921022,0.0030513996477633,65.55479,40.61716,0.0,203.71826,68.00752,8.20929
2023-05-15 20:00:00,2024-07-17 00:00:00,3.1,2.8517307914328613,282.92798120692123,281.8699302091054,0.9782591311921022,0.0030513996477633,67.04995,38.22768,0.0,199.14552,67.90335,8.32568
2023-05-15 21:00:00,2024-07-17 00:00:00,3.1,2.8517307914328613,282.92798120692123,281.8699302091054,0.9782591311921022,0.0030513996477633,62.03854,36.90863,0.0,194.01664,67.80947,8.28346
2023-05-15 22:00:00,2024-07-17 00:00:00,3.1,2.373853570965488,282.17363362503335,280.8928090404006,0.4890391104258171,0.0038828353964777,58.14104,32.27893,0.0,190.61024,67.81421,8.29373
2023-05-15 23:00:00,2024-07-17 00:00:00,3.1,2.373853570965488,282.17363362503335,280.8928090404006,0.4890391104258171,0.0038828353964777,58.69378,29.24201,0.0,188.11399,68.00355,8.42018
2023-05-16 00:00:00,2024-07-17 00:00:00,3.1,2.373853570965488,282.17363362503335,280.8928090404006,0.4890391104258171,0.0038828353964777,30.38708,24.20653,0.0,194.12908,67.87062,7.51659
2023-05-16 01:00:00,2024-07-17 00:00:00,3.1,2.391387606306737,282.2336067077731,280.71124175771536,2.927568877794883,0.0,27.64279,26.90021,15.58424,193.48097,68.17934,7.66268
2023-05-16 02:00:00,2024-07-17 00:00:00,3.1,2.391387606306737,282.2336067077731,280.71124175771536,2.927568877794883,0.0,30.77655,28.91699,45.04249,187.42398,67.85324,7.67419
2023-05-16 03:00:00,2024-07-17 00:00:00,3.1,2.391387606306737,282.2336067077731,280.71124175771536,2.927568877794883,0.0,34.92431,31.44772,72.26645,182.8537,67.75729,7.80934
2023-05-16 04:00:00,2024-07-17 00:00:00,3.1,3.311127363061485,285.70807286160897,281.8871622849607,74.33603486146276,0.0,37.24038,33.07789,99.75842,180.11703,68.17658,7.79956
2023-05-16 05:00:00,2024-07-17 00:00:00,3.1,3.311127363061485,285.70807286160897,281.8871622849607,74.33603486146276,0.0,42.07676,33.93366,137.84771,177.54947,66.32291,7.81395
2023-05-16 06:00:00,2024-07-17 00:00:00,3.1,3.311127363061485,285.70807286160897,281.8871622849607,74.33603486146276,0.0,45.01286,37.14139,199.97658,176.4485,67.13508,7.65162
2023-05-16 07:00:00,2024-07-17 00:00:00,3.1,3.945694318022696,287.8203372504034,282.5235396055973,355.60044961435773,0.225106687957339,56.78784,40.01514,213.4352,172.22949,67.55266,7.65558
2023-05-16 08:00:00,2024-07-17 00:00:00,3.1,3.945694318022696,287.8203372504034,282.5235396055973,355.60044961435773,0.225106687957339,62.35773,40.5697,240.01759,174.5368,67.34005,7.90335
2023-05-16 09:00:00,2024-07-17 00:00:00,3.1,3.945694318022696,287.8203372504034,282.5235396055973,355.60044961435773,0.225106687957339,59.77333,39.77184,256.6188,171.74496,67.50019,8.02066
2023-05-16 10:00:00,2024-07-17 00:00:00,3.1,4.301122447540234,285.68304322185696,282.56226961028705,302.85720601042203,2.0470771288981715,65.7823,37.87196,251.91246,173.24712,67.8939,8.01953
2023-05-16 11:00:00,2024-07-17 00:00:00,3.1,4.301122447540234,285.68304322185696,282.56226961028705,302.85720601042203,2.0470771288981715,60.45296,37.51011,221.56614,179.28907,67.59476,8.06315
2023-05-16 12:00:00,2024-07-17 00:00:00,3.1,4.301122447540234,285.68304322185696,282.56226961028705,302.85720601042203,2.0470771288981715,60.87283,37.75104,183.44299,182.74965,67.60205,8.09789
2023-05-16 13:00:00,2024-07-17 00:00:00,3.1,4.507579209173132,284.2275775754305,280.90459083345854,167.98421947256884,1.6068063281980445,58.27991,38.52264,146.44927,183.53918,67.69453,8.13751
2023-05-16 14:00:00,2024-07-17 00:00:00,3.1,4.507579209173132,284.2275775754305,280.90459083345854,167.98421947256884,1.6068063281980445,62.75242,40.00757,117.68111,180.07517,67.9072,8.13999
2023-05-16 15:00:00,2024-07-17 00:00:00,3.1,4.507579209173132,284.2275775754305,280.90459083345854,167.98421947256884,1.6068063281980445,65.5589,40.96996,87.15981,180.33198,67.4273,8.1624
2023-05-16 16:00:00,2024-07-17 00:00:00,3.1,4.121148555067482,281.90803118383417,279.23528326286606,126.5121994311098,2.008484967050861,69.35212,39.65101,53.82372,176.25744,67.26617,8.31459
2023-05-16 17:00:00,2024-07-17 00:00:00,3.1,4.121148555067482,281.90803118383417,279.23528326286606,126.5121994311098,2.008484967050861,65.28302,38.91834,0.0,174.42461,67.73676,8.2727
2023-05-16 18:00:00,2024-07-17 00:00:00,3.1,4.121148555067482,281.90803118383417,279.23528326286606,126.5121994311098,2.008484967050861,65.49512,39.14461,0.0,176.72613,68.06372,8.15244
2023-05-16 19:00:00,2024-07-17 00:00:00,3.1,3.367044978109243,279.3979881052535,277.5719607309184,0.9512936180662064,0.03850297465507,65.55479,33.14499,0.0,175.93444,68.33582,8.27431
2023-05-16 20:00:00,2024-07-17 00:00:00,3.1,3.367044978109243,279.3979881052535,277.5719607309184,0.9512936180662064,0.03850297465507,67.04995,30.51746,0.0,171.68195,68.2301,8.39092
2023-05-16 21:00:00,2024-07-17 00:00:00,3.1,3.367044978109243,279.3979881052535,277.5719607309184,0.9512936180662064,0.03850297465507,62.03854,29.31637,0.0,167.32581,68.13369,8.34807
