UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,geothermal,unknown,avg_solar_production_forecast
1/2/2019 15:00,0,0,0,0,0,0,393,0,0,0,0
1/2/2019 16:00,0,0,0,0,0,0,458,0,0,0,0
1/2/2019 17:00,0,0,0,0,0,0,552,0,0,0,0
1/2/2019 18:00,0,0,0,0,0,0,625,0,0,0,0
1/2/2019 19:00,0,0,0,0,0,0,626,0,0,0,0
1/2/2019 20:00,0,0,0,0,0,0,627,0,0,0,0
1/2/2019 21:00,0,0,0,0,0,0,592,0,0,0,0
1/2/2019 22:00,0,0,0,0,0,0,656,0,0,0,0
1/2/2019 23:00,0,0,0,0,0,0,743,0,0,0,0
1/3/2019 0:00,0,0,0,0,0,0,768,0,0,0,0
1/3/2019 1:00,0,0,0,0,0,0,787,0,0,0,0
1/3/2019 2:00,0,0,0,0,0,0,749,0,0,0,0
1/3/2019 3:00,0,0,0,0,0,0,646,0,0,0,0
1/3/2019 4:00,0,0,0,0,0,0,635,0,0,0,0
1/3/2019 5:00,0,0,0,0,0,0,664,0,0,0,0
1/3/2019 6:00,0,0,0,0,0,0,719,0,0,0,0
1/3/2019 7:00,0,0,0,0,0,0,769,0,0,0,0
1/3/2019 8:00,0,0,0,0,0,0,674,0,0,0,0
1/3/2019 9:00,0,0,0,0,0,0,673,0,0,0,0
1/3/2019 10:00,0,0,0,0,0,0,721,0,0,0,0
1/3/2019 11:00,0,0,0,0,0,0,800,0,0,0,0
1/3/2019 12:00,0,0,0,0,0,0,980,0,0,0,0
1/3/2019 13:00,0,0,0,0,0,0,1080,0,0,0,0
1/3/2019 14:00,0,0,0,0,0,0,1088,0,0,0,0
1/3/2019 15:00,0,0,0,0,0,0,1153,0,0,0,0
1/3/2019 16:00,0,0,0,0,0,0,1287,0,0,0,0
1/3/2019 17:00,0,0,0,0,0,0,1185,0,0,0,0
1/3/2019 18:00,0,0,0,0,0,0,1216,0,0,0,0
1/3/2019 19:00,0,0,0,0,0,0,1284,0,0,0,0
1/3/2019 20:00,0,0,0,0,0,0,1239,0,0,0,0
1/3/2019 21:00,0,0,0,0,0,0,1341,0,0,0,0
1/3/2019 22:00,0,0,0,0,0,0,1629,0,0,0,0
1/3/2019 23:00,0,0,0,0,0,0,1821,0,0,0,0
1/4/2019 0:00,0,0,0,0,0,0,1882,0,0,0,0
1/4/2019 1:00,0,0,0,0,0,0,1876,0,0,0,0
1/4/2019 2:00,0,0,0,0,0,0,1592,0,0,0,0
1/4/2019 3:00,0,0,0,0,0,0,1430,0,0,0,0
1/4/2019 4:00,0,0,0,0,0,0,1351,0,0,0,0
1/4/2019 5:00,0,0,0,0,0,0,1170,0,0,0,0
1/4/2019 6:00,0,0,0,0,0,0,1090,0,0,0,0
1/4/2019 7:00,0,0,0,0,0,0,1120,0,0,0,0
1/4/2019 8:00,0,0,0,0,0,0,1098,0,0,0,0
1/4/2019 9:00,0,0,0,0,0,0,1156,0,0,0,0
1/4/2019 10:00,0,0,0,0,0,0,1231,0,0,0,0
1/4/2019 11:00,0,0,0,0,0,0,1280,0,0,0,0
1/4/2019 12:00,0,0,0,0,0,0,1442,0,0,0,0
1/4/2019 13:00,0,0,0,0,0,0,1412,0,0,0,0
1/4/2019 14:00,0,0,0,0,0,0,1356,0,0,0,0
1/4/2019 15:00,0,0,0,0,0,0,1302,0,0,0,0
1/4/2019 16:00,0,0,0,0,0,0,1334,0,0,0,0
1/4/2019 17:00,0,0,0,0,0,0,1476,0,0,0,0
1/4/2019 18:00,0,0,0,0,0,0,1720,0,0,0,0
1/4/2019 19:00,0,0,0,0,0,0,1768,0,0,0,0
1/4/2019 20:00,0,0,0,0,0,0,1937,0,0,0,0
1/4/2019 21:00,0,0,0,0,0,0,2226,0,0,0,0
1/4/2019 22:00,0,0,0,0,0,0,2292,0,0,0,0
1/4/2019 23:00,0,0,0,0,0,0,2292,0,0,0,0
1/5/2019 0:00,0,0,0,0,0,0,2146,0,0,0,0
1/5/2019 1:00,0,0,0,0,0,0,2096,0,0,0,0
1/5/2019 2:00,0,0,0,0,0,0,2163,0,0,0,0
1/5/2019 3:00,0,0,0,0,0,0,2239,0,0,0,0
1/5/2019 4:00,0,0,0,0,0,0,1969,0,0,0,0
1/5/2019 5:00,0,0,0,0,0,0,1931,0,0,0,0
1/5/2019 6:00,0,0,0,0,0,0,1779,0,0,0,0
1/5/2019 7:00,0,0,0,0,0,0,1589,0,0,0,0
1/5/2019 8:00,0,0,0,0,0,0,1415,0,0,0,0
1/5/2019 9:00,0,0,0,0,0,0,1359,0,0,0,0
1/5/2019 10:00,0,0,0,0,0,0,1434,0,0,0,0
1/5/2019 11:00,0,0,0,0,0,0,1464,0,0,0,0
1/5/2019 12:00,0,0,0,0,0,0,1303,0,0,0,0
1/5/2019 13:00,0,0,0,0,0,0,1147,0,0,0,0
1/5/2019 14:00,0,0,0,0,0,0,1080,0,0,0,0
1/5/2019 15:00,0,0,0,0,0,0,936,0,0,0,0
1/5/2019 16:00,0,0,0,0,0,0,1010,0,0,0,0
1/5/2019 17:00,0,0,0,0,0,0,1076,0,0,0,0
1/5/2019 18:00,0,0,0,0,0,0,1062,0,0,0,0
1/5/2019 19:00,0,0,0,0,0,0,1079,0,0,0,0
1/5/2019 20:00,0,0,0,0,0,0,1054,0,0,0,0
1/5/2019 21:00,0,0,0,0,0,0,1011,0,0,0,0
1/5/2019 22:00,0,0,0,0,0,0,1139,0,0,0,0
1/5/2019 23:00,0,0,0,0,0,0,1274,0,0,0,0
1/6/2019 0:00,0,0,0,0,0,0,1164,0,0,0,0
1/6/2019 1:00,0,0,0,0,0,0,1060,0,0,0,0
1/6/2019 2:00,0,0,0,0,0,0,1007,0,0,0,0
1/6/2019 3:00,0,0,0,0,0,0,1011,0,0,0,0
1/6/2019 4:00,0,0,0,0,0,0,989,0,0,0,0
1/6/2019 5:00,0,0,0,0,0,0,906,0,0,0,0
1/6/2019 6:00,0,0,0,0,0,0,690,0,0,0,0
1/6/2019 7:00,0,0,0,0,0,0,609,0,0,0,0
1/6/2019 8:00,0,0,0,0,0,0,586,0,0,0,0
1/6/2019 9:00,0,0,0,0,0,0,812,0,0,0,0
1/6/2019 10:00,242.3333333,459.6666667,0,2.666666667,54,0,963,0,0,0.666666667,0
1/6/2019 11:00,121.1666667,229.8333333,0,1.333333333,27,0,976,0,0,0.333333333,0
1/6/2019 12:00,60.58333333,114.9166667,0,0.666666667,13.5,0,1067,0,0,0.166666667,0
1/6/2019 13:00,30.29166667,57.45833333,0,0.333333333,6.75,0,1260,0,0,0.083333333,0
1/6/2019 14:00,15.14583333,28.72916667,0,0.166666667,3.375,0,1332,0,0,0.041666667,0
1/6/2019 15:00,7.572916667,14.36458333,0,0.083333333,1.6875,0,1400,0,0,0.020833333,0
1/6/2019 16:00,3.786458333,7.182291667,0,0.041666667,0.84375,0,1488,0,0,0.010416667,0
1/6/2019 17:00,1.893229167,3.591145833,0,0.020833333,0.421875,0,1732,0,0,0.005208333,0
1/6/2019 18:00,0.946614583,1.795572917,0,0.010416667,0.2109375,0,1814,0,0,0.002604167,0
1/6/2019 19:00,0.473307292,0.897786458,0,0.005208333,0.10546875,0,1857,0,0,0.001302083,0
1/6/2019 20:00,0.236653646,0.448893229,0,0.002604167,0.052734375,0,1932,0,0,0.000651042,0
1/6/2019 21:00,0.118326823,0.224446615,0,0.001302083,0.026367188,0,2068,0,0,0.000325521,0
1/6/2019 22:00,0.059163411,0.112223307,0,0.000651042,0.013183594,0,2100,0,0,0.00016276,0
1/6/2019 23:00,0.029581706,0.056111654,0,0.000325521,0.006591797,0,2024,0,0,8.14E-05,0
1/7/2019 0:00,0.014790853,0.028055827,0,0.00016276,0.003295898,0,2191,0,0,4.07E-05,0
1/7/2019 1:00,0.007395426,0.014027913,0,8.14E-05,0.001647949,0,2303,0,0,2.03E-05,0
1/7/2019 2:00,0.003697713,0.007013957,0,4.07E-05,0.000823975,0,2727,0,0,1.02E-05,0
1/7/2019 3:00,0.001848857,0.003506978,0,2.03E-05,0.000411987,0,2855,0,0,5.09E-06,0
1/7/2019 4:00,0.000924428,0.001753489,0,1.02E-05,0.000205994,0,3231,0,0,2.54E-06,0
1/7/2019 5:00,0.000462214,0.000876745,0,5.09E-06,0.000102997,0,3576,0,0,1.27E-06,0
1/7/2019 6:00,0.000231107,0.000438372,0,2.54E-06,5.15E-05,0,4075,0,0,6.36E-07,0
1/7/2019 7:00,0.000115554,0.000219186,0,1.27E-06,2.57E-05,0,4350,0,0,3.18E-07,0
1/7/2019 8:00,5.78E-05,0.000109593,0,6.36E-07,1.29E-05,0,4914,0,0,1.59E-07,0
1/7/2019 9:00,242.3333526,459.6667032,0,2.666666879,54.00000429,0,4749,0,0,0.66666672,0
1/7/2019 10:00,727,1379,0,8,162,0,4516,0,0,2,0
1/7/2019 11:00,424.0833333,804.4166667,0,4.666666667,94.5,0,4464,0,0,1.166666667,0
1/7/2019 12:00,242.3333333,459.6666667,0,2.666666667,54,0,4326,0,0,0.666666667,0
1/7/2019 13:00,136.3125,258.5625,0,1.5,30.375,0,4340,0,0,0.375,0
1/7/2019 14:00,75.72916667,143.6458333,0,0.833333333,16.875,0,4070,0,0,0.208333333,0
1/7/2019 15:00,41.65104167,79.00520833,0,0.458333333,9.28125,0,3797,0,0,0.114583333,0
1/7/2019 16:00,22.71875,43.09375,0,0.25,5.0625,0,3573,0,0,0.0625,0
1/7/2019 17:00,12.30598958,23.34244792,0,0.135416667,2.7421875,0,3193,0,0,0.033854167,0
1/7/2019 18:00,6.626302083,12.56901042,0,0.072916667,1.4765625,0,2888,0,0,0.018229167,0
1/7/2019 19:00,3.549804688,6.733398438,0,0.0390625,0.791015625,0,2806,0,0,0.009765625,0
1/7/2019 20:00,1.893229167,3.591145833,0,0.020833333,0.421875,0,2816,0,0,0.005208333,0
1/7/2019 21:00,1.005777995,1.907796224,0,0.011067708,0.224121094,0,2669,0,0,0.002766927,0
1/7/2019 22:00,0.532470703,1.010009766,0,0.005859375,0.118652344,0,2381,0,0,0.001464844,0
1/7/2019 23:00,0.281026204,0.53306071,0,0.003092448,0.06262207,0,2198,0,0,0.000773112,0
1/8/2019 0:00,0.147908529,0.280558268,0,0.001627604,0.032958984,0,2073,0,0,0.000406901,0
1/8/2019 1:00,0.077651978,0.147293091,0,0.000854492,0.017303467,0,1951,0,0,0.000213623,0
1/8/2019 2:00,0.040674845,0.077153524,0,0.000447591,0.009063721,0,1700,0,0,0.000111898,0
1/8/2019 3:00,0.021261851,0.040330251,0,0.000233968,0.004737854,0,1694,0,0,5.85E-05,0
1/8/2019 4:00,0.01109314,0.02104187,0,0.00012207,0.002471924,0,1728,0,0,3.05E-05,0
1/8/2019 5:00,0.005777677,0.010959307,0,6.36E-05,0.00128746,0,1388,0,0,1.59E-05,0
1/8/2019 6:00,0.003004392,0.00569884,0,3.31E-05,0.000669479,0,1025,0,0,8.27E-06,0
1/8/2019 7:00,0.001559973,0.002959013,0,1.72E-05,0.000347614,0,884,0,0,4.29E-06,0
1/8/2019 8:00,0.000808875,0.001534303,0,8.90E-06,0.000180244,0,778,0,0,2.23E-06,0
1/8/2019 9:00,121.1670807,229.8341188,0,1.33333789,27.00009227,0,724,0,0,0.333334472,0
1/8/2019 10:00,424.0835404,804.4170594,0,4.666668945,94.50004613,0,685,0,0,1.166667236,0
1/8/2019 11:00,424.0834369,804.416863,0,4.666667806,94.50002307,0,706,0,0,1.166666951,0
1/8/2019 12:00,333.2083851,632.0417648,0,3.666667236,74.25001153,0,660,0,0,0.916666809,0
1/8/2019 13:00,234.7604425,445.3021324,0,2.583333618,52.31250577,0,857,0,0,0.645833405,0
1/8/2019 14:00,155.2448046,294.4739829,0,1.708333476,34.59375288,0,1054,0,0,0.427083369,0
1/8/2019 15:00,98.44792314,186.7395956,0,1.083333405,21.93750144,0,1047,0,0,0.270833351,0
1/8/2019 16:00,60.58333657,114.9166728,0,0.666666702,13.50000072,0,1078,0,0,0.166666676,0
1/8/2019 17:00,36.44466308,69.12956036,0,0.401041684,8.12109411,0,1091,0,0,0.100260421,0
1/8/2019 18:00,21.53548258,40.84928539,0,0.236979176,4.798828305,0,1041,0,0,0.059244794,0
1/8/2019 19:00,12.54264363,23.79134191,0,0.138020838,2.794921965,0,914,0,0,0.034505209,0
1/8/2019 20:00,7.2179364,13.69124387,0,0.079427086,1.608398483,0,791,0,0,0.019856771,0
1/8/2019 21:00,4.111857197,7.799520049,0,0.045247397,0.916259788,0,678,0,0,0.011311849,0
1/8/2019 22:00,2.32216395,4.404764907,0,0.025553386,0.517456066,0,760,0,0,0.006388346,0
1/8/2019 23:00,1.301595077,2.468912808,0,0.014322917,0.290039068,0,832,0,0,0.003580729,0
1/9/2019 0:00,0.724751803,1.374735538,0,0.007975261,0.161499026,0,845,0,0,0.001993815,0
1/9/2019 1:00,0.40120189,0.761014315,0,0.004414876,0.089401247,0,778,0,0,0.001103719,0
1/9/2019 2:00,0.220938368,0.419083919,0,0.002431234,0.049232484,0,598,0,0,0.000607808,0
1/9/2019 3:00,0.121100109,0.229707085,0,0.001332601,0.026985169,0,524,0,0,0.00033315,0
1/9/2019 4:00,0.066096625,0.125374478,0,0.000727336,0.014728546,0,536,0,0,0.000181834,0
1/9/2019 5:00,0.035937151,0.068166892,0,0.000395457,0.008008003,0,643,0,0,9.89E-05,0
1/9/2019 6:00,0.019470771,0.036932866,0,0.000214259,0.004338741,0,704,0,0,5.36E-05,0
1/9/2019 7:00,0.010515372,0.01994594,0,0.000115712,0.002343178,0,680,0,0,2.89E-05,0
1/9/2019 8:00,0.005662123,0.010740121,0,6.23E-05,0.001261711,0,603,0,0,1.56E-05,0
1/9/2019 9:00,60.58637143,114.9224294,0,0.666700098,13.50067699,0,511,0,0,0.166675025,0
1/9/2019 10:00,242.3349559,459.6697444,0,2.666684522,54.00036156,0,402,0,0,0.66667113,0
1/9/2019 11:00,333.2091964,632.0433037,0,3.666676164,74.25019231,0,368,0,0,0.916669041,0
1/9/2019 12:00,333.2087907,632.0425343,0,3.6666717,74.25010192,0,321,0,0,0.916667925,0
1/9/2019 13:00,283.9846166,538.6723334,0,3.125002659,63.28130385,0,336,0,0,0.781250665,0
1/9/2019 14:00,219.6147106,416.5731581,0,2.416668067,48.93752836,0,340,0,0,0.604167017,0
1/9/2019 15:00,159.0313169,301.6563769,0,1.750000736,35.4375149,0,284,0,0,0.437500184,0
1/9/2019 16:00,109.8073267,208.2865248,0,1.208333719,24.46875781,0,254,0,0,0.30208343,0
1/9/2019 17:00,73.1259949,138.7080426,0,0.804687702,16.29492596,0,266,0,0,0.201171925,0
1/9/2019 18:00,47.33073874,89.77866399,0,0.520833439,10.54687713,0,188,0,0,0.13020836,0
1/9/2019 19:00,29.93669119,56.78500295,0,0.329427138,6.670899549,0,185,0,0,0.082356785,0
1/9/2019 20:00,18.57731379,35.23812341,0,0.204427112,4.139649016,0,136,0,0,0.051106778,0
1/9/2019 21:00,11.3445855,21.51882173,0,0.124837254,2.527954402,0,124,0,0,0.031209314,0
1/9/2019 22:00,6.833374723,12.96179332,0,0.07519532,1.522705234,0,171,0,0,0.01879883,0
1/9/2019 23:00,4.0674849,7.715353064,0,0.044759119,0.906372151,0,158,0,0,0.01118978,0
1/10/2019 0:00,2.396118352,4.545044301,0,0.02636719,0.533935589,0,165,0,0,0.006591797,0
1/10/2019 1:00,1.398660121,2.653029308,0,0.015391033,0.311668418,0,255,0,0,0.003847758,0
1/10/2019 2:00,0.809799244,1.536056613,0,0.008911133,0.180450451,0,266,0,0,0.002227783,0
1/10/2019 3:00,0.465449677,0.882881849,0,0.005121867,0.10371781,0,349,0,0,0.001280467,0
1/10/2019 4:00,0.265773151,0.504128163,0,0.002924601,0.059223178,0,384,0,0,0.00073115,0
1/10/2019 5:00,0.150855151,0.286147528,0,0.001660029,0.033615591,0,400,0,0,0.000415007,0
1/10/2019 6:00,0.085162961,0.161540197,0,0.000937144,0.018977166,0,389,0,0,0.000234286,0
1/10/2019 7:00,0.047839167,0.090743068,0,0.000526428,0.010660172,0,335,0,0,0.000131607,0
1/10/2019 8:00,0.026750645,0.050741595,0,0.000294367,0.005960942,0,339,0,0,7.36E-05,0
1/10/2019 9:00,30.30656104,57.48658552,0,0.333497233,6.753318966,0,307,0,0,0.083374308,0
1/10/2019 10:00,136.3207585,258.578165,0,1.500090877,30.37684026,0,242,0,0,0.375022719,0
1/10/2019 11:00,234.7649774,445.3107343,0,2.58338352,52.31351629,0,186,0,0,0.64584588,0
1/10/2019 12:00,283.9868841,538.6766343,0,3.12502761,63.28180911,0,138,0,0,0.781256903,0
1/10/2019 13:00,283.9857504,538.6744838,0,3.125015135,63.28155648,0,110,0,0,0.781253784,0
1/10/2019 14:00,251.8002305,477.623821,0,2.770841601,56.10954242,0,115,0,0,0.6927104,0
1/10/2019 15:00,205.4157737,389.6400989,0,2.260421168,45.77352866,0,122,0,0,0.565105292,0
1/10/2019 16:00,157.6115502,298.9633119,0,1.734377444,35.12114324,0,133,0,0,0.433594361,0
1/10/2019 17:00,115.3687726,218.8356772,0,1.269532573,25.7080346,0,139,0,0,0.317383143,0
1/10/2019 18:00,81.34975565,154.3071706,0,0.895183006,18.12745587,0,164,0,0,0.223795751,0
1/10/2019 19:00,55.64322342,105.5460868,0,0.612305072,12.39917771,0,180,0,0,0.153076268,0
1/10/2019 20:00,37.1102686,70.3921051,0,0.408366092,8.269413362,0,167,0,0,0.102091523,0
1/10/2019 21:00,24.22742705,45.95546341,0,0.266601673,5.398683882,0,160,0,0,0.066650418,0
1/10/2019 22:00,15.53040089,29.45862837,0,0.170898497,3.460694558,0,162,0,0,0.042724624,0
1/10/2019 23:00,9.798942893,18.58699072,0,0.107828808,2.183533354,0,162,0,0,0.026957202,0
1/11/2019 0:00,6.097530622,11.56601751,0,0.067097999,1.358734472,0,151,0,0,0.0167745,0
1/11/2019 1:00,3.748095372,7.109523408,0,0.041244516,0.835201445,0,167,0,0,0.010311129,0
1/11/2019 2:00,2.278947308,4.322790011,0,0.025077825,0.507825948,0,170,0,0,0.006269456,0
1/11/2019 3:00,1.372198492,2.60283593,0,0.015099846,0.305771879,0,171,0,0,0.003774961,0
1/11/2019 4:00,0.818985822,1.553482047,0,0.009012224,0.182497528,0,193,0,0,0.002253056,0
1/11/2019 5:00,0.484920486,0.919814787,0,0.005336126,0.108056559,0,217,0,0,0.001334032,0
1/11/2019 6:00,0.285041724,0.540677492,0,0.003136635,0.063516863,0,224,0,0,0.000784159,0
1/11/2019 7:00,0.166440445,0.31571028,0,0.001831532,0.037088517,0,252,0,0,0.000457883,0
1/11/2019 8:00,0.096595545,0.183225938,0,0.00106295,0.021524729,0,380,0,0,0.000265737,0
1/11/2019 9:00,15.20157829,28.83490573,0,0.167280091,3.387421847,0,419,0,0,0.041820023,0
1/11/2019 10:00,75.76116838,143.7065353,0,0.833685484,16.88213106,0,452,0,0,0.208421371,0
1/11/2019 11:00,155.2630729,294.5086348,0,1.708534502,34.59782367,0,541,0,0,0.427133626,0
1/11/2019 12:00,219.6249785,416.5926346,0,2.416781056,48.93981639,0,672,0,0,0.604195264,0
1/11/2019 13:00,251.8053644,477.6335592,0,2.770898095,56.11068643,0,1089,0,0,0.692724524,0
1/11/2019 14:00,251.8027975,477.6286901,0,2.770869848,56.11011443,0,1434,0,0,0.692717462,0
1/11/2019 15:00,228.6092856,433.6343945,0,2.515645508,50.94182154,0,1801,0,0,0.628911377,0
1/11/2019 16:00,193.1104179,366.2988532,0,2.125011476,43.03148239,0,1992,0,0,0.531252869,0
1/11/2019 17:00,154.2395952,292.5672652,0,1.697272024,34.36975849,0,2256,0,0,0.424318006,0
1/11/2019 18:00,117.7946754,223.4372179,0,1.296227515,26.24860718,0,2364,0,0,0.324056879,0
1/11/2019 19:00,86.71894942,164.4916523,0,0.954266294,19.32389244,0,2507,0,0,0.238566573,0
1/11/2019 20:00,61.91460901,117.4418787,0,0.681316193,13.7966529,0,2765,0,0,0.170329048,0
1/11/2019 21:00,43.07101803,81.69867107,0,0.473958933,9.597668392,0,2855,0,0,0.118489733,0
1/11/2019 22:00,29.30070946,55.57864972,0,0.322428715,6.529181475,0,3512,0,0,0.080607179,0
1/11/2019 23:00,19.54982618,37.08282022,0,0.215128761,4.356357415,0,3490,0,0,0.05378219,0
1/12/2019 0:00,12.8236784,24.32441886,0,0.14111338,2.857545943,0,3562,0,0,0.035278345,0
1/12/2019 1:00,8.285886886,15.71697113,0,0.091178948,1.846373694,0,4210,0,0,0.022794737,0
1/12/2019 2:00,157.5216114,403.346587,0,3.372085591,25.45139988,0,4112,0,0,0.676354731,0
1/12/2019 3:00,79.44690495,202.9747115,0,1.693592718,12.87858588,0,4024,0,0,0.340064846,0
1/12/2019 4:00,40.13294538,102.2640968,0,0.851302471,6.530541704,0,3904,0,0,0.171158951,0
1/12/2019 5:00,20.30893293,51.59195578,0,0.428319299,3.319299132,0,3878,0,0,0.086246491,0
1/12/2019 6:00,10.29698733,26.06631663,0,0.215727967,1.691407997,0,4048,0,0,0.043515325,0
1/12/2019 7:00,5.231713887,13.19101346,0,0.108779749,0.864248257,0,3974,0,0,0.021986604,0
1/12/2019 8:00,2.664154716,6.687119698,0,0.054921349,0.442886493,0,4441,0,0,0.011126171,0
1/12/2019 9:00,8.932866503,17.76101271,0,0.11110072,1.91515417,0,4568,0,0,0.026473097,0
1/12/2019 10:00,42.34701744,80.73377403,0,0.472393102,9.398642613,0,4647,0,0,0.117447234,0
1/12/2019 11:00,98.80504517,187.6212044,0,1.090463802,21.99823314,0,4738,0,0,0.27229043,0
1/12/2019 12:00,159.2150118,302.1069195,0,1.753622429,35.46902477,0,4815,0,0,0.438242847,0
1/12/2019 13:00,205.5101881,389.8702394,0,2.262260262,45.7898556,0,4695,0,0,0.565483685,0
1/12/2019 14:00,228.6564928,433.7494647,0,2.516565055,50.94998501,0,4438,0,0,0.629100574,0
1/12/2019 15:00,228.6328892,433.6919296,0,2.516105282,50.94590328,0,4288,0,0,0.629005975,0
1/12/2019 16:00,210.8716535,399.9953914,0,2.320558379,46.98869283,0,4390,0,0,0.580129422,0
1/12/2019 17:00,182.5556244,346.2813283,0,2.008915202,40.67922566,0,4545,0,0,0.502223714,0
1/12/2019 18:00,150.1751499,284.8592731,0,1.652571358,33.46391642,0,4526,0,0,0.413140296,0
1/12/2019 19:00,118.4470497,224.6754627,0,1.303418826,26.39390443,0,4594,0,0,0.325853435,0
1/12/2019 20:00,90.18082934,171.0586707,0,0.992367509,20.09527867,0,4796,0,0,0.248091242,0
1/12/2019 21:00,66.62592369,126.3786709,0,0.733163221,14.84647353,0,4694,0,0,0.183290487,0
1/12/2019 22:00,47.96331657,90.97866031,0,0.527795968,10.6878275,0,4518,0,0,0.131948833,0
1/12/2019 23:00,33.75657137,64.03074026,0,0.371462365,7.522092459,0,4701,0,0,0.092865512,0
1/13/2019 0:00,23.29012489,44.17757956,0,0.256287872,5.189819201,0,4533,0,0,0.064071928,0
1/13/2019 1:00,164.5253373,416.6315169,0,3.449155607,27.0120643,0,4368,0,0,0.695622222,0
1/13/2019 2:00,462,1190,0,10,74,0,4022,0,0,2,0
1/13/2019 3:00,270.7234525,696.4873557,0,5.846796359,43.43929294,0,3842,0,0,1.170032423,0
1/13/2019 4:00,155.4281989,399.3757263,0,3.349049415,24.98491732,0,3790,0,0,0.670595687,0
1/13/2019 5:00,87.86856593,225.483841,0,1.888684357,14.15210823,0,3745,0,0,0.378421089,0
1/13/2019 6:00,49.08277663,125.7750788,0,1.052206162,7.921758112,0,3756,0,0,0.210968207,0
1/13/2019 7:00,27.15724526,69.48304614,0,0.580492956,4.393003185,0,3675,0,0,0.116477406,0
1/13/2019 8:00,14.91069999,38.08508292,0,0.317707153,2.417944839,0,3951,0,0,0.063801788,0
1/13/2019 9:00,11.92178325,27.92304782,0,0.214403936,2.166549505,0,4283,0,0,0.045137442,0
1/13/2019 10:00,27.13440034,54.32841092,0,0.343398519,5.782596059,0,4697,0,0,0.081292338,0
1/13/2019 11:00,62.96972276,120.9748077,0,0.716931161,13.8904146,0,4871,0,0,0.176791384,0
1/13/2019 12:00,111.0923673,211.5408636,0,1.235276795,24.67971968,0,4898,0,0,0.307517115,0
1/13/2019 13:00,158.3012777,300.7055515,0,1.748768529,35.23478764,0,4959,0,0,0.4365004,0
1/13/2019 14:00,193.4788853,367.2275081,0,2.132666792,43.09238633,0,5134,0,0,0.532800487,0
1/13/2019 15:00,211.0558872,400.4597189,0,2.324386037,47.0191448,0,5174,0,0,0.580903231,0
1/13/2019 16:00,210.9637704,400.2275551,0,2.322472208,47.00391882,0,5247,0,0,0.580516327,0
1/13/2019 17:00,196.7596974,373.2544417,0,2.165693705,43.84157224,0,5522,0,0,0.54137002,0
1/13/2019 18:00,173.4674236,329.0568574,0,1.909132532,38.65274433,0,5383,0,0,0.477255158,0
1/13/2019 19:00,145.9572367,276.8661601,0,1.606275679,32.52332438,0,4940,0,0,0.401554297,0
