,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Peat,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Wind Onshore,"('Fossil Gas', 'Actual Aggregated')","('Fossil Gas', 'Actual Consumption')","('Fossil Hard coal', 'Actual Aggregated')","('Fossil Hard coal', 'Actual Consumption')","('Fossil Oil', 'Actual Aggregated')","('Fossil Oil', 'Actual Consumption')","('Fossil Peat', 'Actual Aggregated')","('Fossil Peat', 'Actual Consumption')","('Hydro Pumped Storage', 'Actual Aggregated')","('Hydro Pumped Storage', 'Actual Consumption')","('Hydro Run-of-river and poundage', 'Actual Aggregated')","('Hydro Run-of-river and poundage', 'Actual Consumption')","('Other', 'Actual Aggregated')","('Other', 'Actual Consumption')","('Wind Onshore', 'Actual Aggregated')"
2019-02-03 14:00:00+00:00,732.0,383.0,394.0,341.0,23.0,116.0,1.0,1579.0,,,,,,,,,,,,,,,
2019-02-03 14:30:00+00:00,769.0,397.0,176.0,345.0,30.0,118.0,1.0,1599.0,,,,,,,,,,,,,,,
2019-02-03 15:00:00+00:00,682.0,359.0,177.0,333.0,20.0,112.0,1.0,1771.0,,,,,,,,,,,,,,,
2019-02-03 15:30:00+00:00,601.0,343.0,176.0,334.0,21.0,112.0,1.0,1799.0,,,,,,,,,,,,,,,
2019-02-03 16:00:00+00:00,491.0,267.0,177.0,341.0,20.0,128.0,1.0,1961.0,,,,,,,,,,,,,,,
2019-02-03 16:30:00+00:00,567.0,270.0,176.0,340.0,24.0,129.0,1.0,2005.0,,,,,,,,,,,,,,,
2019-02-03 17:00:00+00:00,668.0,300.0,176.0,338.0,20.0,127.0,1.0,2050.0,,,,,,,,,,,,,,,
2019-02-03 17:30:00+00:00,738.0,326.0,177.0,337.0,60.0,128.0,1.0,2212.0,,,,,,,,,,,,,,,
2019-02-03 18:00:00+00:00,756.0,301.0,172.0,338.0,140.0,127.0,1.0,2309.0,,,,,,,,,,,,,,,
2019-02-03 18:30:00+00:00,625.0,273.0,171.0,335.0,60.0,125.0,1.0,2481.0,,,,,,,,,,,,,,,
2019-02-03 19:00:00+00:00,520.0,203.0,377.0,273.0,60.0,122.0,1.0,2497.0,,,,,,,,,,,,,,,
2019-02-03 19:30:00+00:00,647.0,203.0,133.0,231.0,20.0,107.0,1.0,2657.0,,,,,,,,,,,,,,,
2019-02-03 20:00:00+00:00,647.0,207.0,8.0,223.0,20.0,107.0,1.0,2708.0,,,,,,,,,,,,,,,
2019-02-03 20:30:00+00:00,640.0,206.0,8.0,207.0,20.0,106.0,1.0,2716.0,,,,,,,,,,,,,,,
2019-02-03 21:00:00+00:00,686.0,223.0,8.0,227.0,28.0,109.0,1.0,2579.0,,,,,,,,,,,,,,,
2019-02-03 21:30:00+00:00,613.0,223.0,8.0,281.0,26.0,108.0,1.0,2498.0,,,,,,,,,,,,,,,
2019-02-03 22:00:00+00:00,535.0,197.0,7.0,268.0,20.0,106.0,1.0,2300.0,,,,,,,,,,,,,,,
2019-02-03 22:30:00+00:00,550.0,204.0,7.0,266.0,24.0,109.0,1.0,1890.0,,,,,,,,,,,,,,,
2019-02-03 23:00:00+00:00,574.0,224.0,7.0,236.0,30.0,110.0,1.0,1793.0,,,,,,,,,,,,,,,
2019-02-03 23:30:00+00:00,590.0,262.0,7.0,229.0,35.0,94.0,1.0,1814.0,,,,,,,,,,,,,,,
2019-02-04 00:00:00+00:00,626.0,214.0,0.0,210.0,0.0,81.0,0.0,1901.0,,,,,,,,,,,,,,,
2019-02-04 00:30:00+00:00,616.0,206.0,0.0,209.0,0.0,69.0,0.0,1870.0,,,,,,,,,,,,,,,
2019-02-04 01:00:00+00:00,574.0,198.0,0.0,211.0,0.0,69.0,0.0,1986.0,,,,,,,,,,,,,,,
2019-02-04 01:30:00+00:00,539.0,200.0,0.0,214.0,0.0,69.0,0.0,2068.0,,,,,,,,,,,,,,,
2019-02-04 02:00:00+00:00,473.0,198.0,0.0,210.0,0.0,69.0,0.0,1956.0,,,,,,,,,,,,,,,
2019-02-04 02:30:00+00:00,451.0,197.0,0.0,207.0,0.0,68.0,0.0,1817.0,,,,,,,,,,,,,,,
2019-02-04 03:00:00+00:00,461.0,197.0,0.0,209.0,0.0,69.0,0.0,1705.0,,,,,,,,,,,,,,,
2019-02-04 03:30:00+00:00,463.0,199.0,0.0,210.0,0.0,69.0,0.0,1622.0,,,,,,,,,,,,,,,
2019-02-04 04:00:00+00:00,491.0,203.0,0.0,214.0,0.0,70.0,0.0,1605.0,,,,,,,,,,,,,,,
2019-02-04 04:30:00+00:00,508.0,203.0,0.0,215.0,0.0,70.0,0.0,1585.0,,,,,,,,,,,,,,,
2019-02-04 05:00:00+00:00,510.0,200.0,0.0,213.0,0.0,69.0,0.0,1842.0,,,,,,,,,,,,,,,
2019-02-04 05:30:00+00:00,743.0,202.0,0.0,283.0,0.0,69.0,0.0,1702.0,,,,,,,,,,,,,,,
2019-02-04 06:00:00+00:00,927.0,147.0,0.0,280.0,0.0,68.0,0.0,1558.0,,,,,,,,,,,,,,,
2019-02-04 06:30:00+00:00,915.0,154.0,0.0,320.0,15.0,68.0,0.0,1453.0,,,,,,,,,,,,,,,
2019-02-04 07:00:00+00:00,1106.0,156.0,0.0,336.0,15.0,66.0,0.0,1229.0,,,,,,,,,,,,,,,
2019-02-04 07:30:00+00:00,1431.0,177.0,0.0,345.0,37.0,72.0,0.0,915.0,,,,,,,,,,,,,,,
2019-02-04 08:00:00+00:00,1528.0,190.0,0.0,340.0,21.0,69.0,0.0,872.0,,,,,,,,,,,,,,,
2019-02-04 08:30:00+00:00,1485.0,217.0,0.0,339.0,20.0,68.0,0.0,827.0,,,,,,,,,,,,,,,
2019-02-04 09:00:00+00:00,1622.0,173.0,0.0,344.0,35.0,71.0,0.0,674.0,,,,,,,,,,,,,,,
2019-02-04 09:30:00+00:00,1656.0,213.0,0.0,340.0,20.0,68.0,0.0,614.0,,,,,,,,,,,,,,,
2019-02-04 10:00:00+00:00,1585.0,238.0,12.0,334.0,20.0,67.0,1.0,572.0,,,,,,,,,,,,,,,
2019-02-04 10:30:00+00:00,1529.0,239.0,12.0,335.0,13.0,49.0,1.0,515.0,,,,,,,,,,,,,,,
2019-02-04 11:00:00+00:00,1572.0,289.0,20.0,338.0,72.0,50.0,1.0,423.0,,,,,,,,,,,,,,,
2019-02-04 11:30:00+00:00,1549.0,289.0,26.0,336.0,72.0,68.0,1.0,394.0,,,,,,,,,,,,,,,
2019-02-04 12:00:00+00:00,1524.0,295.0,23.0,337.0,72.0,68.0,1.0,388.0,,,,,,,,,,,,,,,
2019-02-04 12:30:00+00:00,1527.0,312.0,28.0,340.0,72.0,69.0,1.0,291.0,,,,,,,,,,,,,,,
2019-02-04 13:00:00+00:00,1547.0,350.0,29.0,338.0,72.0,68.0,1.0,265.0,,,,,,,,,,,,,,,
2019-02-04 13:30:00+00:00,1491.0,391.0,26.0,334.0,72.0,87.0,1.0,236.0,,,,,,,,,,,,,,,
2019-02-04 14:00:00+00:00,1528.0,311.0,30.0,341.0,0.0,90.0,0.0,191.0,,,,,,,,,,,,,,,
2019-02-04 14:30:00+00:00,1491.0,298.0,36.0,335.0,15.0,95.0,0.0,160.0,,,,,,,,,,,,,,,
2019-02-04 15:00:00+00:00,1518.0,310.0,32.0,340.0,20.0,105.0,0.0,116.0,,,,,,,,,,,,,,,
2019-02-04 15:30:00+00:00,1524.0,310.0,35.0,341.0,24.0,116.0,0.0,102.0,,,,,,,,,,,,,,,
2019-02-04 16:00:00+00:00,1581.0,348.0,61.0,341.0,20.0,125.0,0.0,76.0,,,,,,,,,,,,,,,
2019-02-04 16:30:00+00:00,1561.0,406.0,120.0,339.0,141.0,126.0,0.0,57.0,,,,,,,,,,,,,,,
2019-02-04 17:00:00+00:00,1574.0,489.0,141.0,340.0,182.0,138.0,0.0,71.0,,,,,,,,,,,,,,,
2019-02-04 17:30:00+00:00,1725.0,477.0,198.0,338.0,189.0,145.0,0.0,127.0,,,,,,,,,,,,,,,
2019-02-04 18:00:00+00:00,1737.0,479.0,205.0,338.0,220.0,145.0,0.0,193.0,,,,,,,,,,,,,,,
2019-02-04 18:30:00+00:00,1749.0,477.0,164.0,340.0,256.0,183.0,0.0,237.0,,,,,,,,,,,,,,,
2019-02-04 19:00:00+00:00,1647.0,488.0,117.0,343.0,261.0,186.0,0.0,210.0,,,,,,,,,,,,,,,
2019-02-04 19:30:00+00:00,1648.0,475.0,52.0,340.0,158.0,161.0,0.0,300.0,,,,,,,,,,,,,,,
2019-02-04 20:00:00+00:00,1542.0,405.0,8.0,343.0,109.0,143.0,0.0,445.0,,,,,,,,,,,,,,,
2019-02-04 20:30:00+00:00,1526.0,387.0,0.0,338.0,20.0,105.0,0.0,568.0,,,,,,,,,,,,,,,
2019-02-04 21:00:00+00:00,1410.0,392.0,0.0,338.0,20.0,94.0,0.0,692.0,,,,,,,,,,,,,,,
2019-02-04 21:30:00+00:00,1350.0,301.0,0.0,336.0,20.0,94.0,0.0,850.0,,,,,,,,,,,,,,,
2019-02-04 22:00:00+00:00,1325.0,265.0,0.0,333.0,19.0,92.0,0.0,956.0,,,,,,,,,,,,,,,
2019-02-04 22:30:00+00:00,1046.0,278.0,0.0,338.0,20.0,95.0,0.0,1157.0,,,,,,,,,,,,,,,
2019-02-04 23:00:00+00:00,887.0,212.0,0.0,326.0,20.0,94.0,0.0,1237.0,,,,,,,,,,,,,,,
2019-02-04 23:30:00+00:00,533.0,227.0,0.0,336.0,11.0,67.0,0.0,1475.0,,,,,,,,,,,,,,,
2019-02-05 00:00:00+00:00,680.0,200.0,0.0,230.0,0.0,68.0,0.0,1507.0,,,,,,,,,,,,,,,
2019-02-05 00:30:00+00:00,652.0,199.0,0.0,230.0,0.0,62.0,0.0,1622.0,,,,,,,,,,,,,,,
2019-02-05 01:00:00+00:00,521.0,152.0,0.0,211.0,0.0,54.0,0.0,1737.0,,,,,,,,,,,,,,,
2019-02-05 01:30:00+00:00,592.0,105.0,0.0,216.0,0.0,48.0,0.0,1827.0,,,,,,,,,,,,,,,
2019-02-05 02:00:00+00:00,428.0,99.0,0.0,204.0,0.0,46.0,0.0,1895.0,,,,,,,,,,,,,,,
2019-02-05 02:30:00+00:00,421.0,99.0,0.0,203.0,0.0,45.0,0.0,1686.0,,,,,,,,,,,,,,,
2019-02-05 03:00:00+00:00,440.0,101.0,0.0,209.0,0.0,46.0,0.0,1636.0,,,,,,,,,,,,,,,
2019-02-05 03:30:00+00:00,457.0,102.0,0.0,213.0,0.0,47.0,0.0,1643.0,,,,,,,,,,,,,,,
2019-02-05 04:00:00+00:00,452.0,102.0,0.0,211.0,0.0,47.0,0.0,1630.0,,,,,,,,,,,,,,,
2019-02-05 04:30:00+00:00,440.0,99.0,0.0,210.0,0.0,46.0,0.0,1859.0,,,,,,,,,,,,,,,
2019-02-05 05:00:00+00:00,440.0,99.0,0.0,209.0,0.0,46.0,0.0,1935.0,,,,,,,,,,,,,,,
2019-02-05 05:30:00+00:00,442.0,102.0,0.0,211.0,0.0,46.0,0.0,2106.0,,,,,,,,,,,,,,,
2019-02-05 06:00:00+00:00,460.0,101.0,0.0,214.0,0.0,47.0,0.0,2082.0,,,,,,,,,,,,,,,
2019-02-05 06:30:00+00:00,580.0,100.0,0.0,296.0,0.0,53.0,0.0,2084.0,,,,,,,,,,,,,,,
2019-02-05 07:00:00+00:00,584.0,99.0,0.0,305.0,21.0,69.0,0.0,2207.0,,,,,,,,,,,,,,,
2019-02-05 07:30:00+00:00,764.0,101.0,0.0,328.0,24.0,69.0,0.0,2298.0,,,,,,,,,,,,,,,
2019-02-05 08:00:00+00:00,756.0,155.0,0.0,335.0,20.0,67.0,0.0,2381.0,,,,,,,,,,,,,,,
2019-02-05 08:30:00+00:00,766.0,156.0,0.0,319.0,20.0,68.0,0.0,2374.0,,,,,,,,,,,,,,,
2019-02-05 09:00:00+00:00,733.0,165.0,0.0,322.0,25.0,69.0,0.0,2387.0,,,,,,,,,,,,,,,
2019-02-05 09:30:00+00:00,885.0,165.0,0.0,324.0,29.0,70.0,0.0,2225.0,,,,,,,,,,,,,,,
2019-02-05 10:00:00+00:00,871.0,164.0,0.0,322.0,24.0,69.0,0.0,2272.0,,,,,,,,,,,,,,,
2019-02-05 10:30:00+00:00,855.0,164.0,0.0,322.0,20.0,69.0,0.0,2298.0,,,,,,,,,,,,,,,
2019-02-05 11:00:00+00:00,854.0,159.0,0.0,331.0,21.0,69.0,0.0,2445.0,,,,,,,,,,,,,,,
2019-02-05 11:30:00+00:00,942.0,161.0,0.0,328.0,26.0,70.0,0.0,2462.0,,,,,,,,,,,,,,,
2019-02-05 12:00:00+00:00,955.0,162.0,0.0,330.0,32.0,70.0,0.0,2559.0,,,,,,,,,,,,,,,
2019-02-05 12:30:00+00:00,944.0,131.0,0.0,325.0,20.0,69.0,0.0,2562.0,,,,,,,,,,,,,,,
2019-02-05 13:00:00+00:00,926.0,99.0,0.0,324.0,20.0,69.0,0.0,2633.0,,,,,,,,,,,,,,,
2019-02-05 13:30:00+00:00,922.0,99.0,0.0,313.0,20.0,79.0,0.0,2639.0,,,,,,,,,,,,,,,
2019-02-05 14:00:00+00:00,933.0,100.0,0.0,316.0,23.0,81.0,0.0,2643.0,,,,,,,,,,,,,,,
2019-02-05 14:30:00+00:00,964.0,113.0,0.0,320.0,32.0,93.0,0.0,2479.0,,,,,,,,,,,,,,,
2019-02-05 15:00:00+00:00,965.0,162.0,0.0,321.0,34.0,96.0,0.0,2285.0,,,,,,,,,,,,,,,
2019-02-05 15:30:00+00:00,943.0,146.0,0.0,316.0,70.0,98.0,0.0,2324.0,,,,,,,,,,,,,,,
2019-02-05 16:00:00+00:00,909.0,178.0,0.0,311.0,21.0,100.0,0.0,2441.0,,,,,,,,,,,,,,,
2019-02-05 16:30:00+00:00,957.0,197.0,0.0,315.0,26.0,109.0,0.0,2486.0,,,,,,,,,,,,,,,
2019-02-05 17:00:00+00:00,927.0,195.0,0.0,314.0,20.0,114.0,0.0,2349.0,,,,,,,,,,,,,,,
2019-02-05 17:30:00+00:00,956.0,201.0,0.0,322.0,23.0,116.0,0.0,2303.0,,,,,,,,,,,,,,,
2019-02-05 18:00:00+00:00,958.0,164.0,0.0,323.0,20.0,129.0,0.0,2156.0,,,,,,,,,,,,,,,
2019-02-05 18:30:00+00:00,987.0,170.0,0.0,327.0,23.0,131.0,0.0,1982.0,,,,,,,,,,,,,,,
2019-02-05 19:00:00+00:00,1006.0,174.0,0.0,329.0,28.0,132.0,0.0,1746.0,,,,,,,,,,,,,,,
2019-02-05 19:30:00+00:00,970.0,169.0,0.0,327.0,23.0,117.0,0.0,1755.0,,,,,,,,,,,,,,,
2019-02-05 20:00:00+00:00,984.0,174.0,0.0,328.0,30.0,117.0,0.0,1707.0,,,,,,,,,,,,,,,
2019-02-05 20:30:00+00:00,998.0,177.0,0.0,330.0,33.0,119.0,0.0,1585.0,,,,,,,,,,,,,,,
2019-02-05 21:00:00+00:00,978.0,169.0,0.0,342.0,23.0,117.0,0.0,1522.0,,,,,,,,,,,,,,,
2019-02-05 21:30:00+00:00,978.0,177.0,0.0,343.0,27.0,118.0,0.0,1433.0,,,,,,,,,,,,,,,
2019-02-05 22:00:00+00:00,871.0,148.0,0.0,340.0,22.0,116.0,0.0,1270.0,,,,,,,,,,,,,,,
2019-02-05 22:30:00+00:00,648.0,102.0,0.0,340.0,28.0,117.0,0.0,1279.0,,,,,,,,,,,,,,,
2019-02-05 23:00:00+00:00,526.0,107.0,0.0,333.0,30.0,117.0,0.0,1207.0,,,,,,,,,,,,,,,
2019-02-05 23:30:00+00:00,460.0,102.0,0.0,326.0,25.0,91.0,0.0,1322.0,,,,,,,,,,,,,,,
2019-02-06 00:00:00+00:00,577.0,106.0,0.0,314.0,20.0,80.0,0.0,1264.0,,,,,,,,,,,,,,,
2019-02-06 00:30:00+00:00,724.0,103.0,0.0,314.0,0.0,64.0,0.0,1260.0,,,,,,,,,,,,,,,
2019-02-06 01:00:00+00:00,639.0,104.0,0.0,302.0,0.0,47.0,0.0,1386.0,,,,,,,,,,,,,,,
2019-02-06 01:30:00+00:00,548.0,104.0,0.0,303.0,0.0,47.0,0.0,1462.0,,,,,,,,,,,,,,,
2019-02-06 02:00:00+00:00,530.0,107.0,0.0,285.0,0.0,47.0,0.0,1440.0,,,,,,,,,,,,,,,
2019-02-06 02:30:00+00:00,564.0,103.0,0.0,241.0,0.0,47.0,0.0,1464.0,,,,,,,,,,,,,,,
2019-02-06 03:00:00+00:00,554.0,101.0,0.0,232.0,0.0,46.0,0.0,1471.0,,,,,,,,,,,,,,,
2019-02-06 03:30:00+00:00,562.0,103.0,0.0,248.0,0.0,47.0,0.0,1503.0,,,,,,,,,,,,,,,
2019-02-06 04:00:00+00:00,529.0,99.0,0.0,279.0,0.0,45.0,0.0,1567.0,,,,,,,,,,,,,,,
2019-02-06 04:30:00+00:00,544.0,99.0,0.0,281.0,0.0,46.0,0.0,1522.0,,,,,,,,,,,,,,,
2019-02-06 05:00:00+00:00,552.0,100.0,0.0,242.0,0.0,47.0,0.0,1568.0,,,,,,,,,,,,,,,
