UTC Time,Biomass,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Onshore,Wind Offshore
2019-01-05 12:00:00+00:00,346.0,2056.0,1755.0,636.0,126.0,33.0,384.0,724.0,
2019-01-05 13:00:00+00:00,345.0,1975.0,1756.0,659.0,125.0,33.0,378.0,541.0,
2019-01-05 14:00:00+00:00,345.0,1847.0,1741.0,539.0,114.0,33.0,340.0,458.0,
2019-01-05 15:00:00+00:00,341.0,1931.0,1708.0,548.0,121.0,32.0,254.0,457.0,
2019-01-05 16:00:00+00:00,343.0,2086.0,1759.0,999.0,369.0,32.0,101.0,593.0,
2019-01-05 17:00:00+00:00,344.0,1985.0,1716.0,1200.0,535.0,33.0,3.0,775.0,
2019-01-05 18:00:00+00:00,337.0,2160.0,1756.0,1243.0,625.0,33.0,0.0,781.0,
2019-01-05 19:00:00+00:00,341.0,2203.0,1756.0,1267.0,742.0,34.0,0.0,809.0,
2019-01-05 20:00:00+00:00,339.0,2070.0,1756.0,1110.0,462.0,33.0,0.0,891.0,
2019-01-05 21:00:00+00:00,341.0,2016.0,1757.0,1057.0,319.0,33.0,0.0,1106.0,
2019-01-05 22:00:00+00:00,335.0,1651.0,1757.0,708.0,113.0,34.0,0.0,1238.0,
2019-01-05 23:00:00+00:00,333.0,1032.0,1483.0,528.0,113.0,33.0,0.0,1294.0,
2019-01-06 00:00:00+00:00,335.0,619.0,1075.0,234.0,113.0,33.0,0.0,1382.0,
2019-01-06 01:00:00+00:00,332.0,465.0,1000.0,135.0,113.0,33.0,0.0,1523.0,
2019-01-06 02:00:00+00:00,334.0,465.0,947.0,92.0,113.0,34.0,0.0,1635.0,
2019-01-06 03:00:00+00:00,332.0,462.0,958.0,92.0,64.0,34.0,0.0,1724.0,
2019-01-06 04:00:00+00:00,332.0,460.0,962.0,96.0,63.0,33.0,0.0,1596.0,
2019-01-06 05:00:00+00:00,329.0,460.0,960.0,94.0,63.0,32.0,0.0,1406.0,
2019-01-06 06:00:00+00:00,331.0,459.0,954.0,133.0,63.0,30.0,0.0,1382.0,
2019-01-06 07:00:00+00:00,334.0,458.0,950.0,208.0,63.0,31.0,0.0,1417.0,
2019-01-06 08:00:00+00:00,337.0,462.0,964.0,348.0,65.0,33.0,57.0,1480.0,
2019-01-06 09:00:00+00:00,339.0,546.0,1147.0,589.0,123.0,32.0,205.0,1474.0,
2019-01-06 10:00:00+00:00,338.0,702.0,1188.0,664.0,177.0,32.0,308.0,1346.0,
2019-01-06 11:00:00+00:00,338.0,692.0,1186.0,671.0,183.0,32.0,371.0,1246.0,
2019-01-06 12:00:00+00:00,335.0,684.0,1188.0,749.0,175.0,33.0,384.0,1188.0,
2019-01-06 13:00:00+00:00,336.0,715.0,1186.0,486.0,113.0,33.0,371.0,1171.0,
2019-01-06 14:00:00+00:00,339.0,655.0,1175.0,490.0,113.0,32.0,334.0,1213.0,
2019-01-06 15:00:00+00:00,341.0,664.0,1094.0,555.0,116.0,32.0,251.0,1181.0,
2019-01-06 16:00:00+00:00,337.0,687.0,1187.0,588.0,124.0,32.0,104.0,1363.0,
2019-01-06 17:00:00+00:00,338.0,705.0,1187.0,859.0,312.0,32.0,4.0,1676.0,
2019-01-06 18:00:00+00:00,337.0,770.0,1186.0,1000.0,355.0,32.0,0.0,1821.0,
2019-01-06 19:00:00+00:00,335.0,769.0,1186.0,1083.0,262.0,32.0,0.0,1957.0,
2019-01-06 20:00:00+00:00,331.0,772.0,1186.0,1121.0,306.0,32.0,0.0,2038.0,
2019-01-06 21:00:00+00:00,331.0,771.0,1187.0,1106.0,234.0,32.0,0.0,2135.0,
2019-01-06 22:00:00+00:00,332.0,773.0,1187.0,858.0,180.0,32.0,0.0,2231.0,
2019-01-06 23:00:00+00:00,332.0,603.0,1129.0,440.0,113.0,33.0,0.0,2289.0,
2019-01-07 00:00:00+00:00,335.0,453.0,946.0,235.0,113.0,32.0,0.0,2270.0,
2019-01-07 01:00:00+00:00,339.0,455.0,947.0,86.0,113.0,33.0,0.0,2336.0,
2019-01-07 02:00:00+00:00,339.0,454.0,949.0,90.0,72.0,33.0,0.0,2374.0,
2019-01-07 03:00:00+00:00,333.0,456.0,1008.0,121.0,64.0,33.0,0.0,2280.0,
2019-01-07 04:00:00+00:00,337.0,542.0,1083.0,98.0,115.0,33.0,0.0,2178.0,
2019-01-07 05:00:00+00:00,337.0,816.0,1214.0,149.0,113.0,31.0,0.0,2063.0,
2019-01-07 06:00:00+00:00,337.0,1339.0,1572.0,583.0,116.0,31.0,0.0,1972.0,
2019-01-07 07:00:00+00:00,335.0,1975.0,1733.0,737.0,169.0,32.0,0.0,1920.0,
2019-01-07 08:00:00+00:00,330.0,2528.0,1758.0,906.0,189.0,33.0,58.0,1825.0,
2019-01-07 09:00:00+00:00,334.0,2618.0,1758.0,1021.0,279.0,32.0,213.0,1796.0,
2019-01-07 10:00:00+00:00,331.0,2598.0,1757.0,928.0,260.0,33.0,322.0,1658.0,
2019-01-07 11:00:00+00:00,336.0,2648.0,1756.0,935.0,257.0,36.0,372.0,1391.0,
2019-01-07 12:00:00+00:00,340.0,2609.0,1756.0,937.0,183.0,35.0,384.0,1089.0,
2019-01-07 13:00:00+00:00,335.0,2628.0,1757.0,785.0,88.0,35.0,374.0,875.0,
2019-01-07 14:00:00+00:00,338.0,2624.0,1756.0,757.0,126.0,35.0,338.0,776.0,
2019-01-07 15:00:00+00:00,334.0,2639.0,1757.0,693.0,189.0,37.0,255.0,761.0,
2019-01-07 16:00:00+00:00,325.0,2711.0,1756.0,587.0,202.0,36.0,107.0,951.0,
2019-01-07 17:00:00+00:00,332.0,2698.0,1754.0,1321.0,311.0,36.0,4.0,1239.0,
2019-01-07 18:00:00+00:00,336.0,2613.0,1755.0,1364.0,407.0,36.0,0.0,1500.0,
2019-01-07 19:00:00+00:00,341.0,2577.0,1756.0,1268.0,212.0,36.0,0.0,1728.0,
2019-01-07 20:00:00+00:00,343.0,2541.0,1757.0,949.0,138.0,36.0,0.0,1926.0,
2019-01-07 21:00:00+00:00,341.0,2209.0,1756.0,697.0,113.0,36.0,0.0,2008.0,
2019-01-07 22:00:00+00:00,344.0,1889.0,1756.0,539.0,113.0,36.0,0.0,2015.0,
2019-01-07 23:00:00+00:00,344.0,1378.0,1697.0,379.0,113.0,36.0,0.0,2108.0,
2019-01-08 00:00:00+00:00,344.0,927.0,1463.0,293.0,113.0,36.0,0.0,2221.0,
2019-01-08 01:00:00+00:00,343.0,894.0,1348.0,84.0,113.0,36.0,0.0,2308.0,
2019-01-08 02:00:00+00:00,343.0,884.0,1279.0,83.0,113.0,36.0,0.0,2286.0,
2019-01-08 03:00:00+00:00,343.0,890.0,1214.0,87.0,113.0,35.0,0.0,2275.0,
2019-01-08 04:00:00+00:00,339.0,901.0,1207.0,98.0,113.0,36.0,0.0,2084.0,
2019-01-08 05:00:00+00:00,328.0,1188.0,1366.0,150.0,113.0,35.0,0.0,1901.0,
2019-01-08 06:00:00+00:00,313.0,1450.0,1665.0,309.0,103.0,33.0,0.0,1760.0,
2019-01-08 07:00:00+00:00,312.0,2043.0,1757.0,432.0,286.0,35.0,0.0,1848.0,
2019-01-08 08:00:00+00:00,312.0,2207.0,1756.0,926.0,238.0,35.0,62.0,1910.0,
2019-01-08 09:00:00+00:00,304.0,2371.0,1756.0,1046.0,279.0,36.0,217.0,1637.0,
2019-01-08 10:00:00+00:00,308.0,2216.0,1756.0,1077.0,266.0,35.0,319.0,1410.0,
2019-01-08 11:00:00+00:00,307.0,2173.0,1756.0,1115.0,171.0,33.0,364.0,1219.0,
2019-01-08 12:00:00+00:00,285.0,2074.0,1689.0,1046.0,113.0,14.0,375.0,1020.0,
2019-01-08 13:00:00+00:00,285.0,1950.0,1621.0,769.0,61.0,14.0,362.0,821.0,
2019-01-08 14:00:00+00:00,286.0,2177.0,1543.0,843.0,63.0,14.0,327.0,655.0,
2019-01-08 15:00:00+00:00,302.0,2157.0,1531.0,777.0,66.0,29.0,247.0,638.0,
2019-01-08 16:00:00+00:00,305.0,2224.0,1609.0,992.0,180.0,30.0,105.0,737.0,
2019-01-08 17:00:00+00:00,312.0,2271.0,1543.0,1242.0,356.0,36.0,4.0,806.0,
2019-01-08 18:00:00+00:00,315.0,2263.0,1729.0,1359.0,311.0,36.0,0.0,938.0,
2019-01-08 19:00:00+00:00,316.0,2392.0,1756.0,1305.0,201.0,36.0,0.0,1175.0,
2019-01-08 20:00:00+00:00,313.0,2244.0,1756.0,1176.0,200.0,36.0,0.0,1381.0,
2019-01-08 21:00:00+00:00,308.0,2186.0,1756.0,829.0,113.0,36.0,0.0,1497.0,
2019-01-08 22:00:00+00:00,306.0,1785.0,1756.0,616.0,113.0,35.0,0.0,1584.0,
2019-01-08 23:00:00+00:00,308.0,1368.0,1597.0,341.0,70.0,35.0,0.0,1514.0,
2019-01-09 00:00:00+00:00,304.0,1011.0,1309.0,100.0,63.0,34.0,0.0,1438.0,
2019-01-09 01:00:00+00:00,294.0,934.0,1264.0,75.0,63.0,35.0,0.0,1468.0,
2019-01-09 02:00:00+00:00,292.0,934.0,1187.0,78.0,62.0,34.0,0.0,1582.0,
2019-01-09 03:00:00+00:00,290.0,961.0,1176.0,79.0,61.0,35.0,0.0,1491.0,
2019-01-09 04:00:00+00:00,285.0,981.0,1293.0,89.0,61.0,34.0,0.0,1315.0,
2019-01-09 05:00:00+00:00,285.0,1086.0,1432.0,90.0,64.0,33.0,0.0,1165.0,
2019-01-09 06:00:00+00:00,278.0,1467.0,1752.0,406.0,225.0,30.0,0.0,1080.0,
2019-01-09 07:00:00+00:00,267.0,2112.0,1758.0,861.0,403.0,27.0,0.0,1165.0,
2019-01-09 08:00:00+00:00,265.0,2197.0,1758.0,925.0,244.0,31.0,58.0,1301.0,
2019-01-09 09:00:00+00:00,256.0,2200.0,1759.0,1029.0,288.0,32.0,207.0,1376.0,
2019-01-09 10:00:00+00:00,256.0,2133.0,1637.0,989.0,287.0,34.0,308.0,1155.0,
2019-01-09 11:00:00+00:00,252.0,2142.0,1561.0,876.0,207.0,35.0,356.0,900.0,
2019-01-09 12:00:00+00:00,255.0,2121.0,1499.0,810.0,159.0,36.0,363.0,702.0,
2019-01-09 13:00:00+00:00,260.0,2095.0,1425.0,640.0,145.0,36.0,362.0,667.0,
2019-01-09 14:00:00+00:00,260.0,2129.0,1444.0,780.0,145.0,36.0,328.0,674.0,
2019-01-09 15:00:00+00:00,269.0,2019.0,1568.0,620.0,117.0,37.0,249.0,739.0,
2019-01-09 16:00:00+00:00,274.0,2293.0,1657.0,907.0,216.0,36.0,107.0,896.0,
2019-01-09 17:00:00+00:00,277.0,2222.0,1700.0,879.0,255.0,36.0,4.0,1189.0,
2019-01-09 18:00:00+00:00,279.0,2208.0,1757.0,803.0,290.0,35.0,0.0,1406.0,
2019-01-09 19:00:00+00:00,269.0,2250.0,1758.0,510.0,201.0,37.0,0.0,1614.0,
2019-01-09 20:00:00+00:00,273.0,2273.0,1758.0,479.0,147.0,37.0,0.0,1842.0,
2019-01-09 21:00:00+00:00,280.0,1833.0,1757.0,414.0,113.0,36.0,0.0,2130.0,
2019-01-09 22:00:00+00:00,278.0,1203.0,1620.0,330.0,69.0,36.0,0.0,2443.0,
2019-01-09 23:00:00+00:00,272.0,1108.0,1504.0,249.0,21.0,35.0,0.0,2821.0,
2019-01-10 00:00:00+00:00,270.0,919.0,1163.0,75.0,1.0,35.0,0.0,2845.0,
2019-01-10 01:00:00+00:00,273.0,930.0,1273.0,79.0,62.0,35.0,0.0,2720.0,
2019-01-10 02:00:00+00:00,273.0,892.0,1077.0,84.0,1.0,35.0,0.0,2884.0,
2019-01-10 03:00:00+00:00,281.0,902.0,986.0,86.0,1.0,36.0,0.0,2902.0,
2019-01-10 04:00:00+00:00,281.0,885.0,1384.0,99.0,1.0,35.0,0.0,2859.0,
2019-01-10 05:00:00+00:00,279.0,1119.0,1737.0,324.0,95.0,36.0,0.0,2879.0,
2019-01-10 06:00:00+00:00,280.0,1557.0,1756.0,464.0,183.0,36.0,0.0,2945.0,
2019-01-10 07:00:00+00:00,281.0,2274.0,1757.0,675.0,190.0,36.0,0.0,2998.0,
2019-01-10 08:00:00+00:00,265.0,2666.0,1758.0,915.0,215.0,36.0,57.0,3099.0,
2019-01-10 09:00:00+00:00,264.0,2669.0,1758.0,984.0,258.0,35.0,201.0,3042.0,
2019-01-10 10:00:00+00:00,269.0,2616.0,1757.0,990.0,193.0,36.0,293.0,2934.0,
2019-01-10 11:00:00+00:00,273.0,2647.0,1757.0,855.0,209.0,36.0,354.0,2919.0,
2019-01-10 12:00:00+00:00,277.0,2659.0,1751.0,773.0,252.0,37.0,379.0,2703.0,
2019-01-10 13:00:00+00:00,281.0,2672.0,1754.0,498.0,205.0,37.0,371.0,2442.0,
2019-01-10 14:00:00+00:00,283.0,2493.0,1747.0,541.0,238.0,37.0,335.0,2481.0,
2019-01-10 15:00:00+00:00,282.0,2360.0,1634.0,549.0,291.0,37.0,251.0,2576.0,
2019-01-10 16:00:00+00:00,284.0,2376.0,1720.0,1084.0,292.0,36.0,107.0,2562.0,
2019-01-10 17:00:00+00:00,284.0,2596.0,1729.0,997.0,397.0,36.0,5.0,2712.0,
2019-01-10 18:00:00+00:00,285.0,2840.0,1756.0,1110.0,837.0,36.0,0.0,2878.0,
2019-01-10 19:00:00+00:00,287.0,2765.0,1754.0,1332.0,794.0,36.0,0.0,3046.0,
2019-01-10 20:00:00+00:00,276.0,2522.0,1754.0,1003.0,203.0,36.0,0.0,2973.0,
2019-01-10 21:00:00+00:00,275.0,2340.0,1754.0,691.0,155.0,36.0,0.0,3097.0,
2019-01-10 22:00:00+00:00,278.0,2105.0,1754.0,433.0,114.0,36.0,0.0,3174.0,
2019-01-10 23:00:00+00:00,293.0,1400.0,1754.0,324.0,323.0,36.0,0.0,3252.0,
2019-01-11 00:00:00+00:00,298.0,957.0,1694.0,297.0,341.0,36.0,0.0,3267.0,
2019-01-11 01:00:00+00:00,308.0,938.0,1620.0,104.0,116.0,36.0,0.0,3334.0,
2019-01-11 02:00:00+00:00,301.0,933.0,1447.0,75.0,1.0,36.0,0.0,3552.0,
2019-01-11 03:00:00+00:00,308.0,963.0,1250.0,80.0,2.0,36.0,0.0,3705.0,
2019-01-11 04:00:00+00:00,297.0,964.0,1298.0,82.0,66.0,36.0,0.0,3636.0,
2019-01-11 05:00:00+00:00,295.0,1085.0,1579.0,279.0,83.0,36.0,0.0,3614.0,
2019-01-11 06:00:00+00:00,303.0,1703.0,1698.0,508.0,107.0,36.0,0.0,3566.0,
2019-01-11 07:00:00+00:00,310.0,2685.0,1699.0,975.0,216.0,36.0,0.0,3403.0,
2019-01-11 08:00:00+00:00,308.0,2757.0,1699.0,1148.0,592.0,36.0,63.0,3301.0,
2019-01-11 09:00:00+00:00,319.0,2751.0,1699.0,1182.0,492.0,36.0,219.0,3083.0,
2019-01-11 10:00:00+00:00,322.0,2688.0,1699.0,1222.0,194.0,36.0,320.0,2777.0,
2019-01-11 11:00:00+00:00,318.0,2736.0,1700.0,912.0,173.0,36.0,367.0,2378.0,
2019-01-11 12:00:00+00:00,326.0,2605.0,1697.0,772.0,150.0,36.0,386.0,2000.0,
2019-01-11 13:00:00+00:00,325.0,2588.0,1735.0,771.0,135.0,36.0,378.0,1661.0,
2019-01-11 14:00:00+00:00,323.0,2614.0,1751.0,738.0,175.0,35.0,345.0,1475.0,
2019-01-11 15:00:00+00:00,319.0,2570.0,1753.0,647.0,176.0,34.0,266.0,1410.0,
2019-01-11 16:00:00+00:00,318.0,2563.0,1754.0,717.0,165.0,33.0,119.0,1533.0,
2019-01-11 17:00:00+00:00,321.0,2658.0,1756.0,1021.0,208.0,33.0,6.0,1771.0,
2019-01-11 18:00:00+00:00,328.0,2705.0,1757.0,1117.0,535.0,34.0,0.0,2040.0,
2019-01-11 19:00:00+00:00,334.0,2706.0,1757.0,932.0,275.0,34.0,0.0,2264.0,
2019-01-11 20:00:00+00:00,337.0,2682.0,1757.0,929.0,155.0,33.0,0.0,2434.0,
2019-01-11 21:00:00+00:00,335.0,2232.0,1757.0,878.0,163.0,33.0,0.0,2600.0,
