,Solar
2019-01-06 13:00:00+01:00,5181.0
2019-01-06 14:00:00+01:00,3693.0
2019-01-06 15:00:00+01:00,1881.0
2019-01-06 16:00:00+01:00,357.0
2019-01-06 17:00:00+01:00,0.0
2019-01-06 18:00:00+01:00,0.0
2019-01-06 19:00:00+01:00,0.0
2019-01-06 20:00:00+01:00,0.0
2019-01-06 21:00:00+01:00,0.0
2019-01-06 22:00:00+01:00,0.0
2019-01-06 23:00:00+01:00,0.0
2019-01-07 00:00:00+01:00,0.0
2019-01-07 01:00:00+01:00,0.0
2019-01-07 02:00:00+01:00,0.0
2019-01-07 03:00:00+01:00,0.0
2019-01-07 04:00:00+01:00,0.0
2019-01-07 05:00:00+01:00,0.0
2019-01-07 06:00:00+01:00,0.0
2019-01-07 07:00:00+01:00,24.0
2019-01-07 08:00:00+01:00,678.0
2019-01-07 09:00:00+01:00,2296.0
2019-01-07 10:00:00+01:00,3845.0
2019-01-07 11:00:00+01:00,4818.0
2019-01-07 12:00:00+01:00,5166.0
2019-01-07 13:00:00+01:00,4735.0
2019-01-07 14:00:00+01:00,3494.0
2019-01-07 15:00:00+01:00,1847.0
2019-01-07 16:00:00+01:00,371.0
2019-01-07 17:00:00+01:00,0.0
2019-01-07 18:00:00+01:00,0.0
2019-01-07 19:00:00+01:00,0.0
2019-01-07 20:00:00+01:00,0.0
2019-01-07 21:00:00+01:00,0.0
2019-01-07 22:00:00+01:00,0.0
2019-01-07 23:00:00+01:00,0.0
2019-01-08 00:00:00+01:00,0.0
2019-01-08 01:00:00+01:00,0.0
2019-01-08 02:00:00+01:00,0.0
2019-01-08 03:00:00+01:00,0.0
2019-01-08 04:00:00+01:00,0.0
2019-01-08 05:00:00+01:00,0.0
2019-01-08 06:00:00+01:00,0.0
2019-01-08 07:00:00+01:00,26.0
2019-01-08 08:00:00+01:00,694.0
2019-01-08 09:00:00+01:00,1989.0
2019-01-08 10:00:00+01:00,2987.0
2019-01-08 11:00:00+01:00,3598.0
2019-01-08 12:00:00+01:00,3605.0
2019-01-08 13:00:00+01:00,3152.0
2019-01-08 14:00:00+01:00,2256.0
2019-01-08 15:00:00+01:00,1214.0
2019-01-08 16:00:00+01:00,221.0
2019-01-08 17:00:00+01:00,0.0
2019-01-08 18:00:00+01:00,0.0
2019-01-08 19:00:00+01:00,0.0
2019-01-08 20:00:00+01:00,0.0
2019-01-08 21:00:00+01:00,0.0
2019-01-08 22:00:00+01:00,0.0
2019-01-08 23:00:00+01:00,0.0
2019-01-09 00:00:00+01:00,0.0
