UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-10-24 16:00:00,2024-07-17 00:00:00,3.1,4.303052716011477,276.57392376092764,271.55648246460254,80.44498200949326,1.920279823487511,176.89685,3e-05,611.47357,98.62966,335.54342,41.04468
2023-10-24 17:00:00,2024-07-17 00:00:00,3.1,4.303052716011477,276.57392376092764,271.55648246460254,80.44498200949326,1.920279823487511,178.9974,3e-05,608.20214,148.37292,319.36809,39.96203
2023-10-24 18:00:00,2024-07-17 00:00:00,3.1,4.303052716011477,276.57392376092764,271.55648246460254,80.44498200949326,1.920279823487511,186.9271,0.00138,564.98633,215.64726,311.45779,39.33289
2023-10-24 19:00:00,2024-07-17 00:00:00,3.1,4.62888394384434,277.1691947399389,271.17041129928486,308.16042420136347,0.9367459745403408,184.39007,0.0,515.94442,252.4037,307.84527,38.85477
2023-10-24 20:00:00,2024-07-17 00:00:00,3.1,4.62888394384434,277.1691947399389,271.17041129928486,308.16042420136347,0.9367459745403408,189.40967,0.00271,469.67638,264.76817,293.33402,37.6023
2023-10-24 21:00:00,2024-07-17 00:00:00,3.1,4.62888394384434,277.1691947399389,271.17041129928486,308.16042420136347,0.9367459745403408,186.13185,0.00036,440.76415,272.63663,292.68923,36.84369
2023-10-24 22:00:00,2024-07-17 00:00:00,3.1,4.03469357192672,275.4138841432676,270.85020508526543,241.2146553809671,1.8667876775285648,184.13197,0.0,472.45226,248.46957,297.33625,36.72398
2023-10-24 23:00:00,2024-07-17 00:00:00,3.1,4.03469357192672,275.4138841432676,270.85020508526543,241.2146553809671,1.8667876775285648,186.42492,0.0,516.70308,211.14377,311.47955,36.40031
2023-10-25 00:00:00,2024-07-17 00:00:00,3.1,4.03469357192672,275.4138841432676,270.85020508526543,241.2146553809671,1.8667876775285648,181.24134,0.0,565.12934,69.23388,327.91787,36.43278
2023-10-25 01:00:00,2024-07-17 00:00:00,3.1,3.0677420999256144,273.1673953073576,270.34252234120595,4.480083146565713,0.888631896763328,187.85163,0.0,602.47569,43.36333,333.19782,36.36622
2023-10-25 02:00:00,2024-07-17 00:00:00,3.1,3.0677420999256144,273.1673953073576,270.34252234120595,4.480083146565713,0.888631896763328,187.12334,0.00372,646.87517,10.11272,338.14683,36.60467
2023-10-25 03:00:00,2024-07-17 00:00:00,3.1,3.0677420999256144,273.1673953073576,270.34252234120595,4.480083146565713,0.888631896763328,183.8766,0.0,637.31588,0.0,340.69607,37.2837
2023-10-25 04:00:00,2024-07-17 00:00:00,3.1,2.7248554810657897,272.0663007147048,269.66099875747,2.2399600208538653,1.6748365646161003,182.13621,0.0,635.43908,0.0,337.46948,37.73331
2023-10-25 05:00:00,2024-07-17 00:00:00,3.1,2.7248554810657897,272.0663007147048,269.66099875747,2.2399600208538653,1.6748365646161003,182.83819,0.0,600.63375,0.0,329.60629,38.73734
2023-10-25 06:00:00,2024-07-17 00:00:00,3.1,2.7248554810657897,272.0663007147048,269.66099875747,2.2399600208538653,1.6748365646161003,184.64036,0.0,540.17054,12.4601,331.58434,38.99854
2023-10-25 07:00:00,2024-07-17 00:00:00,3.1,2.6781821380855853,271.188771276289,268.9714432404663,0.0,0.6561017883820366,177.73529,0.0,480.94381,18.08863,324.62186,40.49521
2023-10-25 08:00:00,2024-07-17 00:00:00,3.1,2.6781821380855853,271.188771276289,268.9714432404663,0.0,0.6561017883820366,183.60192,0.0,435.8088,13.45381,328.95234,41.40375
2023-10-25 09:00:00,2024-07-17 00:00:00,3.1,2.6781821380855853,271.188771276289,268.9714432404663,0.0,0.6561017883820366,182.5373,0.0,411.84242,16.44988,336.51615,42.1567
2023-10-25 10:00:00,2024-07-17 00:00:00,3.1,2.7314904513099845,270.27139229641386,268.2057172310852,0.0,1.4469309565164483,179.94928,0.00013,421.73122,19.22264,336.24676,42.64571
2023-10-25 11:00:00,2024-07-17 00:00:00,3.1,2.7314904513099845,270.27139229641386,268.2057172310852,0.0,1.4469309565164483,177.99553,0.00369,467.1854,11.56945,338.86847,43.15335
2023-10-25 12:00:00,2024-07-17 00:00:00,3.1,2.7314904513099845,270.27139229641386,268.2057172310852,0.0,1.4469309565164483,180.08679,0.0,515.19303,0.0,334.79069,43.09763
2023-10-25 13:00:00,2024-07-17 00:00:00,3.1,2.8980919718040057,269.81733511887654,267.6094172257006,5.22063446318007,0.7488667782840002,176.70058,0.0,586.13373,0.0,322.96157,42.66717
2023-10-25 14:00:00,2024-07-17 00:00:00,3.1,2.8980919718040057,269.81733511887654,267.6094172257006,5.22063446318007,0.7488667782840002,172.27746,0.0,637.44661,0.0,321.84898,42.81578
2023-10-25 15:00:00,2024-07-17 00:00:00,3.1,2.8980919718040057,269.81733511887654,267.6094172257006,5.22063446318007,0.7488667782840002,176.85121,0.0,650.42668,0.0,334.47465,43.11149
2023-10-25 16:00:00,2024-07-17 00:00:00,3.1,3.82260219956601,272.1537014291302,267.2157520205037,113.18495062487474,1.266045996149261,174.3069,3e-05,627.64677,7.6227,334.25612,42.97296
2023-10-25 17:00:00,2024-07-17 00:00:00,3.1,3.82260219956601,272.1537014291302,267.2157520205037,113.18495062487474,1.266045996149261,176.44214,3e-05,627.98032,45.00682,325.05957,41.97029
2023-10-25 18:00:00,2024-07-17 00:00:00,3.1,3.82260219956601,272.1537014291302,267.2157520205037,113.18495062487474,1.266045996149261,184.41728,0.00138,578.52633,101.22296,322.99088,41.3867
2023-10-25 19:00:00,2024-07-17 00:00:00,3.1,3.9482202185525206,273.64902548273847,266.5908589515359,419.2239454367937,0.3075126667418548,181.87106,0.0,517.23481,143.36818,318.07879,40.93579
2023-10-25 20:00:00,2024-07-17 00:00:00,3.1,3.9482202185525206,273.64902548273847,266.5908589515359,419.2239454367937,0.3075126667418548,187.00483,0.00271,454.51565,163.30109,317.46807,39.69149
2023-10-25 21:00:00,2024-07-17 00:00:00,3.1,3.9482202185525206,273.64902548273847,266.5908589515359,419.2239454367937,0.3075126667418548,183.71421,0.00036,411.00089,169.37209,323.49247,39.02607
2023-10-25 22:00:00,2024-07-17 00:00:00,3.1,2.8911328569264847,272.799407847756,266.0678845383161,329.59907021773006,0.5048942696669017,181.67613,0.0,434.00816,149.74307,326.52005,39.04765
2023-10-25 23:00:00,2024-07-17 00:00:00,3.1,2.8911328569264847,272.799407847756,266.0678845383161,329.59907021773006,0.5048942696669017,183.97587,0.0,477.87243,116.47969,335.67482,38.70388
2023-10-26 00:00:00,2024-07-17 00:00:00,3.1,2.8911328569264847,272.799407847756,266.0678845383161,329.59907021773006,0.5048942696669017,178.83384,0.0,536.85863,52.5422,354.64871,38.68042
2023-10-26 01:00:00,2024-07-17 00:00:00,3.1,1.7782161237195313,269.4373038555519,264.7405763977333,5.810092642389359,0.0518134666533622,185.4459,0.0,574.7776,27.13384,359.10697,38.66823
2023-10-26 02:00:00,2024-07-17 00:00:00,3.1,1.7782161237195313,269.4373038555519,264.7405763977333,5.810092642389359,0.0518134666533622,184.61387,0.00372,622.52436,0.0,362.6602,38.85633
2023-10-26 03:00:00,2024-07-17 00:00:00,3.1,1.7782161237195313,269.4373038555519,264.7405763977333,5.810092642389359,0.0518134666533622,181.35281,0.0,615.22495,0.0,364.0634,39.5679
2023-10-26 04:00:00,2024-07-17 00:00:00,3.1,1.6333252832636913,268.68753812447613,264.35192953648533,2.905037503743314,0.0856482284430712,179.68115,0.0,614.62278,0.0,359.79981,39.95897
2023-10-26 05:00:00,2024-07-17 00:00:00,3.1,1.6333252832636913,268.68753812447613,264.35192953648533,2.905037503743314,0.0856482284430712,180.35257,0.0,581.24934,0.0,350.89995,40.88968
2023-10-26 06:00:00,2024-07-17 00:00:00,3.1,1.6333252832636913,268.68753812447613,264.35192953648533,2.905037503743314,0.0856482284430712,182.17916,0.0,521.93403,12.64746,351.76946,41.02193
2023-10-26 07:00:00,2024-07-17 00:00:00,3.1,1.5722251997432617,268.36288807148014,264.3491400912276,0.0,0.0445442208125512,175.29903,0.0,461.54938,17.61461,342.42786,42.52908
2023-10-26 08:00:00,2024-07-17 00:00:00,3.1,1.5722251997432617,268.36288807148014,264.3491400912276,0.0,0.0445442208125512,181.23547,0.0,415.53537,12.02711,344.96994,43.33861
2023-10-26 09:00:00,2024-07-17 00:00:00,3.1,1.5722251997432617,268.36288807148014,264.3491400912276,0.0,0.0445442208125512,180.15599,0.0,391.74074,13.77866,351.37896,44.10115
2023-10-26 10:00:00,2024-07-17 00:00:00,3.1,1.5168898074250703,267.8288948342133,264.1821201129908,0.0,0.1074204503701412,177.60514,0.00013,404.26667,17.94226,349.46117,44.55646
2023-10-26 11:00:00,2024-07-17 00:00:00,3.1,1.5168898074250703,267.8288948342133,264.1821201129908,0.0,0.1074204503701412,175.62291,0.00369,454.50861,12.71015,350.10801,44.93819
2023-10-26 12:00:00,2024-07-17 00:00:00,3.1,1.5168898074250703,267.8288948342133,264.1821201129908,0.0,0.1074204503701412,177.64296,0.0,508.76178,0.0,344.8602,44.86197
2023-10-26 13:00:00,2024-07-17 00:00:00,3.1,1.4262229900085155,268.4135650401436,264.59327287638087,7.490583845789184,0.0559780473421606,174.18068,0.0,586.38863,0.0,331.95454,44.25594
2023-10-26 14:00:00,2024-07-17 00:00:00,3.1,1.4262229900085155,268.4135650401436,264.59327287638087,7.490583845789184,0.0559780473421606,169.65505,0.0,644.03473,0.0,329.7476,44.52376
2023-10-26 15:00:00,2024-07-17 00:00:00,3.1,1.4262229900085155,268.4135650401436,264.59327287638087,7.490583845789184,0.0559780473421606,174.29468,0.0,663.07957,5.19813,341.49697,44.74185
2023-10-26 16:00:00,2024-07-17 00:00:00,3.1,1.867155610528052,272.82448578234096,265.72017816288763,146.19635474881505,0.1013189611116025,171.81565,3e-05,642.36069,26.68618,339.97523,44.63392
2023-10-26 17:00:00,2024-07-17 00:00:00,3.1,1.867155610528052,272.82448578234096,265.72017816288763,146.19635474881505,0.1013189611116025,173.98429,3e-05,643.15516,61.86503,330.15017,43.70014
2023-10-26 18:00:00,2024-07-17 00:00:00,3.1,1.867155610528052,272.82448578234096,265.72017816288763,146.19635474881505,0.1013189611116025,182.00312,0.00138,589.57564,114.13592,327.62957,43.15579
2023-10-26 19:00:00,2024-07-17 00:00:00,3.1,2.6186787797112885,274.66679911478366,265.5787791996207,493.1859601754721,0.0919896140499183,179.44806,0.0,520.7456,151.85349,322.68851,42.7283
