UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_solar_production_forecast,avg_other_production_forecast
2023-11-08 16:00:00,2024-07-17 00:00:00,3.1,3.831263215951149,299.21106514630435,291.12801626872056,461.8040672911116,0.1432311784845947,11372.02528,2883.9347,0.00035,854.92655
2023-11-08 17:00:00,2024-07-17 00:00:00,3.1,3.831263215951149,299.21106514630435,291.12801626872056,461.8040672911116,0.1432311784845947,12414.35767,2888.50193,0.0,865.09425
2023-11-08 18:00:00,2024-07-17 00:00:00,3.1,3.831263215951149,299.21106514630435,291.12801626872056,461.8040672911116,0.1432311784845947,13324.44068,2888.82349,0.0,1019.74978
2023-11-08 19:00:00,2024-07-17 00:00:00,3.1,3.998071751321141,299.10862731632176,291.397405683446,473.4119032079635,0.0441526273556351,13977.42838,2892.76296,0.0,974.00875
2023-11-08 20:00:00,2024-07-17 00:00:00,3.1,3.998071751321141,299.10862731632176,291.397405683446,473.4119032079635,0.0441526273556351,14397.49696,2891.22197,0.00013,831.20754
2023-11-08 21:00:00,2024-07-17 00:00:00,3.1,3.998071751321141,299.10862731632176,291.397405683446,473.4119032079635,0.0441526273556351,14644.9212,2891.78506,9e-05,778.96788
2023-11-08 22:00:00,2024-07-17 00:00:00,3.1,4.327007983277286,297.43062760488414,292.0247350861167,264.610144270508,0.0817029505707717,14687.54311,2899.88615,0.01423,852.72836
2023-11-08 23:00:00,2024-07-17 00:00:00,3.1,4.327007983277286,297.43062760488414,292.0247350861167,264.610144270508,0.0817029505707717,14518.55982,2908.82443,0.02057,844.23225
2023-11-09 00:00:00,2024-07-17 00:00:00,3.1,4.327007983277286,297.43062760488414,292.0247350861167,264.610144270508,0.0817029505707717,13259.55963,2907.22867,0.0,956.67578
2023-11-09 01:00:00,2024-07-17 00:00:00,3.1,4.504915459351742,296.9249168070013,292.5097996614776,0.0,0.0366439615656426,12671.9204,2914.52398,0.0,906.76798
2023-11-09 02:00:00,2024-07-17 00:00:00,3.1,4.504915459351742,296.9249168070013,292.5097996614776,0.0,0.0366439615656426,12201.50918,2908.83388,0.0,842.90009
2023-11-09 03:00:00,2024-07-17 00:00:00,3.1,4.504915459351742,296.9249168070013,292.5097996614776,0.0,0.0366439615656426,11685.7225,2911.76168,0.01438,619.24309
2023-11-09 04:00:00,2024-07-17 00:00:00,3.1,4.309140525847708,296.6045598533847,292.86577688509783,0.0,0.1031662476977968,10742.90165,2916.34922,0.0,523.14364
