datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_solar_production_forecast,avg_other_production_forecast
2023-08-29 11:00:00,2023-08-30 02:35:36,3.0,5.738997286198506,301.28807166780325,297.5865420725174,0.0,1.8848679236675177,8105.28583,3723.41011,0.0,0.0
2023-08-29 12:00:00,2023-08-30 02:35:36,3.0,5.738997286198506,301.28807166780325,297.5865420725174,0.0,1.8848679236675177,8769.76846,3724.88286,0.0,0.0
2023-08-29 13:00:00,2023-08-30 02:35:36,3.0,7.258617428027964,303.32199980088694,297.2821685098209,6.926911033738456,2.298776180055784,9756.0529,3722.16448,727.28998,296779.76666
2023-08-29 14:00:00,2023-08-30 02:35:36,3.0,7.258617428027964,303.32199980088694,297.2821685098209,6.926911033738456,2.298776180055784,10839.67812,3716.1082,5203.14014,2123206.37204
2023-08-29 15:00:00,2023-08-30 02:35:36,3.0,7.258617428027964,303.32199980088694,297.2821685098209,6.926911033738456,2.298776180055784,11748.80187,3716.90124,10669.26953,4353728.7981
2023-08-29 16:00:00,2023-08-30 02:35:36,3.0,7.976013780186346,304.2593287710524,296.93988120095224,373.6333870889496,3.137052988033915,12859.66598,3683.6075,12955.66016,5286719.07251
2023-08-29 17:00:00,2023-08-30 02:35:36,3.0,7.976013780186346,304.2593287710524,296.93988120095224,373.6333870889496,3.137052988033915,13619.08717,3710.13171,13665.91992,5576549.44812
2023-08-29 18:00:00,2023-08-30 02:35:36,3.0,7.976013780186346,304.2593287710524,296.93988120095224,373.6333870889496,3.137052988033915,14277.84231,3727.09601,13952.63965,5693549.01654
2023-08-29 19:00:00,2023-08-30 02:35:36,3.0,8.160775703093933,303.48496389359764,297.2220658739073,527.9581579195744,4.415853496695324,14517.36906,3697.84727,13985.25,5706856.07812
2023-08-29 20:00:00,2023-08-30 02:35:36,3.0,8.160775703093933,303.48496389359764,297.2220658739073,527.9581579195744,4.415853496695324,14995.49657,3671.44511,13960.55957,5696780.83966
2023-08-29 21:00:00,2023-08-30 02:35:36,3.0,8.160775703093933,303.48496389359764,297.2220658739073,527.9581579195744,4.415853496695324,14946.86907,3673.18513,13844.92969,5649596.62061
2023-08-29 22:00:00,2023-08-30 02:35:36,3.0,8.288826837519885,302.1748478323299,297.4895292361913,455.5058804522704,5.55693529445526,14916.91362,3672.36942,13433.66016,5481772.94751
