UTC Time,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2020-03-27 04:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 05:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 06:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 07:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 08:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 09:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 10:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 11:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 12:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 13:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 14:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 15:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 16:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 17:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 18:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 19:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 20:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 21:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-03-27 22:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-27 23:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 00:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 01:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 02:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 03:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 04:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 05:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 06:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 07:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 08:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 09:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 10:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 11:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 12:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 13:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 14:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 15:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 16:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 17:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 18:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 19:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 20:00:00+00:00,True,True,True,True,True,True,True,False,True,False
2020-03-28 21:00:00+00:00,True,True,True,True,True,True,True,False,True,False
Total Missing Minutes,2880,4320,4320,4320,4320,4320,4320,0,2880,0
Percentage per Source,0.1366,0.2049,0.2049,0.2049,0.2049,0.2049,0.2049,0.0,0.1366,0.0
