,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Waste,Wind Onshore,Wind Onshore,Solar,Other renewable,Hydro Water Reservoir,Fossil Hard coal,Geothermal,Fossil Hard coal
2019-01-01 14:00:00+01:00,364.0,1639.0,2669.0,0.0,,48.0,56.0,7760.0,244.0,47.0,53.0,625.0,,,,,,,
2019-01-01 15:00:00+01:00,361.0,1609.0,3132.0,0.0,,48.0,56.0,7764.0,244.0,44.0,49.0,721.0,,,,,,,
2019-01-01 16:00:00+01:00,363.0,1630.0,3145.0,0.0,,48.0,56.0,7764.0,240.0,43.0,50.0,714.0,,,,,,,
2019-01-01 17:00:00+01:00,362.0,1636.0,3308.0,0.0,,48.0,56.0,7760.0,243.0,41.0,52.0,782.0,,,,,,,
2019-01-01 18:00:00+01:00,367.0,1629.0,3340.0,0.0,,48.0,56.0,7757.0,244.0,44.0,55.0,741.0,,,,,,,
2019-01-01 19:00:00+01:00,367.0,1584.0,3287.0,0.0,,48.0,56.0,7755.0,231.0,44.0,51.0,685.0,,,,,,,
2019-01-01 20:00:00+01:00,367.0,1509.0,3410.0,0.0,,48.0,56.0,7756.0,200.0,40.0,52.0,743.0,,,,,,,
2019-01-01 21:00:00+01:00,368.0,1553.0,3223.0,0.0,,48.0,56.0,7756.0,208.0,40.0,52.0,831.0,,,,,,,
2019-01-01 22:00:00+01:00,368.0,1608.0,2502.0,0.0,,48.0,56.0,7761.0,212.0,40.0,53.0,833.0,,,,,,,
2019-01-01 23:00:00+01:00,367.0,1497.0,2479.0,0.0,,48.0,56.0,7759.0,212.0,40.0,54.0,834.0,,,,,,,
2019-01-02 00:00:00+01:00,368.0,1597.0,2395.0,0.0,,48.0,56.0,7751.0,212.0,36.0,55.0,840.0,,,,,,,
2019-01-02 01:00:00+01:00,359.0,1474.0,2491.0,0.0,,48.0,56.0,7752.0,212.0,28.0,56.0,688.0,,,,,,,
2019-01-02 02:00:00+01:00,311.0,1261.0,2501.0,0.0,,48.0,56.0,7749.0,208.0,20.0,54.0,899.0,,,,,,,
2019-01-02 03:00:00+01:00,289.0,1100.0,2546.0,0.0,,48.0,56.0,7748.0,208.0,18.0,56.0,896.0,,,,,,,
2019-01-02 04:00:00+01:00,303.0,1153.0,2571.0,0.0,,48.0,56.0,7754.0,208.0,19.0,55.0,973.0,,,,,,,
2019-01-02 05:00:00+01:00,357.0,1429.0,2664.0,0.0,,48.0,56.0,7758.0,242.0,23.0,54.0,939.0,,,,,,,
2019-01-02 06:00:00+01:00,378.0,1698.0,2721.0,0.0,,48.0,56.0,7756.0,252.0,35.0,58.0,1041.0,,,,,,,
2019-01-02 07:00:00+01:00,378.0,1682.0,2778.0,0.0,,51.0,56.0,7752.0,252.0,38.0,57.0,1135.0,,,,,,,
2019-01-02 08:00:00+01:00,382.0,1718.0,3031.0,0.0,,52.0,56.0,7752.0,252.0,37.0,56.0,1063.0,,,,,,,
2019-01-02 09:00:00+01:00,381.0,1761.0,3097.0,0.0,,48.0,56.0,7748.0,252.0,40.0,53.0,1035.0,,,,,,,
2019-01-02 10:00:00+01:00,378.0,1754.0,3103.0,0.0,,51.0,56.0,7748.0,248.0,43.0,56.0,1066.0,,,,,,,
2019-01-02 11:00:00+01:00,376.0,1719.0,3031.0,0.0,,51.0,56.0,7747.0,248.0,44.0,55.0,1139.0,,,,,,,
2019-01-02 12:00:00+01:00,376.0,1793.0,3163.0,0.0,,48.0,56.0,7750.0,248.0,44.0,56.0,1132.0,,,,,,,
2019-01-02 13:00:00+01:00,372.0,1720.0,3222.0,0.0,,52.0,56.0,7751.0,244.0,44.0,58.0,1146.0,,,,,,,
2019-01-02 14:00:00+01:00,377.0,1657.0,3265.0,0.0,,50.0,56.0,7755.0,248.0,44.0,57.0,1140.0,,,,,,,
2019-01-02 15:00:00+01:00,366.0,1600.0,3239.0,0.0,,48.0,56.0,7754.0,248.0,40.0,59.0,1168.0,,,,,,,
2019-01-02 16:00:00+01:00,361.0,1721.0,3159.0,0.0,,48.0,56.0,7752.0,244.0,38.0,55.0,1148.0,,,,,,,
2019-01-02 17:00:00+01:00,353.0,1750.0,3404.0,0.0,,48.0,56.0,7752.0,247.0,36.0,55.0,1139.0,,,,,,,
2019-01-02 18:00:00+01:00,368.0,1800.0,3514.0,0.0,,49.0,56.0,7752.0,248.0,36.0,58.0,1089.0,,,,,,,
2019-01-02 19:00:00+01:00,372.0,1759.0,3565.0,0.0,,48.0,56.0,7750.0,235.0,32.0,54.0,1064.0,,,,,,,
2019-01-02 20:00:00+01:00,372.0,1749.0,3454.0,0.0,,48.0,57.0,7752.0,200.0,33.0,58.0,1152.0,,,,,,,
2019-01-02 21:00:00+01:00,372.0,1801.0,3589.0,0.0,,48.0,60.0,7753.0,212.0,40.0,59.0,1137.0,,,,,,,
2019-01-02 22:00:00+01:00,372.0,1683.0,3171.0,0.0,,48.0,60.0,7754.0,216.0,43.0,60.0,1146.0,,,,,,,
2019-01-02 23:00:00+01:00,369.0,1746.0,3326.0,0.0,,48.0,60.0,7752.0,216.0,48.0,59.0,1123.0,,,,,,,
2019-01-03 00:00:00+01:00,370.0,1848.0,3283.0,0.0,,48.0,60.0,7742.0,220.0,44.0,57.0,1115.0,,,,,,,
2019-01-03 01:00:00+01:00,352.0,1806.0,3136.0,0.0,,48.0,60.0,7747.0,215.0,34.0,60.0,1098.0,,,,,,,
2019-01-03 02:00:00+01:00,312.0,1741.0,3029.0,0.0,,48.0,60.0,7751.0,200.0,23.0,58.0,1089.0,,,,,,,
2019-01-03 03:00:00+01:00,287.0,1602.0,3217.0,0.0,,48.0,60.0,7754.0,196.0,21.0,55.0,1094.0,,,,,,,
2019-01-03 04:00:00+01:00,304.0,1500.0,3419.0,0.0,,48.0,60.0,7755.0,196.0,20.0,53.0,1130.0,,,,,,,
2019-01-03 05:00:00+01:00,344.0,1654.0,3750.0,0.0,,48.0,60.0,7752.0,232.0,37.0,52.0,1111.0,,,,,,,
2019-01-03 06:00:00+01:00,375.0,1755.0,4815.0,0.0,,47.0,60.0,7750.0,240.0,43.0,57.0,1101.0,,,,,,,
2019-01-03 07:00:00+01:00,383.0,1767.0,5408.0,0.0,,48.0,60.0,7747.0,240.0,47.0,57.0,1109.0,,,,,,,
2019-01-03 08:00:00+01:00,386.0,1801.0,5658.0,0.0,,48.0,59.0,7746.0,236.0,45.0,58.0,1116.0,,,,,,,
2019-01-03 09:00:00+01:00,384.0,1870.0,5823.0,0.0,,48.0,56.0,7744.0,236.0,49.0,57.0,1122.0,,,,,,,
2019-01-03 10:00:00+01:00,383.0,1853.0,5543.0,0.0,,49.0,56.0,7741.0,228.0,48.0,55.0,1139.0,,,,,,,
2019-01-03 11:00:00+01:00,375.0,1839.0,5559.0,0.0,,52.0,56.0,7738.0,228.0,50.0,61.0,1144.0,,,,,,,
2019-01-03 12:00:00+01:00,375.0,1857.0,5519.0,0.0,,49.0,56.0,7733.0,228.0,51.0,53.0,1117.0,,,,,,,
2019-01-03 13:00:00+01:00,383.0,1856.0,5553.0,0.0,,48.0,56.0,7734.0,224.0,48.0,53.0,885.0,,,,,,,
2019-01-03 14:00:00+01:00,385.0,1869.0,5565.0,0.0,,48.0,56.0,7738.0,224.0,49.0,56.0,712.0,,,,,,,
2019-01-03 15:00:00+01:00,368.0,1857.0,5699.0,0.0,,48.0,57.0,7740.0,232.0,51.0,51.0,778.0,,,,,,,
2019-01-03 16:00:00+01:00,358.0,1872.0,5643.0,0.0,,48.0,60.0,7749.0,232.0,48.0,30.0,642.0,,,,,,,
2019-01-03 17:00:00+01:00,355.0,1884.0,5569.0,0.0,,48.0,60.0,7737.0,235.0,52.0,32.0,852.0,,,,,,,
2019-01-03 18:00:00+01:00,353.0,1868.0,5594.0,0.0,,48.0,60.0,7732.0,232.0,52.0,33.0,962.0,,,,,,,
2019-01-03 19:00:00+01:00,349.0,1884.0,5464.0,0.0,,48.0,60.0,7730.0,219.0,52.0,32.0,1029.0,,,,,,,
2019-01-03 20:00:00+01:00,346.0,1912.0,5626.0,0.0,,48.0,60.0,7725.0,192.0,52.0,33.0,1001.0,,,,,,,
2019-01-03 21:00:00+01:00,340.0,1872.0,5416.0,0.0,,48.0,60.0,7723.0,192.0,50.0,32.0,998.0,,,,,,,
2019-01-03 22:00:00+01:00,345.0,1790.0,5043.0,0.0,,48.0,60.0,7731.0,192.0,48.0,34.0,1135.0,,,,,,,
2019-01-03 23:00:00+01:00,356.0,1857.0,4937.0,0.0,,48.0,60.0,7733.0,192.0,48.0,34.0,1031.0,,,,,,,
2019-01-04 00:00:00+01:00,354.0,1810.0,4938.0,0.0,,48.0,60.0,7740.0,220.0,48.0,35.0,1054.0,,,,,,,
2019-01-04 01:00:00+01:00,345.0,1709.0,4929.0,0.0,,48.0,60.0,7737.0,215.0,38.0,29.0,1056.0,,,,,,,
2019-01-04 02:00:00+01:00,311.0,1443.0,4256.0,0.0,,45.0,60.0,7737.0,192.0,25.0,30.0,1092.0,,,,,,,
2019-01-04 03:00:00+01:00,287.0,1304.0,4104.0,0.0,,44.0,60.0,7737.0,188.0,23.0,33.0,1086.0,,,,,,,
2019-01-04 04:00:00+01:00,302.0,1324.0,4109.0,0.0,,44.0,60.0,7733.0,188.0,21.0,37.0,1068.0,,,,,,,
2019-01-04 05:00:00+01:00,326.0,1628.0,3867.0,0.0,,44.0,60.0,7734.0,222.0,36.0,36.0,1074.0,,,,,,,
2019-01-04 06:00:00+01:00,349.0,1754.0,5009.0,0.0,,47.0,60.0,7729.0,232.0,44.0,33.0,1085.0,,,,,,,
2019-01-04 07:00:00+01:00,354.0,1826.0,5340.0,0.0,,48.0,60.0,7728.0,232.0,48.0,33.0,1056.0,,,,,,,
2019-01-04 08:00:00+01:00,349.0,1853.0,5584.0,0.0,,48.0,58.0,7727.0,236.0,48.0,37.0,1013.0,,,,,,,
2019-01-04 09:00:00+01:00,359.0,1909.0,5809.0,0.0,,48.0,56.0,7724.0,236.0,52.0,33.0,1012.0,,,,,,,
2019-01-04 10:00:00+01:00,358.0,1925.0,5879.0,0.0,,48.0,56.0,7726.0,232.0,52.0,31.0,949.0,,,,,,,
2019-01-04 11:00:00+01:00,358.0,1916.0,6216.0,,,48.0,56.0,7717.0,232.0,52.0,32.0,979.0,,,,,,,
2019-01-04 12:00:00+01:00,358.0,1826.0,5813.0,,3.0,48.0,56.0,7708.0,228.0,52.0,32.0,1012.0,,,,,,,
2019-01-04 13:00:00+01:00,361.0,1726.0,5747.0,,4.0,48.0,56.0,7719.0,228.0,56.0,32.0,838.0,,,,,,,
2019-01-04 14:00:00+01:00,350.0,1747.0,5728.0,,1.0,48.0,56.0,7732.0,224.0,56.0,33.0,597.0,,,,,,,
2019-01-04 15:00:00+01:00,357.0,1706.0,5722.0,,0.0,48.0,56.0,7721.0,232.0,52.0,31.0,380.0,,,,,,,
2019-01-04 16:00:00+01:00,362.0,1821.0,5799.0,,0.0,48.0,56.0,7720.0,236.0,52.0,30.0,214.0,,,,,,,
2019-01-04 17:00:00+01:00,393.0,1807.0,5970.0,,0.0,48.0,56.0,7731.0,239.0,52.0,33.0,181.0,,,,,,,
2019-01-04 18:00:00+01:00,428.0,1749.0,5944.0,,1.0,48.0,56.0,7741.0,236.0,52.0,31.0,88.0,,,,,,,
2019-01-04 19:00:00+01:00,469.0,1713.0,5940.0,,4.0,48.0,56.0,7738.0,223.0,52.0,35.0,13.0,,,,,,,
2019-01-04 20:00:00+01:00,464.0,1703.0,6153.0,,4.0,48.0,56.0,7739.0,192.0,52.0,34.0,25.0,,,,,,,
2019-01-04 21:00:00+01:00,461.0,1680.0,6134.0,,2.0,48.0,56.0,7736.0,196.0,52.0,35.0,63.0,,,,,,,
2019-01-04 22:00:00+01:00,472.0,1652.0,5926.0,,0.0,44.0,56.0,7736.0,200.0,52.0,31.0,143.0,,,,,,,
2019-01-04 23:00:00+01:00,459.0,1686.0,5701.0,,0.0,44.0,56.0,7728.0,200.0,48.0,33.0,202.0,,,,,,,
2019-01-05 00:00:00+01:00,448.0,1739.0,5608.0,,0.0,44.0,56.0,7731.0,478.0,48.0,34.0,265.0,,,,,,,
2019-01-05 01:00:00+01:00,434.0,1636.0,5396.0,,2.0,44.0,56.0,7731.0,521.0,38.0,32.0,276.0,,,,,,,
2019-01-05 02:00:00+01:00,366.0,1306.0,4701.0,,4.0,44.0,56.0,7734.0,554.0,25.0,31.0,370.0,,,,,,,
2019-01-05 03:00:00+01:00,339.0,1132.0,4594.0,,4.0,44.0,56.0,7743.0,602.0,24.0,32.0,385.0,,,,,,,
2019-01-05 04:00:00+01:00,330.0,1159.0,4477.0,,1.0,44.0,56.0,7745.0,654.0,24.0,37.0,461.0,,,,,,,
2019-01-05 05:00:00+01:00,351.0,1411.0,4514.0,,0.0,44.0,56.0,7745.0,734.0,27.0,31.0,529.0,,,,,,,
2019-01-05 06:00:00+01:00,412.0,1565.0,5030.0,,0.0,44.0,56.0,7741.0,790.0,50.0,33.0,506.0,,,,,,,
2019-01-05 07:00:00+01:00,458.0,1676.0,4867.0,,0.0,48.0,56.0,7738.0,838.0,51.0,34.0,417.0,,,,,,,
2019-01-05 08:00:00+01:00,458.0,1572.0,4983.0,,3.0,48.0,56.0,7734.0,882.0,50.0,32.0,356.0,,,,,,,
2019-01-05 09:00:00+01:00,462.0,1654.0,5110.0,,4.0,48.0,56.0,7727.0,930.0,53.0,29.0,490.0,,,,,,,
2019-01-05 10:00:00+01:00,472.0,1692.0,5257.0,,3.0,48.0,56.0,7735.0,978.0,54.0,32.0,594.0,,,,,,,
2019-01-05 11:00:00+01:00,459.0,1694.0,5484.0,,0.0,48.0,53.0,7734.0,1026.0,55.0,32.0,621.0,,,,,,,
2019-01-05 12:00:00+01:00,464.0,1680.0,5682.0,,0.0,48.0,56.0,7740.0,1074.0,52.0,31.0,758.0,,,,,,,
2019-01-05 13:00:00+01:00,459.0,1702.0,5710.0,,0.0,48.0,56.0,7741.0,1118.0,53.0,31.0,818.0,,,,,,,
2019-01-05 14:00:00+01:00,470.0,1756.0,5396.0,,0.0,48.0,56.0,7741.0,986.0,54.0,32.0,831.0,,,,,,,
2019-01-05 15:00:00+01:00,463.0,1703.0,5165.0,,4.0,48.0,56.0,7738.0,240.0,51.0,35.0,902.0,,,,,,,
2019-01-05 16:00:00+01:00,464.0,1658.0,4989.0,,4.0,48.0,56.0,7738.0,244.0,50.0,36.0,1045.0,,,,,,,
2019-01-05 17:00:00+01:00,467.0,1740.0,5150.0,,3.0,48.0,56.0,7730.0,247.0,46.0,32.0,1029.0,,,,,,,
2019-01-05 18:00:00+01:00,476.0,1709.0,5098.0,,0.0,48.0,56.0,7712.0,240.0,44.0,35.0,1071.0,,,,,,,
2019-01-05 19:00:00+01:00,480.0,1715.0,5081.0,,0.0,48.0,56.0,7732.0,223.0,52.0,33.0,1017.0,,,,,,,
2019-01-05 20:00:00+01:00,489.0,1652.0,5124.0,,0.0,48.0,56.0,7734.0,196.0,52.0,36.0,1097.0,,,,,,,
2019-01-05 21:00:00+01:00,477.0,1661.0,5026.0,,3.0,47.0,56.0,7738.0,196.0,52.0,30.0,1061.0,,,,,,,
2019-01-05 22:00:00+01:00,467.0,1692.0,5102.0,,4.0,44.0,56.0,7739.0,200.0,52.0,35.0,1000.0,,,,,,,
2019-01-05 23:00:00+01:00,468.0,1700.0,4259.0,,4.0,44.0,56.0,7736.0,196.0,48.0,36.0,937.0,,,,,,,
2019-01-06 00:00:00+01:00,454.0,1546.0,4938.0,,3.0,44.0,56.0,7735.0,224.0,48.0,55.0,989.0,,,,,,,
2019-01-06 01:00:00+01:00,454.0,1376.0,4295.0,,0.0,44.0,56.0,7738.0,219.0,37.0,59.0,874.0,,,,,,,
2019-01-06 02:00:00+01:00,371.0,1247.0,4544.0,,0.0,44.0,56.0,7739.0,200.0,24.0,60.0,610.0,,,,,,,
2019-01-06 03:00:00+01:00,341.0,1074.0,4467.0,,0.0,44.0,56.0,7746.0,200.0,25.0,54.0,681.0,,,,,,,
2019-01-06 04:00:00+01:00,336.0,1101.0,4227.0,,0.0,44.0,56.0,7748.0,200.0,32.0,59.0,803.0,,,,,,,
2019-01-06 05:00:00+01:00,354.0,1262.0,4142.0,,4.0,44.0,56.0,7749.0,234.0,32.0,60.0,919.0,,,,,,,
2019-01-06 06:00:00+01:00,434.0,1421.0,4226.0,,4.0,44.0,56.0,7746.0,244.0,45.0,59.0,874.0,,,,,,,
2019-01-06 07:00:00+01:00,462.0,1580.0,4323.0,,2.0,44.0,56.0,7741.0,248.0,50.0,60.0,989.0,,,,,,,
2019-01-06 08:00:00+01:00,455.0,1687.0,4656.0,,0.0,44.0,56.0,7742.0,248.0,48.0,61.0,1014.0,,,,,,,
2019-01-06 09:00:00+01:00,458.0,1689.0,4711.0,,0.0,44.0,56.0,7744.0,248.0,51.0,58.0,1143.0,,,,,,,
2019-01-06 10:00:00+01:00,470.0,1693.0,4803.0,,0.0,44.0,56.0,7746.0,244.0,50.0,55.0,1162.0,,,,,,,
2019-01-06 11:00:00+01:00,469.0,1700.0,4765.0,,0.0,46.0,56.0,7746.0,244.0,52.0,57.0,1165.0,,,,,,,
2019-01-06 12:00:00+01:00,473.0,1707.0,4946.0,,1.0,48.0,56.0,7747.0,240.0,49.0,56.0,1153.0,,,,,,,
2019-01-06 13:00:00+01:00,470.0,1689.0,5006.0,,1.0,46.0,56.0,7744.0,240.0,50.0,56.0,1108.0,,,,,,,
2019-01-06 14:00:00+01:00,479.0,1675.0,4930.0,,2.0,47.0,56.0,7737.0,240.0,50.0,58.0,1124.0,,,,,,,
2019-01-06 15:00:00+01:00,468.0,1665.0,4973.0,,0.0,48.0,56.0,7753.0,240.0,52.0,60.0,1136.0,,,,,,,
2019-01-06 16:00:00+01:00,456.0,1761.0,5164.0,,0.0,47.0,56.0,7742.0,240.0,52.0,55.0,1145.0,,,,,,,
2019-01-06 17:00:00+01:00,448.0,1888.0,5228.0,,0.0,44.0,56.0,7741.0,243.0,52.0,55.0,1130.0,,,,,,,
2019-01-06 18:00:00+01:00,460.0,1852.0,5391.0,,1.0,43.0,56.0,7741.0,244.0,51.0,56.0,1157.0,,,,,,,
2019-01-06 19:00:00+01:00,459.0,1825.0,5466.0,,4.0,40.0,56.0,7734.0,231.0,47.0,58.0,1126.0,,,,,,,
2019-01-06 20:00:00+01:00,467.0,1977.0,5745.0,,4.0,40.0,53.0,7739.0,200.0,45.0,56.0,1001.0,,,,,,,
2019-01-06 21:00:00+01:00,461.0,2125.0,5612.0,,1.0,40.0,52.0,7741.0,208.0,50.0,59.0,1066.0,,,,,,,
2019-01-06 22:00:00+01:00,461.0,2234.0,5278.0,,0.0,40.0,52.0,7736.0,204.0,51.0,55.0,1054.0,,,,,,,
2019-01-06 23:00:00+01:00,450.0,2050.0,5543.0,,0.0,40.0,52.0,7737.0,204.0,48.0,57.0,819.0,,,,,,,
2019-01-07 00:00:00+01:00,444.0,1811.0,5189.0,,0.0,40.0,52.0,7738.0,224.0,48.0,58.0,788.0,,,,,,,
2019-01-07 01:00:00+01:00,433.0,1642.0,5151.0,,2.0,40.0,52.0,7738.0,219.0,38.0,56.0,606.0,,,,,,,
2019-01-07 02:00:00+01:00,387.0,1597.0,4497.0,,4.0,40.0,52.0,7736.0,200.0,22.0,52.0,469.0,,,,,,,
2019-01-07 03:00:00+01:00,353.0,1430.0,4424.0,,4.0,40.0,52.0,7736.0,200.0,20.0,60.0,438.0,,,,,,,
2019-01-07 04:00:00+01:00,350.0,1448.0,4649.0,,1.0,40.0,52.0,7736.0,200.0,21.0,59.0,339.0,,,,,,,
2019-01-07 05:00:00+01:00,391.0,1796.0,5214.0,,0.0,40.0,52.0,7735.0,234.0,30.0,59.0,299.0,,,,,,,
2019-01-07 06:00:00+01:00,453.0,2306.0,6083.0,,1.0,40.0,52.0,7741.0,244.0,40.0,53.0,238.0,,,,,,,
2019-01-07 07:00:00+01:00,446.0,2411.0,6381.0,,0.0,40.0,52.0,7738.0,248.0,47.0,54.0,134.0,,,,,,,
2019-01-07 08:00:00+01:00,443.0,2470.0,6060.0,,4.0,40.0,51.0,7735.0,248.0,46.0,60.0,103.0,,,,,,,
2019-01-07 09:00:00+01:00,452.0,2486.0,5907.0,,4.0,40.0,48.0,7727.0,248.0,51.0,54.0,75.0,,,,,,,
2019-01-07 10:00:00+01:00,460.0,2410.0,5763.0,,3.0,36.0,48.0,7727.0,244.0,48.0,54.0,49.0,,,,,,,
2019-01-07 11:00:00+01:00,467.0,2490.0,5634.0,,0.0,36.0,48.0,7739.0,244.0,50.0,55.0,32.0,,,,,,,
2019-01-07 12:00:00+01:00,467.0,2498.0,5682.0,,0.0,36.0,48.0,7739.0,240.0,48.0,55.0,11.0,,,,,,,
2019-01-07 13:00:00+01:00,466.0,2468.0,5710.0,,0.0,33.0,48.0,7738.0,240.0,48.0,55.0,3.0,,,,,,,
2019-01-07 14:00:00+01:00,466.0,2473.0,5798.0,,1.0,32.0,48.0,7734.0,240.0,46.0,54.0,,,,,,,,
2019-01-07 15:00:00+01:00,446.0,2484.0,5783.0,,4.0,32.0,48.0,7734.0,240.0,48.0,55.0,,4.0,,,,,,
2019-01-07 16:00:00+01:00,446.0,2512.0,5848.0,,1.0,32.0,48.0,7739.0,236.0,52.0,54.0,,4.0,,,,,,
2019-01-07 17:00:00+01:00,450.0,2562.0,6217.0,,0.0,36.0,48.0,7735.0,241.0,51.0,53.0,,3.0,,,,,,
2019-01-07 18:00:00+01:00,452.0,2591.0,6287.0,,0.0,36.0,45.0,7741.0,244.0,51.0,54.0,,,,,,,,
2019-01-07 19:00:00+01:00,459.0,2555.0,6298.0,,0.0,36.0,44.0,7742.0,231.0,52.0,54.0,,4.0,,,,,,
2019-01-07 20:00:00+01:00,448.0,2387.0,6493.0,,0.0,36.0,44.0,7741.0,200.0,52.0,56.0,,4.0,,,,,,
2019-01-07 21:00:00+01:00,438.0,2365.0,6564.0,,2.0,36.0,40.0,7739.0,208.0,52.0,51.0,,,,,,,,
2019-01-07 22:00:00+01:00,426.0,2248.0,6099.0,,4.0,33.0,40.0,7736.0,204.0,40.0,54.0,,,,,,,,
2019-01-07 23:00:00+01:00,433.0,1952.0,6368.0,,4.0,32.0,40.0,7732.0,204.0,40.0,51.0,38.0,,,,,,,
2019-01-08 00:00:00+01:00,433.0,1755.0,5473.0,,2.0,32.0,40.0,7735.0,200.0,40.0,54.0,58.0,,,,,,,
2019-01-08 01:00:00+01:00,444.0,1660.0,4500.0,,0.0,32.0,40.0,7738.0,192.0,32.0,53.0,55.0,,,,,,,
2019-01-08 02:00:00+01:00,380.0,1619.0,4484.0,,0.0,32.0,40.0,7745.0,192.0,21.0,50.0,75.0,,,,,,,
2019-01-08 03:00:00+01:00,344.0,1394.0,4429.0,,1.0,32.0,40.0,7745.0,188.0,25.0,50.0,111.0,,,,,,,
2019-01-08 04:00:00+01:00,321.0,1548.0,4331.0,,4.0,32.0,40.0,7743.0,196.0,26.0,53.0,138.0,,,,,,,
2019-01-08 05:00:00+01:00,314.0,1942.0,5900.0,,0.0,31.0,40.0,7739.0,230.0,30.0,53.0,108.0,,,,,,,
2019-01-08 06:00:00+01:00,349.0,2326.0,6194.0,,0.0,28.0,40.0,7735.0,240.0,43.0,53.0,156.0,,,,,,,
2019-01-08 07:00:00+01:00,362.0,2353.0,6507.0,,0.0,28.0,36.0,7728.0,240.0,47.0,57.0,226.0,,,,,,,
2019-01-08 08:00:00+01:00,356.0,2373.0,6360.0,,0.0,28.0,36.0,7722.0,240.0,52.0,56.0,230.0,,,,,,,
2019-01-08 09:00:00+01:00,423.0,2411.0,6529.0,,0.0,28.0,36.0,7722.0,240.0,52.0,52.0,248.0,,,,,,,
2019-01-08 10:00:00+01:00,463.0,2403.0,6448.0,,2.0,25.0,36.0,7732.0,236.0,54.0,57.0,216.0,,,,,,,
2019-01-08 11:00:00+01:00,466.0,2387.0,6651.0,,4.0,24.0,36.0,7745.0,236.0,49.0,53.0,177.0,,,,,,,
2019-01-08 12:00:00+01:00,460.0,2409.0,6769.0,,1.0,24.0,36.0,7752.0,236.0,48.0,54.0,233.0,,,,,,,
2019-01-08 13:00:00+01:00,457.0,2366.0,6671.0,,0.0,24.0,36.0,7749.0,236.0,49.0,55.0,292.0,,,,,,,
2019-01-08 14:00:00+01:00,458.0,2384.0,6601.0,,0.0,24.0,36.0,7750.0,236.0,52.0,53.0,166.0,,,,,,,
2019-01-08 15:00:00+01:00,464.0,2417.0,6398.0,,0.0,24.0,36.0,7752.0,236.0,52.0,57.0,51.0,,,,,,,
2019-01-08 16:00:00+01:00,452.0,2374.0,6240.0,,0.0,25.0,36.0,7756.0,236.0,49.0,54.0,52.0,,,,,,,
2019-01-08 17:00:00+01:00,442.0,2414.0,6442.0,,0.0,28.0,36.0,7747.0,239.0,49.0,55.0,97.0,,,,,,,
2019-01-08 18:00:00+01:00,443.0,2424.0,6517.0,,0.0,25.0,36.0,7750.0,240.0,48.0,55.0,196.0,,,,,,,
2019-01-08 19:00:00+01:00,460.0,2396.0,6423.0,,3.0,24.0,36.0,7757.0,227.0,51.0,56.0,373.0,,,,,,,
