UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_hydro_production_forecast,avg_other_production_forecast
2023-12-11 12:00:00,2024-07-17 00:00:00,3.1,2.3295043164345866,275.14492373097045,268.82013204221266,0.0,0.0,360.636,21.33115
2023-12-11 13:00:00,2024-07-17 00:00:00,3.1,2.517550568559119,277.56951444983247,269.3526933325975,48.29836320211618,0.0,388.10618,22.81928
2023-12-11 14:00:00,2024-07-17 00:00:00,3.1,2.517550568559119,277.56951444983247,269.3526933325975,48.29836320211618,0.0,419.64085,24.54723
2023-12-11 15:00:00,2024-07-17 00:00:00,3.1,2.517550568559119,277.56951444983247,269.3526933325975,48.29836320211618,0.0,411.65098,25.5208
2023-12-11 16:00:00,2024-07-17 00:00:00,3.1,2.926568081488199,282.3551115306966,269.2689247299846,197.2242299307437,0.0,420.05908,26.58529
2023-12-11 17:00:00,2024-07-17 00:00:00,3.1,2.926568081488199,282.3551115306966,269.2689247299846,197.2242299307437,0.0,412.74107,26.77086
2023-12-11 18:00:00,2024-07-17 00:00:00,3.1,2.926568081488199,282.3551115306966,269.2689247299846,197.2242299307437,0.0,386.90269,26.74609
2023-12-11 19:00:00,2024-07-17 00:00:00,3.1,2.8029147640006453,283.4012862963718,269.7383194170192,349.87610138853813,0.0,356.09966,26.08154
2023-12-11 20:00:00,2024-07-17 00:00:00,3.1,2.8029147640006453,283.4012862963718,269.7383194170192,349.87610138853813,0.0,338.41042,26.72392
2023-12-11 21:00:00,2024-07-17 00:00:00,3.1,2.8029147640006453,283.4012862963718,269.7383194170192,349.87610138853813,0.0,313.43291,28.26875
2023-12-11 22:00:00,2024-07-17 00:00:00,3.1,2.7075733945181764,279.3092661497421,270.3312027520011,202.75033613053927,0.0,297.38118,28.21877
2023-12-11 23:00:00,2024-07-17 00:00:00,3.1,2.7075733945181764,279.3092661497421,270.3312027520011,202.75033613053927,0.0,343.62774,28.46652
2023-12-12 00:00:00,2024-07-17 00:00:00,3.1,2.7075733945181764,279.3092661497421,270.3312027520011,202.75033613053927,0.0,387.73427,4.49472
2023-12-12 01:00:00,2024-07-17 00:00:00,3.1,2.8388507223928428,278.2854671219903,270.3824441646382,0.0,0.0,394.66219,6.73233
