,UTC time,carbon_intensity,wind,hydro,biomass,nat_gas,oil,coal,solar
13298,2021-07-08 02:00:00,753.45,447,141,193,1390,194,13886,3
13299,2021-07-08 03:00:00,752.03,433,141,201,1456,195,14481,77
13300,2021-07-08 04:00:00,750.28,368,141,202,1479,196,15393,268
13301,2021-07-08 05:00:00,747.92,290,141,201,1514,194,16411,503
13302,2021-07-08 06:00:00,735.9,212,144,202,1582,195,16990,962
13303,2021-07-08 07:00:00,716.67,230,153,202,1567,196,16920,1509
13304,2021-07-08 08:00:00,707.36,318,150,200,1549,196,16739,1688
13305,2021-07-08 09:00:00,698.13,365,147,200,1581,196,16958,1967
13306,2021-07-08 10:00:00,697.95,349,142,201,1581,196,17064,2014
13307,2021-07-08 11:00:00,691.77,361,144,203,1562,195,16914,2180
13308,2021-07-08 12:00:00,690.69,384,142,200,1517,195,16539,2135
13309,2021-07-08 13:00:00,694.73,450,143,202,1535,195,16673,1952
13310,2021-07-08 14:00:00,708.97,579,143,199,1590,195,17004,1402
13311,2021-07-08 15:00:00,716.88,585,143,201,1588,196,17139,1167
13312,2021-07-08 16:00:00,730.03,637,200,202,1605,196,16960,620
13313,2021-07-08 17:00:00,743.85,616,231,200,1550,196,17091,242
13314,2021-07-08 18:00:00,747.42,694,251,200,1543,196,17139,45
13315,2021-07-08 19:00:00,737.93,983,242,203,1538,196,16942,2
13316,2021-07-08 20:00:00,726.7,1242,157,205,1532,196,15848,0
13317,2021-07-08 21:00:00,721.6,1252,143,202,1448,195,14615,0
13318,2021-07-08 22:00:00,714.68,1297,144,195,1372,195,13554,0
13319,2021-07-08 23:00:00,723.52,1038,144,191,1376,193,13164,0
13320,2021-07-09 00:00:00,708.1,1270,144,191,1379,195,12397,0
13321,2021-07-09 01:00:00,704.36,1268,144,191,1377,194,11877,0
13322,2021-07-09 02:00:00,702.16,1320,144,201,1372,195,11949,3
13323,2021-07-09 03:00:00,712.19,1190,144,203,1386,196,12982,72
13324,2021-07-09 04:00:00,718.61,1066,144,203,1492,196,14835,291
13325,2021-07-09 05:00:00,712.5,923,143,201,1598,196,15956,756
13326,2021-07-09 06:00:00,703.37,660,146,202,1620,196,16409,1376
13327,2021-07-09 07:00:00,691,614,155,200,1597,195,16577,1852
13328,2021-07-09 08:00:00,677.14,751,166,202,1578,195,16697,2192
13329,2021-07-09 09:00:00,685.2,767,167,201,1565,194,16983,1965
13330,2021-07-09 10:00:00,697.43,462,158,200,1557,194,17010,1894
13331,2021-07-09 11:00:00,696.32,495,156,201,1551,196,16947,1887
13332,2021-07-09 12:00:00,686.41,678,157,199,1540,196,16033,1839
13333,2021-07-09 13:00:00,683.99,624,155,196,1535,195,15607,1889
13334,2021-07-09 14:00:00,701.6,548,157,199,1535,196,15647,1430
13335,2021-07-09 15:00:00,706.85,756,163,192,1544,196,15455,1018
13336,2021-07-09 16:00:00,692.12,1382,211,195,1570,197,15403,729
13337,2021-07-09 17:00:00,710.02,1185,249,196,1520,197,15301,366
13338,2021-07-09 18:00:00,718.85,1167,260,198,1515,196,15284,122
13339,2021-07-09 19:00:00,714.31,1369,261,201,1542,196,15178,8
13340,2021-07-09 20:00:00,709.34,1493,187,202,1523,196,14578,0
13341,2021-07-09 21:00:00,702.53,1651,143,203,1549,196,14252,0
13342,2021-07-09 22:00:00,690.05,1855,145,196,1536,197,13556,0
13343,2021-07-09 23:00:00,682.87,1824,144,191,1461,196,12361,0
13344,2021-07-10 00:00:00,674.68,1799,144,188,1333,196,11163,0
13345,2021-07-10 01:00:00,668.98,1828,144,192,1324,196,10731,0
13346,2021-07-10 02:00:00,667.13,1902,144,204,1322,196,10923,4
13347,2021-07-10 03:00:00,663.96,1908,144,201,1328,197,10898,67
13348,2021-07-10 04:00:00,654.54,1871,144,204,1331,197,10706,279
13349,2021-07-10 05:00:00,649.98,1831,142,201,1370,197,11460,638
13350,2021-07-10 06:00:00,631.82,1930,149,201,1371,196,11769,1115
13351,2021-07-10 07:00:00,617.47,2010,154,202,1374,196,11786,1449
13352,2021-07-10 08:00:00,594.8,1980,154,201,1371,196,11273,1980
13353,2021-07-10 09:00:00,583.09,1960,154,202,1365,196,11030,2268
13354,2021-07-10 10:00:00,585.69,1904,154,202,1364,195,11189,2314
13355,2021-07-10 11:00:00,587.37,1793,156,203,1364,195,10945,2271
13356,2021-07-10 12:00:00,587.37,1584,146,200,1363,196,10615,2364
13357,2021-07-10 13:00:00,603.46,1347,144,200,1362,197,10712,2181
13358,2021-07-10 14:00:00,627.3,1019,143,201,1366,197,11181,2022
13359,2021-07-10 15:00:00,666.24,816,142,201,1389,197,12799,1620
13360,2021-07-10 16:00:00,696.33,599,194,202,1553,196,14415,1256
13361,2021-07-10 17:00:00,728.97,386,230,200,1591,196,15123,646
13362,2021-07-10 18:00:00,750.72,267,245,200,1603,196,15400,212
13363,2021-07-10 19:00:00,759.38,254,244,203,1611,196,15510,11
13364,2021-07-10 20:00:00,760.03,293,203,203,1591,196,15468,0
13365,2021-07-10 21:00:00,756.69,341,156,203,1535,197,14310,0
13366,2021-07-10 22:00:00,750,450,148,195,1407,196,13241,0
13367,2021-07-10 23:00:00,744.58,483,144,193,1333,196,12136,0
13368,2021-07-11 00:00:00,742.26,458,144,191,1335,196,11462,0
13369,2021-07-11 01:00:00,740.4,446,144,192,1333,196,11029,0
13370,2021-07-11 02:00:00,738.99,440,144,203,1331,196,10841,4
13371,2021-07-11 03:00:00,729.13,500,145,203,1327,196,10637,104
13372,2021-07-11 04:00:00,705.36,562,145,202,1334,197,10752,529
13373,2021-07-11 05:00:00,685.94,354,146,202,1370,197,10791,1160
13374,2021-07-11 06:00:00,669.37,212,149,204,1369,197,10696,1660
13375,2021-07-11 07:00:00,644.06,268,150,202,1366,196,10703,2216
13376,2021-07-11 08:00:00,634.72,290,150,202,1363,196,11529,2692
13377,2021-07-11 09:00:00,634.91,277,151,199,1357,196,11825,2796
13378,2021-07-11 10:00:00,637.42,253,151,199,1357,196,11536,2661
13379,2021-07-11 11:00:00,628.01,288,151,204,1358,197,10955,2693
13380,2021-07-11 12:00:00,624.6,397,146,200,1336,196,10582,2558
13381,2021-07-11 13:00:00,625.6,517,145,199,1335,196,10563,2400
13382,2021-07-11 14:00:00,641.5,685,145,201,1358,196,11131,1976
13383,2021-07-11 15:00:00,654.79,726,144,201,1369,197,11305,1636
13384,2021-07-11 16:00:00,691.97,741,145,203,1444,197,13069,1048
13385,2021-07-11 17:00:00,717.22,802,205,201,1561,196,14865,526
13386,2021-07-11 18:00:00,723.77,964,235,200,1569,196,15113,181
13387,2021-07-11 19:00:00,717.03,1328,235,200,1485,196,15113,12
13388,2021-07-11 20:00:00,701.53,1682,210,203,1480,196,14540,0
13389,2021-07-11 21:00:00,692.47,1695,206,203,1394,195,13151,0
13390,2021-07-11 22:00:00,695.95,1535,153,195,1331,195,12319,0
13391,2021-07-11 23:00:00,697.31,1444,143,193,1329,195,11918,0
13392,2021-07-12 00:00:00,703.43,1257,143,192,1327,196,11599,0
13393,2021-07-12 01:00:00,703.97,1219,143,192,1323,195,11433,0
13394,2021-07-12 02:00:00,709.7,1155,143,194,1321,196,11798,2
13395,2021-07-12 03:00:00,712.49,1073,191,201,1327,195,12576,95
13396,2021-07-12 04:00:00,719.9,876,198,204,1422,193,14440,365
13397,2021-07-12 05:00:00,721.5,560,198,200,1461,197,15483,796
13398,2021-07-12 06:00:00,719.3,418,200,201,1487,195,16444,1139
13399,2021-07-12 07:00:00,710.1,394,199,203,1500,195,16455,1439
13400,2021-07-12 08:00:00,694.19,359,167,202,1586,194,16650,2020
13401,2021-07-12 09:00:00,686.88,428,155,204,1569,192,16661,2207
13402,2021-07-12 10:00:00,672.44,490,153,203,1508,193,16256,2560
13403,2021-07-12 11:00:00,671.62,529,153,201,1447,195,16004,2506
13404,2021-07-12 12:00:00,657.64,669,154,203,1444,194,15662,2746
13405,2021-07-12 13:00:00,668.58,833,155,199,1444,193,15888,2260
13406,2021-07-12 14:00:00,688.16,840,154,202,1460,192,16297,1692
13407,2021-07-12 15:00:00,700.12,843,153,202,1535,192,16501,1323
13408,2021-07-12 16:00:00,710.1,798,198,202,1547,191,16346,983
13409,2021-07-12 17:00:00,732.31,647,216,202,1439,192,16504,526
13410,2021-07-12 18:00:00,741.39,745,225,203,1436,191,16527,160
13411,2021-07-12 19:00:00,743.73,816,225,203,1451,191,16484,10
13412,2021-07-12 20:00:00,730.89,1116,154,202,1527,190,15674,0
13413,2021-07-12 21:00:00,726.9,1178,144,202,1442,191,15051,0
13414,2021-07-12 22:00:00,727.36,1146,136,193,1330,185,14493,0
13415,2021-07-12 23:00:00,733.13,918,137,190,1330,188,13753,0
13416,2021-07-13 00:00:00,741.94,685,137,187,1332,192,13426,0
13417,2021-07-13 01:00:00,740.46,731,137,189,1328,188,13546,0
13418,2021-07-13 02:00:00,736.07,824,137,196,1326,193,13582,4
13419,2021-07-13 03:00:00,735.24,872,135,202,1359,191,14539,77
13420,2021-07-13 04:00:00,729.09,743,134,193,1425,193,15067,423
13421,2021-07-13 05:00:00,724.58,337,182,202,1500,194,16092,1032
13422,2021-07-13 06:00:00,712.28,164,197,200,1592,192,16622,1615
13423,2021-07-13 07:00:00,693.25,236,209,200,1580,190,16602,2131
13424,2021-07-13 08:00:00,679.43,315,209,204,1586,191,16581,2499
13425,2021-07-13 09:00:00,668.88,405,210,203,1544,190,16202,2689
13426,2021-07-13 10:00:00,655.61,585,212,201,1543,193,16133,2946
13427,2021-07-13 11:00:00,651.9,723,210,201,1530,194,16078,2924
13428,2021-07-13 12:00:00,654.74,718,209,201,1519,194,15998,2810
13429,2021-07-13 13:00:00,664.29,695,209,199,1515,196,16086,2525
13430,2021-07-13 14:00:00,679.5,716,213,198,1519,196,16233,2017
13431,2021-07-13 15:00:00,693.99,695,214,201,1515,196,16443,1607
13432,2021-07-13 16:00:00,712.67,650,217,203,1519,196,16706,1107
13433,2021-07-13 17:00:00,731.69,640,222,202,1499,197,17023,590
13434,2021-07-13 18:00:00,735.67,885,229,201,1511,196,16907,191
13435,2021-07-13 19:00:00,723.4,1382,230,200,1531,196,16811,12
13436,2021-07-13 20:00:00,704.83,1801,203,200,1534,195,15829,0
13437,2021-07-13 21:00:00,696.34,1917,194,200,1408,195,14856,0
13438,2021-07-13 22:00:00,701.77,1664,149,192,1329,196,13809,0
13439,2021-07-13 23:00:00,710.61,1409,141,189,1329,194,13514,0
13440,2021-07-14 00:00:00,711.89,1360,141,190,1328,195,13398,0
13441,2021-07-14 01:00:00,714.14,1261,141,189,1325,194,13083,0
13442,2021-07-14 02:00:00,715.35,1243,141,195,1328,193,13201,3
13443,2021-07-14 03:00:00,718.23,1177,142,199,1352,195,13755,74
13444,2021-07-14 04:00:00,723.52,916,142,201,1511,195,15476,405
13445,2021-07-14 05:00:00,724.64,487,188,200,1493,196,15963,852
13446,2021-07-14 06:00:00,716.42,321,200,201,1604,197,16753,1335
13447,2021-07-14 07:00:00,700.99,407,219,199,1582,196,16872,1740
13448,2021-07-14 08:00:00,689.51,418,218,199,1557,196,16739,2088
13449,2021-07-14 09:00:00,685.48,492,207,199,1537,196,17024,2222
13450,2021-07-14 10:00:00,679.96,567,210,198,1519,196,17013,2334
13451,2021-07-14 11:00:00,673.23,608,211,198,1496,196,16896,2505
13452,2021-07-14 12:00:00,679.83,529,208,197,1491,197,16734,2328
13453,2021-07-14 13:00:00,690.83,379,207,191,1475,196,16860,2152
13454,2021-07-14 14:00:00,706.37,246,203,153,1453,196,16834,1822
13455,2021-07-14 15:00:00,716.26,174,202,196,1451,195,16717,1542
13456,2021-07-14 16:00:00,731.33,245,208,194,1454,196,16578,994
13457,2021-07-14 17:00:00,743.57,423,213,200,1434,197,16707,471
13458,2021-07-14 18:00:00,740.03,763,246,198,1460,196,16536,153
13459,2021-07-14 19:00:00,728.21,1097,249,201,1485,197,15676,11
13460,2021-07-14 20:00:00,723.99,1144,207,199,1486,197,14802,0
13461,2021-07-14 21:00:00,700.18,1644,156,196,1375,195,13599,0
13462,2021-07-14 22:00:00,696.65,1656,143,194,1382,196,13108,0
13463,2021-07-14 23:00:00,722.42,1113,139,192,1413,196,13590,0
13464,2021-07-15 00:00:00,727.99,1022,139,190,1317,196,13629,0
13465,2021-07-15 01:00:00,738.87,821,139,151,1317,196,13793,0
13466,2021-07-15 02:00:00,736.69,853,139,192,1303,196,13866,2
13467,2021-07-15 03:00:00,732.74,995,139,201,1306,196,14808,60
13468,2021-07-15 04:00:00,728.15,987,140,201,1351,196,15302,237
13469,2021-07-15 05:00:00,729.29,714,144,203,1427,196,15901,540
13470,2021-07-15 06:00:00,725.61,343,202,205,1459,195,16393,1029
13471,2021-07-15 07:00:00,712.75,281,219,201,1403,195,16610,1515
13472,2021-07-15 08:00:00,699.51,250,176,200,1476,196,16320,1929
13473,2021-07-15 09:00:00,688.31,252,163,158,1545,196,16620,2368
13474,2021-07-15 10:00:00,682.68,251,163,122,1548,195,16448,2545
13475,2021-07-15 11:00:00,681.71,267,162,176,1518,194,16452,2533
13476,2021-07-15 12:00:00,691.66,277,160,200,1523,195,16386,2165
13477,2021-07-15 13:00:00,696.22,277,160,198,1519,194,16410,2026
13478,2021-07-15 14:00:00,712.09,284,160,199,1482,193,16337,1524
13479,2021-07-15 15:00:00,726.68,304,161,199,1483,196,16691,1118
13480,2021-07-15 16:00:00,735.38,287,217,201,1480,195,17076,871
13481,2021-07-15 17:00:00,748.55,286,229,200,1461,195,17422,522
13482,2021-07-15 18:00:00,756.81,351,235,199,1469,196,17280,197
13483,2021-07-15 19:00:00,760.15,441,235,198,1496,195,17431,13
13484,2021-07-15 20:00:00,761.4,362,227,202,1465,195,16481,0
13485,2021-07-15 21:00:00,765.86,257,172,199,1468,196,15810,0
13486,2021-07-15 22:00:00,765.99,210,151,194,1437,196,14698,0
13487,2021-07-15 23:00:00,766.6,198,146,190,1383,196,14334,0
13488,2021-07-16 00:00:00,763.57,246,146,192,1344,196,13920,0
13489,2021-07-16 01:00:00,759.06,322,146,192,1340,196,13648,0
13490,2021-07-16 02:00:00,757.8,357,148,193,1338,196,13782,1
13491,2021-07-16 03:00:00,756.05,337,153,201,1358,195,14182,79
13492,2021-07-16 04:00:00,749.01,295,156,202,1524,196,15541,360
13493,2021-07-16 05:00:00,733.79,317,157,201,1576,195,16507,843
13494,2021-07-16 06:00:00,729.78,171,165,202,1593,196,17128,1179
13495,2021-07-16 07:00:00,718.56,186,172,202,1563,196,17136,1511
13496,2021-07-16 08:00:00,703.51,215,175,202,1540,196,17011,1942
13497,2021-07-16 09:00:00,686.62,290,172,201,1521,196,16733,2375
13498,2021-07-16 10:00:00,683.84,285,164,199,1510,195,16555,2449
13499,2021-07-16 11:00:00,677.54,486,163,199,1500,195,16395,2418
13500,2021-07-16 12:00:00,682.97,434,163,202,1482,195,16291,2272
13501,2021-07-16 13:00:00,693.35,553,159,202,1446,196,16423,1851
13502,2021-07-16 14:00:00,703.21,487,153,202,1437,195,16392,1612
13503,2021-07-16 15:00:00,713.47,380,200,202,1444,196,16685,1406
13504,2021-07-16 16:00:00,728.98,343,232,203,1447,196,16806,961
13505,2021-07-16 17:00:00,746.11,362,246,201,1449,196,16995,454
13506,2021-07-16 18:00:00,752.64,487,257,203,1442,196,17013,131
