,UTC time,carbon_intensity,wind,coal,nat_gas,nuclear,hydro,solar,other
27,2020-01-02 03:00:00,247.06,16539,6703,13163,3905,42,0,14
28,2020-01-02 04:00:00,246.53,16164,6662,12418,3905,42,0,12
29,2020-01-02 05:00:00,248.37,15636,6921,10836,3904,42,0,14
30,2020-01-02 06:00:00,245.61,15005,6608,9977,3904,5,0,16
31,2020-01-02 07:00:00,241.65,14670,6491,8773,3904,27,0,13
32,2020-01-02 08:00:00,231.02,14998,6215,7734,3905,6,0,17
33,2020-01-02 09:00:00,230.25,14949,6221,7457,3905,3,0,12
34,2020-01-02 10:00:00,222.12,15331,5937,7312,3905,31,0,14
35,2020-01-02 11:00:00,233.2,14952,6282,8009,3905,51,0,13
36,2020-01-02 12:00:00,247.38,14265,6361,10211,3905,89,0,12
37,2020-01-02 13:00:00,254.17,14137,6250,12517,3905,116,0,12
38,2020-01-02 14:00:00,266.98,13935,6854,13703,3905,116,2,12
39,2020-01-02 15:00:00,273.88,13316,7171,14094,3905,116,350,11
40,2020-01-02 16:00:00,285.55,11931,7599,14824,3903,116,1072,12
41,2020-01-02 17:00:00,288.88,11677,7858,14852,3905,164,1252,12
42,2020-01-02 18:00:00,297.25,11176,8123,15160,3905,147,1145,18
43,2020-01-02 19:00:00,324.4,9767,9281,15442,3905,146,830,19
44,2020-01-02 20:00:00,338.8,9228,10046,15163,3905,60,702,13
45,2020-01-02 21:00:00,317.1,10296,8856,14977,3905,52,625,12
46,2020-01-02 22:00:00,302.86,10824,7970,15022,3905,91,554,15
47,2020-01-02 23:00:00,338.35,8521,9024,16540,3905,91,287,16
48,2020-01-03 00:00:00,376.38,6802,10965,17652,3905,91,88,18
49,2020-01-03 01:00:00,381.51,6841,11466,18165,3904,93,0,21
50,2020-01-03 02:00:00,364.88,7878,10732,17718,3905,94,0,12
51,2020-01-03 03:00:00,356.06,8138,10084,17534,3904,93,0,14
52,2020-01-03 04:00:00,335.18,9030,8886,16895,3904,93,0,13
53,2020-01-03 05:00:00,330.6,9570,9102,14512,3905,93,0,22
54,2020-01-03 06:00:00,326.58,9939,9205,12346,3905,27,0,18
55,2020-01-03 07:00:00,325.77,9791,9142,11212,3905,23,0,15
56,2020-01-03 08:00:00,314.34,9849,8337,10949,3905,14,0,11
57,2020-01-03 09:00:00,287.19,11130,7303,10429,3905,6,0,11
58,2020-01-03 10:00:00,264.72,12360,6526,10245,3905,34,0,12
59,2020-01-03 11:00:00,259.66,12912,6429,10508,3905,55,0,15
60,2020-01-03 12:00:00,274.41,12335,6748,12564,3905,93,0,14
61,2020-01-03 13:00:00,281.08,12661,7183,14007,3905,119,0,15
62,2020-01-03 14:00:00,273.99,13752,7116,14665,3905,120,1,15
63,2020-01-03 15:00:00,272.46,14029,7136,14997,3905,119,103,16
64,2020-01-03 16:00:00,269.1,13594,6843,15181,3905,119,573,14
65,2020-01-03 17:00:00,258.19,13809,6397,14696,3905,169,931,14
66,2020-01-03 18:00:00,250.5,13779,6002,14289,3905,150,1208,14
67,2020-01-03 19:00:00,253.91,13120,5992,14206,3913,111,1314,16
68,2020-01-03 20:00:00,253.74,12887,5952,13875,3931,53,1387,20
69,2020-01-03 21:00:00,265.13,11580,6078,14534,3981,53,1499,17
70,2020-01-03 22:00:00,279.48,10576,6393,15140,4008,55,1272,15
71,2020-01-03 23:00:00,290.82,9817,6694,15679,4008,93,1167,17
72,2020-01-04 00:00:00,333.74,8245,8360,17813,4074,94,218,25
73,2020-01-04 01:00:00,357.04,7703,10043,18177,4208,94,0,18
74,2020-01-04 02:00:00,357.54,7661,10083,18154,4241,94,0,23
75,2020-01-04 03:00:00,351.05,7770,9608,18295,4327,94,0,17
76,2020-01-04 04:00:00,342.22,7992,8949,18270,4334,94,0,18
77,2020-01-04 05:00:00,322.35,8531,7565,18100,4334,93,0,15
78,2020-01-04 06:00:00,323.01,8400,7622,17013,4334,66,0,17
79,2020-01-04 07:00:00,324.05,8389,7794,15903,4333,32,0,18
80,2020-01-04 08:00:00,309.8,8980,7129,15466,4388,8,0,13
81,2020-01-04 09:00:00,298.16,9521,6633,15476,4488,6,0,13
82,2020-01-04 10:00:00,289.22,10076,6329,15380,4501,33,0,13
83,2020-01-04 11:00:00,289.02,10221,6336,15916,4524,54,0,15
84,2020-01-04 12:00:00,307.78,9471,7254,17251,4595,92,0,14
85,2020-01-04 13:00:00,328.71,8568,8424,18567,4708,119,0,13
86,2020-01-04 14:00:00,358.33,7221,10207,19831,4751,119,4,12
87,2020-01-04 15:00:00,378.85,5650,11386,20094,4752,118,473,13
88,2020-01-04 16:00:00,396.43,2829,11662,20287,4797,119,1605,16
89,2020-01-04 17:00:00,405.26,1397,11480,20111,4922,166,1821,16
90,2020-01-04 18:00:00,403.19,1310,11056,19391,4947,148,1791,18
91,2020-01-04 19:00:00,384.45,2024,9891,18492,5060,147,1743,15
92,2020-01-04 20:00:00,358.68,3311,8657,17266,5072,100,1758,16
93,2020-01-04 21:00:00,338.4,4199,7721,16616,5075,93,1814,14
94,2020-01-04 22:00:00,321.14,5025,6975,16168,5075,93,1810,14
95,2020-01-04 23:00:00,320.25,5414,6879,16311,5081,93,1404,16
96,2020-01-05 00:00:00,343.07,5697,8072,16994,5088,92,277,15
97,2020-01-05 01:00:00,330.86,7580,8286,16976,5092,94,0,14
98,2020-01-05 02:00:00,294.24,10396,7293,15617,5092,94,0,17
99,2020-01-05 03:00:00,266.18,12823,6769,13934,5091,94,0,13
100,2020-01-05 04:00:00,237.55,15363,6376,11668,5092,94,0,14
101,2020-01-05 05:00:00,213.37,17421,6191,9101,5091,56,0,16
102,2020-01-05 06:00:00,199.48,18174,5942,7687,5092,27,0,14
103,2020-01-05 07:00:00,184.36,18460,5253,7106,5092,32,0,13
104,2020-01-05 08:00:00,176.39,18587,4915,6735,5092,8,0,14
105,2020-01-05 09:00:00,177.49,18365,4870,6870,5092,8,0,14
106,2020-01-05 10:00:00,188.03,17647,5056,7586,5092,8,0,12
107,2020-01-05 11:00:00,203.85,16926,5617,8194,5092,8,0,13
108,2020-01-05 12:00:00,221.22,16193,6155,9334,5093,10,0,17
109,2020-01-05 13:00:00,247.44,14788,6962,11127,5092,74,0,16
110,2020-01-05 14:00:00,275.77,13610,8330,12185,5093,102,3,16
111,2020-01-05 15:00:00,289.37,12023,8650,13058,5097,122,490,26
112,2020-01-05 16:00:00,288.52,10092,8018,13567,5101,122,1642,23
113,2020-01-05 17:00:00,249.47,11793,6423,11804,5104,169,1801,15
114,2020-01-05 18:00:00,220.26,13665,5464,10264,5106,152,1474,19
115,2020-01-05 19:00:00,235.93,11610,5461,11339,5110,138,1743,19
116,2020-01-05 20:00:00,274.45,8365,6010,13396,5111,94,1756,27
117,2020-01-05 21:00:00,307.59,6113,6938,14290,5113,94,1807,26
118,2020-01-05 22:00:00,325.2,4936,7369,14968,5113,94,1790,24
119,2020-01-05 23:00:00,337.59,4647,7768,15740,5114,94,1390,20
120,2020-01-06 00:00:00,367.7,4357,9116,17027,5114,94,278,18
121,2020-01-06 01:00:00,381.16,4805,10581,17417,5114,95,0,15
122,2020-01-06 02:00:00,358.15,6027,9494,17337,5114,94,0,14
123,2020-01-06 03:00:00,328.01,7493,7977,17057,5113,94,0,14
124,2020-01-06 04:00:00,306.31,8593,7036,16188,5114,95,0,17
125,2020-01-06 05:00:00,297.65,8640,6492,15426,5113,94,0,14
126,2020-01-06 06:00:00,295.7,8253,6231,14481,5114,67,0,12
127,2020-01-06 07:00:00,289.79,8206,5817,14099,5113,34,0,12
128,2020-01-06 08:00:00,286.8,8278,5675,13868,5113,9,0,13
129,2020-01-06 09:00:00,287.17,8292,5688,13987,5114,8,0,14
130,2020-01-06 10:00:00,293.96,8053,5911,14660,5114,10,0,14
131,2020-01-06 11:00:00,304.32,7696,6270,16022,5114,48,0,13
132,2020-01-06 12:00:00,324.85,7025,7159,18593,5115,48,0,18
133,2020-01-06 13:00:00,366.46,5679,9923,21020,5115,74,0,16
134,2020-01-06 14:00:00,374.6,5858,10993,21729,5115,75,3,15
135,2020-01-06 15:00:00,367.3,5993,10596,21191,5115,75,308,12
136,2020-01-06 16:00:00,364.07,5062,9998,20677,5115,88,955,17
137,2020-01-06 17:00:00,332.46,5976,8147,19930,5115,122,1525,15
138,2020-01-06 18:00:00,294.79,8033,6295,18682,5115,105,1464,17
139,2020-01-06 19:00:00,271.32,9624,5607,17012,5114,117,1450,17
140,2020-01-06 20:00:00,245.16,11610,4996,15263,5113,101,1461,16
141,2020-01-06 21:00:00,227.4,13433,4920,13490,5114,29,1428,14
142,2020-01-06 22:00:00,224.71,14019,4835,13393,5114,10,1058,15
143,2020-01-06 23:00:00,232.79,13723,5132,13573,5114,48,762,16
144,2020-01-07 00:00:00,268.38,11691,5998,16126,5114,48,268,24
145,2020-01-07 01:00:00,306,10072,7736,17846,5114,48,0,27
146,2020-01-07 02:00:00,316.93,9237,8130,17986,5114,48,0,27
147,2020-01-07 03:00:00,345.68,7348,9375,17885,5114,48,0,22
148,2020-01-07 04:00:00,375.44,5167,10330,17926,5114,48,0,15
149,2020-01-07 05:00:00,386.79,3629,9908,17892,5114,48,0,15
150,2020-01-07 06:00:00,383.14,2893,8802,17823,5114,48,0,17
151,2020-01-07 07:00:00,370.42,3060,7815,17795,5114,34,0,16
152,2020-01-07 08:00:00,356.38,3585,7084,17614,5114,8,0,17
153,2020-01-07 09:00:00,339.6,4393,6404,17616,5114,8,0,15
154,2020-01-07 10:00:00,328.52,5118,6084,17731,5114,8,0,14
155,2020-01-07 11:00:00,331.83,5559,6641,18271,5114,10,0,17
156,2020-01-07 12:00:00,338.82,6207,7683,19632,5114,47,0,16
157,2020-01-07 13:00:00,344.89,7054,8845,21729,5114,74,0,21
158,2020-01-07 14:00:00,349.39,7849,9997,21706,5114,74,3,16
159,2020-01-07 15:00:00,335.93,8219,9340,20614,5114,74,486,16
160,2020-01-07 16:00:00,315.63,7711,7873,20036,5114,74,1650,16
161,2020-01-07 17:00:00,303.57,7631,6938,19386,5112,122,1823,16
162,2020-01-07 18:00:00,281.69,8915,6094,17758,5113,105,1798,16
163,2020-01-07 19:00:00,257.15,10468,5364,15860,5112,130,1763,19
164,2020-01-07 20:00:00,251,10606,5075,15395,5113,102,1790,16
165,2020-01-07 21:00:00,246.61,10533,4767,15241,5113,67,1860,17
166,2020-01-07 22:00:00,250.4,10048,4754,15431,5113,48,1865,22
167,2020-01-07 23:00:00,265.27,9404,5184,16151,5113,47,1515,29
168,2020-01-08 00:00:00,308.03,8369,6998,17641,5112,47,317,32
169,2020-01-08 01:00:00,299.02,10422,7304,18103,5112,46,0,24
170,2020-01-08 02:00:00,264.63,12900,5907,17530,5112,46,0,18
171,2020-01-08 03:00:00,242.35,14896,5345,16358,5112,46,0,15
172,2020-01-08 04:00:00,225.27,16364,5129,14512,5113,46,0,16
173,2020-01-08 05:00:00,214.15,16946,5119,12402,5113,46,0,19
174,2020-01-08 06:00:00,216.51,16552,5613,10706,5114,46,0,20
175,2020-01-08 07:00:00,265.93,16543,5924,500,5114,9,0,9004
176,2020-01-08 08:00:00,261.42,16717,5862,507,5114,8,0,8710
177,2020-01-08 09:00:00,262.86,16739,5613,510,5114,8,0,9295
178,2020-01-08 10:00:00,273.64,16427,5743,498,5114,9,0,10140
179,2020-01-08 11:00:00,297.93,15776,6504,523,5114,47,0,11530
180,2020-01-08 12:00:00,326.74,15304,7308,850,5114,47,0,14033
181,2020-01-08 13:00:00,345.3,15807,8740,1788,5114,47,0,15550
182,2020-01-08 14:00:00,344.3,16949,9470,1597,5114,47,3,15759
183,2020-01-08 15:00:00,335.59,16826,9119,824,5114,47,295,14950
184,2020-01-08 16:00:00,326.39,15693,8734,646,5114,47,1077,13445
185,2020-01-08 17:00:00,285.56,17201,6578,538,5117,94,1135,12292
186,2020-01-08 18:00:00,261.95,17857,5669,550,5120,103,1098,11023
187,2020-01-08 19:00:00,256.22,17504,5596,557,5117,127,950,10005
188,2020-01-08 20:00:00,242.64,17916,4964,561,5114,67,840,9533
189,2020-01-08 21:00:00,233.53,17978,4507,578,5113,48,881,9247
190,2020-01-08 22:00:00,230.33,18137,4438,566,5114,70,674,8986
191,2020-01-08 23:00:00,234.92,18383,4562,526,5116,73,420,9320
192,2020-01-09 00:00:00,252.97,18623,5579,518,5116,74,128,9835
193,2020-01-09 01:00:00,273.48,19032,7379,523,5115,74,0,9895
194,2020-01-09 02:00:00,267.18,19215,6991,525,5116,75,0,9816
195,2020-01-09 03:00:00,255.45,19534,6218,458,5114,75,0,9782
196,2020-01-09 04:00:00,235.07,19816,5276,450,5114,50,0,8948
197,2020-01-09 05:00:00,211.58,19814,4718,442,5114,10,0,7206
198,2020-01-09 06:00:00,200.97,18787,4362,437,5113,8,0,6129
199,2020-01-09 07:00:00,159.23,18055,4088,5825,5114,8,0,16
200,2020-01-09 08:00:00,156.4,17591,3999,5299,5114,8,0,16
201,2020-01-09 09:00:00,155.82,17352,3972,5117,5114,8,0,15
202,2020-01-09 10:00:00,155.99,17080,3897,5151,5114,8,0,17
203,2020-01-09 11:00:00,163.71,16800,3925,6018,5114,9,0,17
204,2020-01-09 12:00:00,169.72,17473,3910,7620,5114,47,0,18
205,2020-01-09 13:00:00,193.26,17494,4447,10474,5115,47,0,18
206,2020-01-09 14:00:00,217.28,16472,5289,11948,5114,48,0,15
207,2020-01-09 15:00:00,230.52,15211,5639,12494,5114,47,164,16
208,2020-01-09 16:00:00,246.31,13199,6104,13326,5114,47,1089,20
209,2020-01-09 17:00:00,257.09,12124,6616,13586,5114,82,1626,30
210,2020-01-09 18:00:00,264.61,11762,7041,13561,5113,90,1649,26
211,2020-01-09 19:00:00,279.66,10963,7714,13768,5113,55,1594,26
212,2020-01-09 20:00:00,291.34,10238,8249,13880,5113,47,1641,22
213,2020-01-09 21:00:00,294.13,9849,8247,13973,5113,47,1679,22
214,2020-01-09 22:00:00,287.62,9982,7781,14117,5113,73,1671,16
215,2020-01-09 23:00:00,296.17,9812,8097,14431,5111,85,1288,19
216,2020-01-10 00:00:00,313.59,9326,8377,16030,5110,84,303,18
217,2020-01-10 01:00:00,292.38,11685,7962,15633,5110,101,0,12
218,2020-01-10 02:00:00,247.21,14703,6111,14517,5110,93,0,15
219,2020-01-10 03:00:00,219.6,16524,5071,13447,5110,74,0,12
220,2020-01-10 04:00:00,194.32,18197,4551,11147,5110,48,0,15
221,2020-01-10 05:00:00,178.71,18612,4414,8762,5110,47,0,15
222,2020-01-10 06:00:00,170.5,18008,4272,7110,5109,9,0,15
223,2020-01-10 07:00:00,168.18,17058,4019,6664,5110,8,0,15
224,2020-01-10 08:00:00,169.82,16093,3740,6936,5109,8,0,15
225,2020-01-10 09:00:00,182.28,14794,3832,7512,5110,8,0,14
226,2020-01-10 10:00:00,189.03,14214,3871,7948,5110,9,0,15
227,2020-01-10 11:00:00,198.45,13589,3853,9035,5110,47,0,17
228,2020-01-10 12:00:00,219.79,12439,3826,11948,5111,47,0,17
229,2020-01-10 13:00:00,241.27,12096,4286,15020,5110,47,0,17
230,2020-01-10 14:00:00,260.04,11332,4856,16881,5111,47,1,14
231,2020-01-10 15:00:00,266.47,10604,5027,17343,5110,47,309,18
232,2020-01-10 16:00:00,278.27,9531,5659,17844,5110,47,1008,16
233,2020-01-10 17:00:00,275.35,9758,5637,17863,5110,92,1118,15
234,2020-01-10 18:00:00,274.86,9806,5752,17774,5110,90,1322,21
235,2020-01-10 19:00:00,272.44,9855,5637,17754,5110,117,1381,15
236,2020-01-10 20:00:00,258.67,10678,5060,17493,5110,92,1477,17
237,2020-01-10 21:00:00,246.84,11647,4835,16538,5110,66,1502,16
238,2020-01-10 22:00:00,230.28,12923,4474,15318,5110,74,1502,15
239,2020-01-10 23:00:00,215.17,14920,4325,14243,5110,74,1124,17
240,2020-01-11 00:00:00,219.74,15814,4512,14793,5110,74,243,20
241,2020-01-11 01:00:00,225.15,15905,4721,15313,5109,73,1,14
242,2020-01-11 02:00:00,214.15,16819,4736,13615,5109,73,0,12
243,2020-01-11 03:00:00,201.14,17796,4748,11620,5109,73,0,17
244,2020-01-11 04:00:00,180.52,18659,3946,10587,5109,48,0,17
245,2020-01-11 05:00:00,173.76,18737,3964,9251,5109,9,0,14
246,2020-01-11 06:00:00,163,18718,3865,7590,5108,7,0,15
247,2020-01-11 07:00:00,163.27,17725,3879,6803,5108,6,0,19
248,2020-01-11 08:00:00,164.57,17070,3892,6460,5107,6,0,15
249,2020-01-11 09:00:00,164.08,16912,3827,6441,5109,6,0,18
250,2020-01-11 10:00:00,160.68,17278,3780,6339,5109,6,0,14
251,2020-01-11 11:00:00,165.21,17220,3738,7124,5109,6,0,19
252,2020-01-11 12:00:00,176.04,17034,3792,8653,5109,8,0,17
253,2020-01-11 13:00:00,202.45,15706,3923,12115,5109,45,0,16
254,2020-01-11 14:00:00,223.19,14907,4172,15206,5109,46,2,17
255,2020-01-11 15:00:00,242.97,13717,4632,17956,5109,46,396,17
256,2020-01-11 16:00:00,258.11,12210,5365,19350,5109,46,1478,18
257,2020-01-11 17:00:00,302.03,8947,7337,21185,5109,82,1775,22
258,2020-01-11 18:00:00,327.17,6871,8289,22027,5109,90,1794,20
259,2020-01-11 19:00:00,322.35,6446,7480,22199,5109,88,1804,13
260,2020-01-11 20:00:00,299.44,7011,5776,21594,5110,53,1810,12
261,2020-01-11 21:00:00,279.05,8066,5028,19664,5110,46,1866,12
262,2020-01-11 22:00:00,277.63,7820,4885,19131,5111,72,1864,14
263,2020-01-11 23:00:00,286.06,7220,4857,19961,5111,73,1516,15
264,2020-01-12 00:00:00,315.39,6710,5988,21894,5111,73,352,17
265,2020-01-12 01:00:00,317.13,8171,6890,22303,5110,73,1,19
266,2020-01-12 02:00:00,286.8,10598,5741,21706,5111,73,0,13
267,2020-01-12 03:00:00,256.33,13403,4980,19813,5111,73,0,12
268,2020-01-12 04:00:00,231.63,16159,4839,17170,5110,46,0,13
269,2020-01-12 05:00:00,214.57,17867,4796,14925,5111,46,0,13
270,2020-01-12 06:00:00,210.77,17993,4911,13674,5110,46,0,13
271,2020-01-12 07:00:00,202.01,18303,4632,12751,5111,8,0,13
272,2020-01-12 08:00:00,199.75,18261,4470,12690,5111,6,0,13
273,2020-01-12 09:00:00,200.78,18055,4479,12663,5111,6,0,13
274,2020-01-12 10:00:00,204.95,17703,4512,13135,5111,6,0,13
275,2020-01-12 11:00:00,213.4,17189,4667,14071,5111,6,0,15
276,2020-01-12 12:00:00,223.06,16895,5003,15100,5111,7,0,14
277,2020-01-12 13:00:00,232.17,16785,5359,16404,5111,45,0,13
278,2020-01-12 14:00:00,241.39,16848,5924,17383,5111,46,2,13
279,2020-01-12 15:00:00,243.3,16652,6047,17772,5111,46,308,15
280,2020-01-12 16:00:00,246.8,14972,5918,18074,5113,46,1219,16
281,2020-01-12 17:00:00,237.23,14414,5224,17264,5113,81,1586,14
282,2020-01-12 18:00:00,234.43,13670,4938,16237,5114,90,1606,14
283,2020-01-12 19:00:00,240.42,12198,4805,16047,5115,89,1660,21
284,2020-01-12 20:00:00,257.8,10026,4809,16956,5115,46,1583,18
285,2020-01-12 21:00:00,278.59,7704,4782,18200,5115,46,1386,15
286,2020-01-12 22:00:00,298.42,5821,4795,19762,5115,71,1166,17
287,2020-01-12 23:00:00,321.5,4320,5117,21799,5115,73,771,15
288,2020-01-13 00:00:00,342.65,3925,6114,23352,5115,73,215,26
289,2020-01-13 01:00:00,349.48,4891,7384,23670,5114,72,1,22
290,2020-01-13 02:00:00,333.03,6201,6854,23300,5115,72,0,20
291,2020-01-13 03:00:00,312.43,7359,5817,22799,5115,71,0,13
292,2020-01-13 04:00:00,292.9,8924,5399,20752,5116,45,0,13
293,2020-01-13 05:00:00,276.3,10304,5474,17290,5113,45,0,15
294,2020-01-13 06:00:00,255.44,11727,5343,14082,5112,45,0,12
295,2020-01-13 07:00:00,237.89,12447,4799,12630,5112,7,0,14
296,2020-01-13 08:00:00,228.16,12842,4522,11902,5112,6,0,13
297,2020-01-13 09:00:00,226.64,12975,4570,11569,5112,6,0,13
298,2020-01-13 10:00:00,223.39,13334,4501,11610,5112,6,0,13
299,2020-01-13 11:00:00,227.48,13474,4549,12639,5112,6,0,16
300,2020-01-13 12:00:00,237.93,13420,4620,15162,5112,44,0,16
301,2020-01-13 13:00:00,251.19,13862,5191,17932,5112,45,0,17
302,2020-01-13 14:00:00,257.86,14353,5979,18040,5112,45,0,18
303,2020-01-13 15:00:00,252.9,14382,5734,17716,5112,45,183,17
304,2020-01-13 16:00:00,252.77,13932,5792,17407,5112,45,629,17
305,2020-01-13 17:00:00,250.34,14063,5750,17088,5111,81,640,16
306,2020-01-13 18:00:00,246.03,13929,5589,16601,5111,88,935,17
307,2020-01-13 19:00:00,243.47,13717,5533,15887,5112,53,1139,19
308,2020-01-13 20:00:00,241.35,13795,5521,15209,5111,45,1050,21
309,2020-01-13 21:00:00,237.84,13783,5312,14898,5112,46,1025,18
310,2020-01-13 22:00:00,236.38,13815,5132,14850,5112,71,788,16
311,2020-01-13 23:00:00,246.04,13012,5253,15825,5111,71,773,16
312,2020-01-14 00:00:00,276.13,11749,6389,17592,5111,72,276,30
313,2020-01-14 01:00:00,281.33,12597,7162,17660,5111,72,1,28
314,2020-01-14 02:00:00,273.07,12689,6528,17488,5111,72,0,22
315,2020-01-14 03:00:00,269.48,12494,6248,16853,5111,73,0,16
316,2020-01-14 04:00:00,261.56,12466,5776,15908,5111,47,0,18
317,2020-01-14 05:00:00,247.24,12513,5158,13997,5112,46,0,18
318,2020-01-14 06:00:00,235.54,12545,4930,11742,5113,46,0,16
319,2020-01-14 07:00:00,235.63,11974,4898,10888,5113,46,0,17
320,2020-01-14 08:00:00,238.46,11451,4905,10611,5113,45,0,20
321,2020-01-14 09:00:00,248.49,10437,4916,11148,5111,46,0,18
322,2020-01-14 10:00:00,262.95,9197,4941,12266,5111,46,0,17
323,2020-01-14 11:00:00,278.83,8225,5142,13728,5110,45,0,17
324,2020-01-14 12:00:00,289.56,7674,5079,16408,5110,46,0,20
325,2020-01-14 13:00:00,316.88,6697,6061,20046,5110,45,0,20
326,2020-01-14 14:00:00,340.34,6043,7602,20805,5110,45,1,18
327,2020-01-14 15:00:00,346.45,5438,7914,20731,5110,45,274,17
328,2020-01-14 16:00:00,350.33,4669,8189,20529,5110,45,917,20
329,2020-01-14 17:00:00,358.93,4040,8844,20542,5110,108,1270,20
330,2020-01-14 18:00:00,362.29,3662,9019,20509,5110,136,1439,16
331,2020-01-14 19:00:00,343.79,4441,8042,20388,5110,145,1607,19
332,2020-01-14 20:00:00,324.22,5641,7154,20205,5109,73,1661,20
333,2020-01-14 21:00:00,306.84,6821,6451,19887,5109,54,1652,18
334,2020-01-14 22:00:00,296.98,7606,6190,19087,5109,70,1577,20
335,2020-01-14 23:00:00,292.36,8304,6050,19076,5110,72,1273,17
336,2020-01-15 00:00:00,303.62,8829,6727,19452,5110,72,375,24
337,2020-01-15 01:00:00,302.19,10456,7542,18737,5110,72,5,14
338,2020-01-15 02:00:00,272.94,12292,6250,17717,5109,72,0,18
339,2020-01-15 03:00:00,245.26,14299,5434,15840,5110,72,0,15
340,2020-01-15 04:00:00,216.09,16548,4958,12901,5109,45,0,20
341,2020-01-15 05:00:00,200.72,17348,5098,9793,5109,44,0,20
342,2020-01-15 06:00:00,191.21,17008,5038,7638,5109,44,0,16
343,2020-01-15 07:00:00,221.27,16431,4751,546,5108,68,0,6051
344,2020-01-15 08:00:00,220.7,15739,4624,545,5109,50,0,5750
345,2020-01-15 09:00:00,224.89,15133,4549,548,5109,45,0,5851
346,2020-01-15 10:00:00,230.5,14816,4505,559,5109,45,0,6211
347,2020-01-15 11:00:00,245.89,14487,4892,585,5109,44,0,6811
348,2020-01-15 12:00:00,278.89,13574,4914,623,5109,45,0,9463
349,2020-01-15 13:00:00,321.51,12511,5035,635,5108,70,0,13605
350,2020-01-15 14:00:00,344.2,11794,5474,669,5108,70,0,15375
351,2020-01-15 15:00:00,361.5,10643,5646,685,5109,32,56,16254
352,2020-01-15 16:00:00,372.69,9949,5686,685,5108,66,255,17452
353,2020-01-15 17:00:00,387.69,9066,5983,638,5107,74,436,18558
354,2020-01-15 18:00:00,400.98,8333,6486,628,5107,48,547,19070
355,2020-01-15 19:00:00,408,7930,6944,626,5107,13,724,19157
356,2020-01-15 20:00:00,428.25,7156,8219,642,5106,5,637,19330
357,2020-01-15 21:00:00,437.82,6857,8799,740,5106,5,492,19469
358,2020-01-15 22:00:00,442.6,6731,8909,733,5107,7,324,19725
359,2020-01-15 23:00:00,444.72,6702,8991,788,5107,45,163,19713
360,2020-01-16 00:00:00,432.18,7723,8614,733,5107,45,40,19628
361,2020-01-16 01:00:00,403.61,10077,8013,662,5107,44,0,19328
362,2020-01-16 02:00:00,378.34,11399,6846,623,5106,44,0,18577
363,2020-01-16 03:00:00,358.94,12256,6300,574,5106,44,0,17193
364,2020-01-16 04:00:00,342.89,12727,6110,574,5106,44,0,15362
365,2020-01-16 05:00:00,316.08,13330,5827,577,5106,45,0,12451
366,2020-01-16 06:00:00,285.02,13996,5657,580,5109,45,0,9387
367,2020-01-16 07:00:00,209.57,14358,5000,8325,5112,70,0,20
368,2020-01-16 08:00:00,193.96,14871,4634,7130,5111,45,0,16
369,2020-01-16 09:00:00,185.67,15012,4338,6758,5108,45,0,18
370,2020-01-16 10:00:00,182.37,14966,4094,6911,5107,45,0,19
371,2020-01-16 11:00:00,186.35,15115,4215,7351,5108,45,0,23
372,2020-01-16 12:00:00,198.01,15450,4587,8682,5108,45,0,23
373,2020-01-16 13:00:00,219.38,15485,5011,12061,5108,72,0,22
