UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_hydro_production_forecast,avg_wind_production_forecast,avg_biomass_production_forecast,avg_unknown_production_forecast
2023-06-06 23:00:00,2024-07-17 00:00:00,3.1,1.492036553860776,286.5944164541648,284.9095986450019,0.2195026945622875,0.2977138508026069,1770.02599,0.0,1350.69386,17.1499,29.92812,23.33451
2023-06-07 00:00:00,2024-07-17 00:00:00,3.1,1.492036553860776,286.5944164541648,284.9095986450019,0.2195026945622875,0.2977138508026069,1599.64086,3.68308,1217.0959,14.89295,29.91794,25.99002
2023-06-07 01:00:00,2024-07-17 00:00:00,3.1,1.3883965194147525,286.0556126778322,284.4095181200279,0.0651528381916779,0.0980152819663049,1712.35029,2.39433,1189.08815,17.01285,29.93629,26.86843
2023-06-07 02:00:00,2024-07-17 00:00:00,3.1,1.3883965194147525,286.0556126778322,284.4095181200279,0.0651528381916779,0.0980152819663049,1746.05522,4.35593,1259.80535,21.07597,29.85187,26.64107
2023-06-07 03:00:00,2024-07-17 00:00:00,3.1,1.3883965194147525,286.0556126778322,284.4095181200279,0.0651528381916779,0.0980152819663049,1769.09947,4.73821,1455.2984,23.10304,29.8192,27.78513
2023-06-07 04:00:00,2024-07-17 00:00:00,3.1,1.4035073568826002,289.86374227037084,286.49093172245216,74.19220085480147,0.2047257706360938,1817.86173,5.05657,1609.34035,22.90853,29.8562,26.93439
2023-06-07 05:00:00,2024-07-17 00:00:00,3.1,1.4035073568826002,289.86374227037084,286.49093172245216,74.19220085480147,0.2047257706360938,1833.49938,5.24819,1720.73186,24.62837,29.8578,26.22333
2023-06-07 06:00:00,2024-07-17 00:00:00,3.1,1.4035073568826002,289.86374227037084,286.49093172245216,74.19220085480147,0.2047257706360938,1841.16611,6.22179,1771.82435,24.32376,29.88062,25.34285
2023-06-07 07:00:00,2024-07-17 00:00:00,3.1,1.8886155850104889,293.4401027712028,287.3670170101687,524.9447945109393,0.3418908590385185,1814.02363,4.26378,1771.07119,25.72619,29.84102,24.65336
2023-06-07 08:00:00,2024-07-17 00:00:00,3.1,1.8886155850104889,293.4401027712028,287.3670170101687,524.9447945109393,0.3418908590385185,1794.56164,6.07798,1714.74093,27.02842,29.84781,24.31648
2023-06-07 09:00:00,2024-07-17 00:00:00,3.1,1.8886155850104889,293.4401027712028,287.3670170101687,524.9447945109393,0.3418908590385185,1771.92886,5.556,1677.52568,24.77814,29.82257,24.02516
2023-06-07 10:00:00,2024-07-17 00:00:00,3.1,2.0625258687397263,294.66760538708377,287.96299504555566,610.5247456831883,1.245051667589062,1774.3321,5.75041,1586.89879,23.56221,29.88679,24.77986
2023-06-07 11:00:00,2024-07-17 00:00:00,3.1,2.0625258687397263,294.66760538708377,287.96299504555566,610.5247456831883,1.245051667589062,1769.99196,3.62151,1605.74098,22.56642,29.82703,25.17572
2023-06-07 12:00:00,2024-07-17 00:00:00,3.1,2.0625258687397263,294.66760538708377,287.96299504555566,610.5247456831883,1.245051667589062,1744.68096,4.01703,1621.8677,22.21855,29.82171,25.63794
2023-06-07 13:00:00,2024-07-17 00:00:00,3.1,1.8785169539660045,294.0380770466194,288.6210965791184,485.63267728659616,1.3156846382330627,1747.80767,3.0221,1686.28796,22.92354,29.85346,24.22719
2023-06-07 14:00:00,2024-07-17 00:00:00,3.1,1.8785169539660045,294.0380770466194,288.6210965791184,485.63267728659616,1.3156846382330627,1755.05901,3.84418,1795.89229,24.60079,29.82704,23.74016
