UTC time,nat_gas,nuclear,oil,hydro,wind,other
01/03/2019 04:00:00,4045,5307,0,3633,411,1069
01/03/2019 05:00:00,3289,5306,0,3300,494,1035
01/03/2019 06:00:00,2974,5289,0,3316,521,1050
01/03/2019 07:00:00,2908,5268,0,3300,568,1004
01/03/2019 08:00:00,2878,5255,0,3298,614,967
01/03/2019 09:00:00,2795,5252,0,3260,648,876
01/03/2019 10:00:00,3028,5274,0,3202,625,859
01/03/2019 11:00:00,3607,5280,0,3187,687,875
01/03/2019 12:00:00,4393,5310,0,3302,718,1049
01/03/2019 13:00:00,5061,5311,0,3857,713,1053
01/03/2019 14:00:00,5499,5307,0,3919,533,1055
01/03/2019 15:00:00,5610,5302,0,3871,446,1054
01/03/2019 16:00:00,5408,5302,0,3886,493,1062
01/03/2019 17:00:00,5253,5293,0,3878,588,1060
01/03/2019 18:00:00,5084,5295,0,3891,542,1068
01/03/2019 19:00:00,4894,5301,0,3939,437,1068
01/03/2019 20:00:00,4909,5311,0,3892,355,1063
01/03/2019 21:00:00,5113,5310,0,3889,346,1057
01/03/2019 22:00:00,6078,5323,0,4045,485,1096
01/03/2019 23:00:00,6665,5346,0,4114,545,1108
01/04/2019 00:00:00,6712,5342,0,4157,484,1119
01/04/2019 01:00:00,6356,5325,0,4093,455,1113
01/04/2019 02:00:00,5950,5309,0,3868,553,1113
01/04/2019 03:00:00,5174,5293,0,3708,719,1073
01/04/2019 04:00:00,4059,5278,0,3661,820,1063
01/04/2019 05:00:00,3206,5284,0,3320,950,988
01/04/2019 06:00:00,2698,5272,0,3150,891,983
01/04/2019 07:00:00,2660,5267,0,3169,781,1011
01/04/2019 08:00:00,2587,5268,0,3084,820,1008
01/04/2019 09:00:00,2596,5161,0,2833,1048,1003
01/04/2019 10:00:00,2695,5280,0,3190,1165,1027
01/04/2019 11:00:00,3107,5283,0,3082,1170,987
01/04/2019 12:00:00,4049,5315,0,3211,1229,1061
01/04/2019 13:00:00,4671,5306,0,3624,1282,1064
01/04/2019 14:00:00,5049,5300,0,3739,1247,1068
01/04/2019 15:00:00,4913,5294,0,3757,1260,1074
01/04/2019 16:00:00,4775,5292,0,3755,1235,1085
01/04/2019 17:00:00,4663,5288,0,3763,1134,1081
01/04/2019 18:00:00,4343,5286,0,3788,1052,1075
01/04/2019 19:00:00,4293,5292,0,3810,921,1070
01/04/2019 20:00:00,4553,5294,0,3827,700,1063
01/04/2019 21:00:00,5147,5301,0,3907,389,1068
01/04/2019 22:00:00,5583,5309,0,3915,310,1108
01/04/2019 23:00:00,6149,5335,0,4069,359,1114
01/05/2019 00:00:00,5827,5337,0,3843,502,1115
01/05/2019 01:00:00,5407,5328,0,3825,545,1115
01/05/2019 02:00:00,5211,5307,0,3894,539,1110
01/05/2019 03:00:00,4421,5294,0,3742,505,1066
01/05/2019 04:00:00,3799,5281,0,3785,369,841
01/05/2019 05:00:00,2954,5282,0,3621,252,725
01/05/2019 06:00:00,2632,5304,0,3260,135,735
01/05/2019 07:00:00,2637,5301,0,3304,111,714
01/05/2019 08:00:00,2571,5288,0,3113,36,713
01/05/2019 09:00:00,2521,5272,0,3291,22,452
01/05/2019 10:00:00,2561,5280,0,3276,37,489
01/05/2019 11:00:00,2637,5298,0,3298,71,572
01/05/2019 12:00:00,3026,5289,0,3818,55,689
01/05/2019 13:00:00,3295,5301,0,3686,75,730
01/05/2019 14:00:00,3872,5310,0,3812,85,748
01/05/2019 15:00:00,4301,5328,0,3742,41,766
01/05/2019 16:00:00,4436,5331,0,3614,21,772
01/05/2019 17:00:00,4442,5325,0,3699,27,775
01/05/2019 18:00:00,4561,5329,0,3799,36,855
01/05/2019 19:00:00,4249,5321,0,3900,49,896
01/05/2019 20:00:00,4228,5321,0,3953,126,930
01/05/2019 21:00:00,4288,5314,0,3852,236,990
01/05/2019 22:00:00,4640,5318,0,3900,330,994
01/05/2019 23:00:00,5049,5325,0,3883,369,1033
01/06/2019 00:00:00,5115,5325,0,3931,469,1038
01/06/2019 01:00:00,4713,5311,0,3792,506,1032
01/06/2019 02:00:00,4342,5293,0,3849,620,992
01/06/2019 03:00:00,3610,5284,0,3862,614,986
01/06/2019 04:00:00,3183,5161,0,3651,713,987
01/06/2019 05:00:00,2597,5152,0,3388,756,980
01/06/2019 06:00:00,2071,5197,0,2948,729,976
01/06/2019 07:00:00,1967,5209,0,2942,562,963
01/06/2019 08:00:00,1980,5220,0,2933,524,960
01/06/2019 09:00:00,1917,5224,0,2809,651,932
01/06/2019 10:00:00,1988,5233,0,2825,720,936
01/06/2019 11:00:00,2264,5259,0,2940,740,963
01/06/2019 12:00:00,2383,5258,0,3384,752,968
01/06/2019 13:00:00,2576,5264,0,3424,837,966
01/06/2019 14:00:00,3050,5292,0,3125,789,987
01/06/2019 15:00:00,3394,5312,0,3110,815,998
01/06/2019 16:00:00,3679,5310,0,3538,1000,1022
01/06/2019 17:00:00,3812,5316,0,3625,977,1021
01/06/2019 18:00:00,3679,5319,0,3704,996,1014
01/06/2019 19:00:00,3513,5320,0,3673,1063,1004
01/06/2019 20:00:00,3402,5319,0,3496,1029,992
01/06/2019 21:00:00,3706,5333,0,3478,1070,1001
01/06/2019 22:00:00,4306,5350,0,3718,956,1010
01/06/2019 23:00:00,4928,5374,0,3812,915,1057
01/07/2019 00:00:00,4932,5366,0,4036,896,1057
01/07/2019 01:00:00,4719,5357,0,3860,880,1056
01/07/2019 02:00:00,4682,5338,0,3808,770,1058
01/07/2019 03:00:00,4521,5328,0,3752,580,1022
01/07/2019 04:00:00,3910,5316,0,3597,459,1015
01/07/2019 05:00:00,3366,5314,0,3283,406,949
01/07/2019 06:00:00,3212,5301,0,3110,366,796
01/07/2019 07:00:00,3023,5166,0,2977,344,757
01/07/2019 08:00:00,2911,5160,0,2930,323,734
01/07/2019 09:00:00,2992,5158,0,2938,315,740
01/07/2019 10:00:00,3383,5200,0,2941,301,767
01/07/2019 11:00:00,4175,5278,0,3090,211,818
01/07/2019 12:00:00,5685,5349,0,3284,130,841
01/07/2019 13:00:00,6055,5347,0,3504,155,880
01/07/2019 14:00:00,6223,5344,707,3481,267,204
01/07/2019 15:00:00,6065,5356,0,3529,292,870
01/07/2019 16:00:00,5976,5365,0,3558,348,863
01/07/2019 17:00:00,5948,5347,0,3460,341,859
01/07/2019 18:00:00,5636,5355,0,3528,438,862
01/07/2019 19:00:00,5973,5353,0,3712,516,858
01/07/2019 20:00:00,6154,5357,0,3776,624,847
01/07/2019 21:00:00,6094,5343,636,4027,824,206
01/07/2019 22:00:00,6487,5297,866,4330,1009,198
01/07/2019 23:00:00,7078,5269,1067,4443,1054,196
01/08/2019 00:00:00,7238,5308,966,4493,1255,198
01/08/2019 01:00:00,6832,5359,722,4396,1374,199
01/08/2019 02:00:00,6535,5378,0,4027,1304,881
01/08/2019 03:00:00,5533,5341,0,3963,1197,838
01/08/2019 04:00:00,4375,5325,0,3777,1000,808
01/08/2019 05:00:00,3783,5319,0,3369,1028,796
01/08/2019 06:00:00,3029,5315,0,3051,1311,792
01/08/2019 07:00:00,2754,5188,0,2735,1353,774
01/08/2019 08:00:00,2669,5175,0,2911,1393,743
01/08/2019 09:00:00,2678,5082,0,2930,1326,717
01/08/2019 10:00:00,2846,5152,0,2859,1378,768
01/08/2019 11:00:00,3387,5298,0,2890,1419,831
01/08/2019 12:00:00,4165,5341,0,3042,1410,915
01/08/2019 13:00:00,5392,5338,0,3657,1347,937
01/08/2019 14:00:00,5864,5358,0,3735,1208,941
01/08/2019 15:00:00,5945,5370,0,3723,1057,950
01/08/2019 16:00:00,5718,5379,0,3716,874,994
01/08/2019 17:00:00,5840,5370,0,3728,656,992
01/08/2019 18:00:00,5957,5367,0,3745,454,989
01/08/2019 19:00:00,5809,5373,0,3831,430,987
01/08/2019 20:00:00,5846,5361,0,3673,396,984
01/08/2019 21:00:00,5900,5358,0,3512,293,984
01/08/2019 22:00:00,6020,5370,0,3671,323,985
01/08/2019 23:00:00,6586,5422,0,3748,267,988
01/09/2019 00:00:00,6515,5415,0,3860,262,967
01/09/2019 01:00:00,6361,5416,0,3802,256,975
01/09/2019 02:00:00,5678,5381,0,3755,293,965
01/09/2019 03:00:00,4433,5362,0,3721,360,918
01/09/2019 04:00:00,3633,5326,0,3748,502,860
01/09/2019 05:00:00,3261,5308,0,3400,580,775
01/09/2019 06:00:00,2824,5293,0,3190,648,644
01/09/2019 07:00:00,2735,5049,0,2841,612,521
01/09/2019 08:00:00,2759,5120,0,3040,612,526
01/09/2019 09:00:00,2700,5029,0,2931,667,511
01/09/2019 10:00:00,2940,5158,0,2917,719,525
01/09/2019 11:00:00,3492,5306,0,3104,765,559
01/09/2019 12:00:00,4676,5336,0,3363,742,590
01/09/2019 13:00:00,5594,5349,0,3666,704,643
01/09/2019 14:00:00,5539,5359,0,3738,717,608
01/09/2019 15:00:00,5396,5360,0,3755,794,616
01/09/2019 16:00:00,5280,5365,0,3703,915,617
01/09/2019 17:00:00,5253,5358,0,3684,1100,623
01/09/2019 18:00:00,5048,5352,0,3663,1159,620
01/09/2019 19:00:00,5278,5333,0,3672,1172,618
01/09/2019 20:00:00,5234,5345,0,3680,1238,608
01/09/2019 21:00:00,5421,5345,0,3735,1220,603
01/09/2019 22:00:00,5771,5360,0,3772,1230,641
01/09/2019 23:00:00,6318,5388,0,3776,1287,752
01/10/2019 00:00:00,6446,5374,0,3728,1312,801
01/10/2019 01:00:00,6184,5373,0,3574,1335,726
01/10/2019 02:00:00,5782,5363,0,3494,1276,665
01/10/2019 03:00:00,4853,5341,0,3446,1257,603
01/10/2019 04:00:00,3526,5315,0,3502,1263,585
01/10/2019 05:00:00,2792,5296,0,3486,1191,573
01/10/2019 06:00:00,2550,5164,0,3322,1165,550
01/10/2019 07:00:00,2638,5159,0,3098,1158,530
01/10/2019 08:00:00,2500,5157,0,3074,1177,524
01/10/2019 09:00:00,2432,5275,0,3072,1194,540
01/10/2019 10:00:00,2595,5283,0,2968,1238,545
01/10/2019 11:00:00,3161,5297,0,3273,1267,597
01/10/2019 12:00:00,4544,5333,0,3360,1228,599
01/10/2019 13:00:00,5399,5348,0,3460,1279,691
01/10/2019 14:00:00,5486,5365,0,3420,1278,692
01/10/2019 15:00:00,5400,5379,0,3646,1248,694
01/10/2019 16:00:00,5281,5382,0,4072,1255,666
01/10/2019 17:00:00,5725,5387,0,4140,1185,608
01/10/2019 18:00:00,5753,5384,0,4112,1198,608
01/10/2019 19:00:00,5570,5378,0,4122,1227,609
01/10/2019 20:00:00,5755,5382,0,3911,1248,618
01/10/2019 21:00:00,6121,5375,0,3886,1251,614
01/10/2019 22:00:00,6534,5378,0,4082,1273,657
01/10/2019 23:00:00,7154,5393,0,4372,1330,676
01/11/2019 00:00:00,7168,5390,0,4528,1287,674
01/11/2019 01:00:00,6926,5406,0,4298,1304,677
01/11/2019 02:00:00,6895,5402,0,4126,1291,680
01/11/2019 03:00:00,6171,5390,0,4059,1167,631
01/11/2019 04:00:00,5072,5389,0,4043,1028,696
01/11/2019 05:00:00,3858,5384,0,3693,1028,714
01/11/2019 06:00:00,3395,5370,0,3327,981,598
01/11/2019 07:00:00,3294,5361,0,3291,839,590
01/11/2019 08:00:00,3131,5343,0,3269,766,586
01/11/2019 09:00:00,3082,5342,0,3342,895,590
01/11/2019 10:00:00,3314,5345,0,3310,859,596
01/11/2019 11:00:00,3765,5357,0,3481,847,650
01/11/2019 12:00:00,4839,5375,0,4202,860,686
01/11/2019 13:00:00,5913,5392,0,4403,853,796
01/11/2019 14:00:00,6069,5419,0,4355,789,977
01/11/2019 15:00:00,5940,5406,0,4203,756,1117
01/11/2019 16:00:00,6092,5405,0,4328,663,859
01/11/2019 17:00:00,6056,5393,0,4071,591,764
01/11/2019 18:00:00,5778,5383,0,4045,596,699
01/11/2019 19:00:00,5684,5381,0,4038,587,676
01/11/2019 20:00:00,5807,5389,0,3902,584,662
01/11/2019 21:00:00,6031,5389,0,4151,535,655
01/11/2019 22:00:00,6879,5392,0,4173,611,709
01/11/2019 23:00:00,7659,5420,0,4361,764,746
01/12/2019 00:00:00,7772,5415,0,4326,799,708
01/12/2019 01:00:00,7419,5416,0,4214,775,701
01/12/2019 02:00:00,7025,5420,0,4018,759,705
01/12/2019 03:00:00,6350,5435,0,3831,693,734
01/12/2019 04:00:00,5376,5451,0,3720,592,717
01/12/2019 05:00:00,4679,5453,0,3513,517,671
01/12/2019 06:00:00,3920,5429,0,3181,438,767
01/12/2019 07:00:00,3736,5398,0,3165,371,877
01/12/2019 08:00:00,3508,5410,0,3046,355,725
01/12/2019 09:00:00,3533,5422,0,2939,353,656
01/12/2019 10:00:00,3701,5443,0,2920,321,659
01/12/2019 11:00:00,4058,5403,0,3097,300,657
01/12/2019 12:00:00,4546,5453,0,3269,327,761
01/12/2019 13:00:00,5145,5422,0,3814,376,794
01/12/2019 14:00:00,5425,5444,0,4034,403,906
01/12/2019 15:00:00,5529,5439,0,3774,355,1129
01/12/2019 16:00:00,5591,5432,0,3560,294,1118
01/12/2019 17:00:00,5388,5418,0,3746,256,763
01/12/2019 18:00:00,5254,5397,0,3364,234,721
01/12/2019 19:00:00,4909,5417,0,3318,253,711
01/12/2019 20:00:00,5100,5418,0,3380,270,700
01/12/2019 21:00:00,5312,5422,0,3656,271,697
01/12/2019 22:00:00,6029,5433,0,3796,267,729
01/12/2019 23:00:00,6745,5462,0,3996,275,797
01/13/2019 00:00:00,6928,5450,0,4075,168,875
01/13/2019 01:00:00,6604,5454,0,4054,165,822
01/13/2019 02:00:00,6407,5433,0,3806,206,830
01/13/2019 03:00:00,5906,5417,0,3533,158,703
01/13/2019 04:00:00,5105,5432,0,3478,143,660
01/13/2019 05:00:00,4103,5425,0,3424,170,671
01/13/2019 06:00:00,3885,5419,0,3115,145,746
01/13/2019 07:00:00,3571,5424,0,2981,108,753
01/13/2019 08:00:00,3454,5427,0,2898,89,674
01/13/2019 09:00:00,3515,5420,0,2778,117,662
01/13/2019 10:00:00,3741,5421,0,2703,189,665
01/13/2019 11:00:00,3983,5409,0,2911,200,677
01/13/2019 12:00:00,4367,5414,0,3066,206,677
01/13/2019 13:00:00,4752,5418,0,3646,215,666
01/13/2019 14:00:00,5155,5436,0,3631,227,670
01/13/2019 15:00:00,5554,5447,0,3556,197,672
01/13/2019 16:00:00,5612,5455,0,3562,142,683
01/13/2019 17:00:00,5368,5434,0,3626,98,683
01/13/2019 18:00:00,5361,5404,0,3552,60,690
01/13/2019 19:00:00,5397,5402,0,3464,51,721
01/13/2019 20:00:00,5333,5410,0,3516,42,707
01/13/2019 21:00:00,5855,5402,0,3620,60,803
01/13/2019 22:00:00,6813,5428,0,3719,81,1080
01/13/2019 23:00:00,7434,5463,0,3830,113,1215
01/14/2019 00:00:00,7291,5459,0,3791,147,1195
01/14/2019 01:00:00,7067,5446,0,3730,105,1228
01/14/2019 02:00:00,6764,5437,0,3702,58,1223
01/14/2019 03:00:00,6289,5432,0,3551,47,1004
01/14/2019 04:00:00,5619,5398,0,3539,41,839
01/14/2019 05:00:00,5016,5394,0,3250,38,700
01/14/2019 06:00:00,4785,5345,0,2914,43,646
01/14/2019 07:00:00,4514,5353,0,2924,46,640
01/14/2019 08:00:00,4626,5355,0,2891,33,641
01/14/2019 09:00:00,4829,5352,0,2939,14,809
01/14/2019 10:00:00,5069,5386,0,3045,5,917
01/14/2019 11:00:00,6084,5399,0,3195,6,981
01/14/2019 12:00:00,7079,5428,0,3630,28,1135
01/14/2019 13:00:00,8060,5422,0,4008,62,1245
01/14/2019 14:00:00,7813,5417,0,4070,78,1254
01/14/2019 15:00:00,7809,5384,0,3554,34,1235
01/14/2019 16:00:00,7596,5383,0,3471,18,1067
01/14/2019 17:00:00,7134,5380,0,3606,13,943
01/14/2019 18:00:00,6791,5375,0,3433,28,829
01/14/2019 19:00:00,6728,5362,0,3256,20,751
01/14/2019 20:00:00,6805,5348,0,3287,5,738
01/14/2019 21:00:00,6720,5354,0,3801,4,866
01/14/2019 22:00:00,7754,5376,0,3935,12,1038
01/14/2019 23:00:00,8330,5360,0,4112,50,1185
01/15/2019 00:00:00,8346,5339,0,4117,135,1186
01/15/2019 01:00:00,8116,5324,0,4121,216,1184
01/15/2019 02:00:00,7745,5329,0,3901,300,1180
01/15/2019 03:00:00,6802,5361,0,3835,428,1120
01/15/2019 04:00:00,5854,5369,0,3486,430,879
01/15/2019 05:00:00,4970,5263,0,3006,429,800
01/15/2019 06:00:00,4767,5353,0,2466,449,1111
01/15/2019 07:00:00,4407,5300,0,2230,373,1114
01/15/2019 08:00:00,4363,5306,0,2228,359,927
01/15/2019 09:00:00,4472,5322,0,2246,291,726
01/15/2019 10:00:00,4543,5343,0,2242,237,915
01/15/2019 11:00:00,5209,5504,0,2442,212,1185
01/15/2019 12:00:00,6139,5455,0,3319,224,1229
01/15/2019 13:00:00,6648,5446,0,4018,233,1237
01/15/2019 14:00:00,6418,5418,0,3979,189,1236
01/15/2019 15:00:00,6478,5412,0,3954,150,1229
01/15/2019 16:00:00,6177,5409,0,3922,118,1224
01/15/2019 17:00:00,6306,5405,0,3796,143,1206
01/15/2019 18:00:00,6039,5401,0,3634,193,1215
01/15/2019 19:00:00,5746,5401,0,3549,249,1194
01/15/2019 20:00:00,5733,5405,0,3516,255,1152
01/15/2019 21:00:00,6071,5429,0,3573,222,1146
01/15/2019 22:00:00,6768,5446,0,3804,206,1212
01/15/2019 23:00:00,7659,5470,0,3980,209,1206
01/16/2019 00:00:00,7412,5445,0,4069,242,1208
01/16/2019 01:00:00,7093,5426,0,4024,286,1182
01/16/2019 02:00:00,6603,5401,0,3773,363,1156
01/16/2019 03:00:00,6003,5397,0,3583,469,860
01/16/2019 04:00:00,4816,5397,0,3504,569,837
01/16/2019 05:00:00,4163,5404,0,3124,564,935
01/16/2019 06:00:00,4323,4404,1496,1888,549,681
01/16/2019 07:00:00,4107,4348,1417,1746,581,679
01/16/2019 08:00:00,4020,4253,1376,1684,625,539
01/16/2019 09:00:00,4385,4136,1547,1557,645,439
01/16/2019 10:00:00,4595,4140,1598,1659,631,515
01/16/2019 11:00:00,4847,4475,1525,1869,642,669
01/16/2019 12:00:00,6144,4405,1831,2402,620,647
01/16/2019 13:00:00,6392,4514,1736,3176,690,492
01/16/2019 14:00:00,6550,4405,1888,3093,701,501
01/16/2019 15:00:00,6736,4379,1931,3032,746,613
01/16/2019 16:00:00,6719,4363,1938,2925,832,592
01/16/2019 17:00:00,6511,4365,1904,2859,921,613
01/16/2019 18:00:00,6243,4374,1867,2824,1033,479
01/16/2019 19:00:00,6437,4360,1916,2561,1017,470
01/16/2019 20:00:00,6139,4440,1752,2810,999,471
01/16/2019 21:00:00,6441,4451,1780,2753,950,470
01/16/2019 22:00:00,6874,4542,1715,3175,935,482
01/16/2019 23:00:00,7613,4577,1731,3338,768,585
01/17/2019 00:00:00,7740,4467,1890,3028,604,620
01/17/2019 01:00:00,7511,4500,1820,3131,493,690
01/17/2019 02:00:00,7108,4521,1755,3115,402,697
01/17/2019 03:00:00,6101,4486,1688,2990,317,670
01/17/2019 04:00:00,5627,4420,1637,2686,245,672
01/17/2019 05:00:00,4683,4504,1430,2438,192,700
01/17/2019 06:00:00,4083,5140,0,2390,190,1225
01/17/2019 07:00:00,3931,5010,0,2275,161,1159
01/17/2019 08:00:00,3945,5028,0,2290,139,1169
01/17/2019 09:00:00,3960,5039,0,2245,135,1072
01/17/2019 10:00:00,4285,5061,0,2295,115,1007
01/17/2019 11:00:00,5116,5240,0,2579,119,1131
01/17/2019 12:00:00,6370,5270,544,3386,112,819
01/17/2019 13:00:00,7748,5281,604,3937,129,829
01/17/2019 14:00:00,7530,5288,591,3688,150,835
01/17/2019 15:00:00,7025,5252,595,3543,91,848
01/17/2019 16:00:00,7028,5198,586,3469,39,828
01/17/2019 17:00:00,7036,5165,617,3320,27,770
01/17/2019 18:00:00,6749,5180,599,3327,31,790
01/17/2019 19:00:00,6379,5190,600,3484,36,850
01/17/2019 20:00:00,6427,5203,686,3411,37,811
01/17/2019 21:00:00,7091,5205,528,3480,30,839
01/17/2019 22:00:00,8055,5246,0,3639,57,1327
01/17/2019 23:00:00,8759,5257,529,3864,117,840
01/18/2019 00:00:00,8792,5231,592,3712,279,843
01/18/2019 01:00:00,8346,5226,0,3661,369,1343
01/18/2019 02:00:00,7932,5225,0,3496,426,1329
01/18/2019 03:00:00,7286,5218,0,3427,535,1322
01/18/2019 04:00:00,5927,5176,0,3122,590,1271
01/18/2019 05:00:00,4991,5100,0,2621,628,1264
01/18/2019 06:00:00,4121,5495,0,2193,587,968
01/18/2019 07:00:00,4019,5348,0,2181,527,939
01/18/2019 08:00:00,3645,5326,0,2018,618,880
01/18/2019 09:00:00,3344,5278,0,1957,686,880
01/18/2019 10:00:00,3777,5196,0,2237,639,1027
01/18/2019 11:00:00,4477,5408,0,2377,563,1174
01/18/2019 12:00:00,5243,5464,0,3064,524,1292
01/18/2019 13:00:00,5673,5470,0,3575,495,1194
01/18/2019 14:00:00,5783,5478,0,3729,472,1216
01/18/2019 15:00:00,6019,5460,0,3650,453,1376
01/18/2019 16:00:00,6341,5439,0,3398,445,1501
01/18/2019 17:00:00,6261,5430,0,3388,429,1527
01/18/2019 18:00:00,6028,5424,0,3366,503,1589
01/18/2019 19:00:00,5875,5428,0,3308,576,1706
01/18/2019 20:00:00,5603,5438,0,3338,483,1761
01/18/2019 21:00:00,5512,5438,0,3420,469,1796
01/18/2019 22:00:00,5814,5429,0,3484,525,1908
01/18/2019 23:00:00,6728,5434,0,3512,435,1956
01/19/2019 00:00:00,6251,5422,0,3556,418,1948
01/19/2019 01:00:00,5874,5421,0,3539,432,1932
01/19/2019 02:00:00,5599,5417,0,3490,352,1865
01/19/2019 03:00:00,5164,5427,0,3344,249,1827
01/19/2019 04:00:00,4340,5426,0,2987,311,1738
01/19/2019 05:00:00,4216,5120,0,2579,235,1665
01/19/2019 06:00:00,3745,5121,0,2048,172,1683
01/19/2019 07:00:00,3349,5120,0,1941,174,1573
01/19/2019 08:00:00,3274,5105,0,1963,121,1572
01/19/2019 09:00:00,3314,5124,0,1996,79,1605
01/19/2019 10:00:00,3508,5110,0,1938,58,1558
01/19/2019 11:00:00,3841,5135,0,1972,64,1503
01/19/2019 12:00:00,4306,5172,0,1994,53,1624
01/19/2019 13:00:00,4830,5443,0,2881,67,1473
01/19/2019 14:00:00,4761,5421,0,3490,103,1411
01/19/2019 15:00:00,5050,5418,0,3588,168,1431
01/19/2019 16:00:00,5206,5428,0,3617,219,1566
01/19/2019 17:00:00,5433,5455,0,3642,250,1863
01/19/2019 18:00:00,5747,5449,0,3650,228,1943
01/19/2019 19:00:00,5510,5448,0,3700,241,1919
01/19/2019 20:00:00,5397,5421,0,3728,315,1906
01/19/2019 21:00:00,5558,5406,0,3698,382,1909
01/19/2019 22:00:00,6065,5401,0,3720,493,1842
01/19/2019 23:00:00,6912,5423,935,3952,589,1018
01/20/2019 00:00:00,7032,5422,916,3879,637,1030
01/20/2019 01:00:00,6504,5402,0,3794,720,1916
01/20/2019 02:00:00,6096,5394,0,3644,755,1905
01/20/2019 03:00:00,5398,5400,0,3482,808,1845
01/20/2019 04:00:00,5068,5336,0,3299,796,1726
01/20/2019 05:00:00,4647,5375,0,2579,895,1538
01/20/2019 06:00:00,4616,5408,0,1941,882,1520
01/20/2019 07:00:00,3893,5299,0,1792,808,1522
01/20/2019 08:00:00,3811,5177,0,1769,754,1356
01/20/2019 09:00:00,3921,5182,0,1756,720,1183
01/20/2019 10:00:00,3810,5198,0,1764,730,1243
01/20/2019 11:00:00,3876,5330,0,1792,738,1425
01/20/2019 12:00:00,4199,5230,0,1805,732,1491
01/20/2019 13:00:00,4596,5237,0,2272,636,1345
01/20/2019 14:00:00,4830,5413,0,2267,625,1262
01/20/2019 15:00:00,5099,5414,0,2850,598,1380
01/20/2019 16:00:00,4865,5404,0,3460,559,1362
01/20/2019 17:00:00,5311,5393,0,3609,655,1407
01/20/2019 18:00:00,4716,5396,0,3488,772,1484
01/20/2019 19:00:00,4808,5381,0,3572,835,1564
01/20/2019 20:00:00,4912,5380,0,3536,939,1558
01/20/2019 21:00:00,5179,5383,0,3521,925,1562
01/20/2019 22:00:00,5840,5402,0,3537,901,1469
01/20/2019 23:00:00,6499,5425,0,3706,918,1635
01/21/2019 00:00:00,6608,5445,0,3702,910,1561
01/21/2019 01:00:00,6667,5449,0,3376,909,1500
01/21/2019 02:00:00,6501,5446,0,3210,922,1428
01/21/2019 03:00:00,6060,5435,0,3151,981,1454
01/21/2019 04:00:00,5492,5464,0,2569,1039,1521
01/21/2019 05:00:00,5226,5473,0,2296,979,1448
