Timestamp,Energy Type,Category,Unit Name,Installed Capacity (MW),Power Generation (MW),Utilization (%),Remarks
2025-03-05 02:40,LNG,,Nanbu#2,288.8,125.0,43.283%,16
2025-03-05 02:40,LNG,,Nanbu#3,288.8,289.8,100.346%,
2025-03-05 02:40,LNG,,Nanbu#4,251.4,239.4,95.227%,
2025-03-05 02:40,LNG,,Dalin#5,-,0.0,-,21
2025-03-05 02:40,LNG,,Dalin#6,550.0,224.8,40.873%,
2025-03-05 02:40,LNG,,Subtotal,13353.4(23.494%),10603.2(45.254%),,
2025-03-05 02:40,IPPLNG,,Haihu#1,450.0,402.8,89.511%,
2025-03-05 02:40,IPPLNG,,Haihu#2,450.0,420.2,93.378%,
2025-03-05 02:40,IPPLNG,,Hsintao#1,630.0,0.0,0.000%,7
2025-03-05 02:40,IPPLNG,,Guoguang#1,480.0,428.1,89.188%,
2025-03-05 02:40,IPPLNG,,Xingzhang#1,506.9,0.0,0.000%,
2025-03-05 02:40,IPPLNG,,Xingyuan#1,549.1,541.9,98.689%,
2025-03-05 02:40,IPPLNG,,Jiahui#1,700.0,0.0,0.000%,7
2025-03-05 02:40,IPPLNG,,Jiahui#2,510.0,379.6,74.431%,
2025-03-05 02:40,IPPLNG,,Fongde#1,506.9,491.9,97.049%,
2025-03-05 02:40,IPPLNG,,Fongde#2,506.9,490.7,96.813%,
2025-03-05 02:40,IPPLNG,,Fongde#3(Remark X),-,465.2,-,26
2025-03-05 02:40,IPPLNG,,Subtotal,5289.7(9.307%),3620.4(15.452%),,
2025-03-05 02:40,OIL,,Xiehe#3,500.0,143.1,28.620%,
2025-03-05 02:40,OIL,,Xiehe#4,500.0,137.4,27.480%,
2025-03-05 02:40,OIL,,Penghu-Jianshan(Remark IV),129.8,17.9,13.790%,17
2025-03-05 02:40,OIL,,Subtotal,1129.8(1.988%),298.4(1.274%),,
2025-03-05 02:40,DIESEL,,NPP2 Gas1,-,0.0,-,31
2025-03-05 02:40,DIESEL,,NPP2 Gas2,-,0.0,-,
2025-03-05 02:40,DIESEL,,NPP3 Gas1,-,0.0,-,2
2025-03-05 02:40,DIESEL,,NPP3 Gas2,-,0.0,-,1
2025-03-05 02:40,DIESEL,,Taichung Gas1&amp;2,140.0,0.0,0.000%,
2025-03-05 02:40,DIESEL,,Taichung Gas3&amp;4,140.0,0.0,0.000%,
2025-03-05 02:40,DIESEL,,Kinmen-Tashan(Remark IV),113.3,23.6,20.831%,
2025-03-05 02:40,DIESEL,,Masu-Zhushan(Remark IV),28.6,6.5,22.696%,
2025-03-05 02:40,DIESEL,,Other outlying Islands(Remark IV),40.8,N/A,N/A,
2025-03-05 02:40,DIESEL,,Subtotal(Remark V),462.7(0.814%),30.1(0.128%),,
2025-03-05 02:40,HYDRO,,Deji#1,78.0,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Deji#2,78.0,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Deji#3,78.0,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Qingshan#1,92.0,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Qingshan#2,92.0,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Qingshan#3,92.0,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Qingshan#4,92.0,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Guguan#1,54.4,0.0,0.000%,2
2025-03-05 02:40,HYDRO,,Guguan#2,54.4,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Guguan#3,54.4,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Guguan#4,54.4,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Tienlun#1,22.5,6.6,29.333%,
2025-03-05 02:40,HYDRO,,Tienlun#2,22.5,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Tienlun#3,22.5,5.8,25.778%,
2025-03-05 02:40,HYDRO,,Tienlun#4,22.5,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Tienlun#5,105.0,0.0,0.000%,1
2025-03-05 02:40,HYDRO,,Ma-an#1,66.7,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Ma-an#2,66.7,11.2,16.782%,
2025-03-05 02:40,HYDRO,,Zhuolan#1,40.0,0.0,0.000%,2
2025-03-05 02:40,HYDRO,,Zhuolan#2,40.0,41.0,102.500%,
2025-03-05 02:40,HYDRO,,Wanda#1,10.4,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Wanda#2,10.4,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Wanda#3,15.3,0.0,0.000%,1
2025-03-05 02:40,HYDRO,,Wanda#4,19.7,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Songlin#1&amp;2,20.9,0.0,0.000%,17
2025-03-05 02:40,HYDRO,,Daguan1#1,22.0,6.1,27.727%,
2025-03-05 02:40,HYDRO,,Daguan1#2,22.0,10.2,46.364%,
2025-03-05 02:40,HYDRO,,Daguan1#3,22.0,10.0,45.455%,
2025-03-05 02:40,HYDRO,,Daguan1#4,22.0,10.0,45.455%,
2025-03-05 02:40,HYDRO,,Daguan1#5,22.0,10.2,46.364%,
2025-03-05 02:40,HYDRO,,Jugong#1,21.8,5.9,27.126%,
2025-03-05 02:40,HYDRO,,Jugong#2,21.8,10.4,47.816%,
2025-03-05 02:40,HYDRO,,Shuili#1,12.8,0.0,0.002%,2
2025-03-05 02:40,HYDRO,,Liwu#1&amp;#2,32.0,0.0,0.000%,2
2025-03-05 02:40,HYDRO,,Longjian#1,48.6,9.0,18.519%,
2025-03-05 02:40,HYDRO,,Longjian#2,48.6,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Bihai,61.2,24.4,39.943%,
2025-03-05 02:40,HYDRO,,Wulai&amp;Gueishan&amp;Cukeng,40.5,35.4,87.407%,
2025-03-05 02:40,HYDRO,,Small hydro in the northern region(Remark VI),31.1,22.4,71.978%,
2025-03-05 02:40,HYDRO,,Small hydro in the central region(Remark VI),31.3,9.8,31.315%,
2025-03-05 02:40,HYDRO,,Small hydro in the southern region(Remark VI),7.2,4.6,64.156%,
2025-03-05 02:40,HYDRO,,Small hydro in the eastern region(Remark VI),54.6,31.0,56.777%,
2025-03-05 02:40,HYDRO,,Feicuei#1,70.0,75.4,107.714%,
2025-03-05 02:40,HYDRO,,Shihmen#1,45.0,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Shihmen#2,45.0,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Zengwun#1,50.0,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Yising#1,40.0,0.0,0.000%,2
2025-03-05 02:40,HYDRO,,Mingjian,16.7,10.8,64.671%,
2025-03-05 02:40,HYDRO,,Jiananxikou&amp;Wushantou&amp;Batian,22.5,0.0,0.000%,
2025-03-05 02:40,HYDRO,,Beinan,2.0,0.7,35.354%,
2025-03-05 02:40,HYDRO,,GuanShan,1.0,2.1,210.000%,
2025-03-05 02:40,HYDRO,,Remaining Small Hydropower Purchases,3.9,N/A,N/A,
2025-03-05 02:40,HYDRO,,Subtotal,2122.3(3.734%),353.1(1.507%),,
2025-03-05 02:40,WIND,Onshore Wind TPC(Remark XIII),Guanyuan,30.0,26.0,86.667%,
2025-03-05 02:40,WIND,Onshore Wind TPC(Remark XIII),Taichung Harbor,35.0,3.4,9.714%,
2025-03-05 02:40,WIND,Onshore Wind TPC(Remark XIII),Wanggong,23.0,0.1,0.435%,
2025-03-05 02:40,WIND,Onshore Wind TPC(Remark XIII),Zhanggong,86.2,0.0,0.000%,17
2025-03-05 02:40,WIND,Onshore Wind TPC(Remark XIII),Yunmai,46.0,0.1,0.217%,17
2025-03-05 02:40,WIND,Onshore Wind TPC(Remark XIII),Sihhu,28.0,1.3,4.643%,17
2025-03-05 02:40,WIND,Onshore Wind TPC(Remark XIII),Remaining Wind TPC,86.4,16.1,18.626%,
2025-03-05 02:40,WIND,Onshore Wind Purchases(Remark XIII),Miaoli-Dapong,42.0,5.6,13.333%,
2025-03-05 02:40,WIND,Onshore Wind Purchases(Remark XIII),Luwei-Zhangbin,55.2,0.0,0.000%,
2025-03-05 02:40,WIND,Onshore Wind Purchases(Remark XIII),Guanwei-Guanyin&amp;Taowei-Xinwu,48.3,0.0,0.000%,
2025-03-05 02:40,WIND,Onshore Wind Purchases(Remark XIII),Zhongwei Da-an,75.9,11.0,14.493%,
2025-03-05 02:40,WIND,Onshore Wind Purchases(Remark XIII),ChuangWei Wind,49.2,0.0,0.000%,
2025-03-05 02:40,WIND,Onshore Wind Purchases(Remark XIII),"wpd,SinYuan-Lunbei",25.2,3.7,14.683%,
2025-03-05 02:40,WIND,Onshore Wind Purchases(Remark XIII),Remaining Wind Purchases,178.4,6.5,3.643%,
2025-03-05 02:40,WIND,Offshore Wind TPC(Remark XIII),Offshore Wind Generation Project Phase I,109.2,0.0,0.000%,
2025-03-05 02:40,WIND,Offshore Wind Purchases(Remark XIII),"Formosa 1 Offshore Wind Farm,HaiYang Zhunan",128.0,95.5,74.609%,
2025-03-05 02:40,WIND,Offshore Wind Purchases(Remark XIII),"Formosa 2 Offshore Wind Farm,HaiNeng Wind",376.0,326.5,86.835%,
2025-03-05 02:40,WIND,Offshore Wind Purchases(Remark XIII),"Orsted Greater Changhua-southeast,WoYi Wind",605.2,537.0,88.735%,
2025-03-05 02:40,WIND,Offshore Wind Purchases(Remark XIII),"Orsted Greater Changhua-southwest,WoEr Wind",294.8,289.0,98.043%,
2025-03-05 02:40,WIND,Offshore Wind Purchases(Remark XIII),"CHANGFANG-XIDAO OFFSHORE WIND FARMS I,FangYi Wind",96.0,8.4,8.750%,
2025-03-05 02:40,WIND,Offshore Wind Purchases(Remark XIII),"Changfang - phase II Offshore Wind Farm,FangEr Wind",451.2,28.8,6.383%,
2025-03-05 02:40,WIND,Offshore Wind Purchases(Remark XIII),"OWF Yunlin,YunHu(Remark X)",-,36.7,-,
2025-03-05 02:40,WIND,Offshore Wind Purchases(Remark XIII),"OWF Yunlin,YunSi(Remark X)",-,33.6,-,
2025-03-05 02:40,WIND,Offshore Wind Purchases(Remark XIII),ZHONGNENG OFFSHORE WIND FARM(Remark X),-,14.0,-,
2025-03-05 02:40,WIND,,Subtotal,2869.2(5.048%),1443.3(6.160%),,
2025-03-05 02:40,SOLAR,SOLAR TPC(Remark XIII),Jhangbin Solar Power,100.0,0.000,0.000%,
2025-03-05 02:40,SOLAR,SOLAR TPC(Remark XIII),Tainan Salt Field Solar,150.0,0.000,0.000%,
2025-03-05 02:40,SOLAR,SOLAR TPC(Remark XIII),Remaining Solar TPC,24.3,0.000,0.000%,
2025-03-05 02:40,SOLAR,SOLAR Purchases(Remark XIII),Lunwei Solar Power,-,0.000,-,43
2025-03-05 02:40,SOLAR,SOLAR Purchases(Remark XIII),TianChon PV,-,0.000,-,43
2025-03-05 02:40,SOLAR,SOLAR Purchases(Remark XIII),TianPeng PV,80.0,0.000,0.000%,
2025-03-05 02:40,SOLAR,SOLAR Purchases(Remark XIII),Pau Shing PV(Remark X),-,0.000,-,
2025-03-05 02:40,SOLAR,SOLAR Purchases(Remark XIII),"URECO/HuahSuan Green Energy/HEXA Renewables Taiwan,LianHua Solar",-,0.000,-,
2025-03-05 02:40,SOLAR,SOLAR Purchases(Remark XIII),"SunnyRichPower,SianYang PV(Remark X)",-,0.000,-,
2025-03-05 02:40,SOLAR,SOLAR Purchases(Remark XIII),SingWeiPV(Remark X),-,0.000,-,
2025-03-05 02:40,SOLAR,SOLAR Purchases(Remark XIII),Shuo Li PV(Remark X),-,0.000,-,
2025-03-05 02:40,SOLAR,SOLAR Purchases(Remark XIII),TianYing Solar(Remark X),-,0.000,-,
2025-03-05 02:40,SOLAR,SOLAR Purchases(Remark XIII),JhihGuang Solar(Remark X),-,0.000,-,
2025-03-05 02:40,SOLAR,SOLAR Purchases(Remark XIII),YongYao Solar Power Plant(Remark X),-,0.000,-,
2025-03-05 02:40,SOLAR,SOLAR Purchases(Remark XIII),"ARK Solar Energy Corp.,Sin He Solar(Remark X)",-,0.000,-,
2025-03-05 02:40,SOLAR,SOLAR Purchases(Remark XIII),"StarShiningEnergy,ShengLi PV(Remark X)",-,0.000,-,
2025-03-05 02:40,SOLAR,SOLAR Purchases(Remark XIII),"Ting Jie Electric Power,TingHe Solar(Remark X)",-,0.000,-,
2025-03-05 02:40,SOLAR,SOLAR Purchases(Remark XIII),"STAR Energy,SingGu Solar(Remark X)",-,0.000,-,
2025-03-05 02:40,SOLAR,SOLAR Purchases(Remark XIII),Remaining Solar Purchases,13425.0,0.000,0.000%,
2025-03-05 02:40,SOLAR,,Subtotal,13779.2(24.243%),0.0(0.000%),,
2025-03-05 02:40,OTHERRENEWABLEENERGY,,TPC Geothermal,0.8,0.5,57.417%,
2025-03-05 02:40,OTHERRENEWABLEENERGY,,Geothermal Purchases,6.4,2.0,31.013%,
2025-03-05 02:40,OTHERRENEWABLEENERGY,,Biofuel,38.2,16.6,43.455%,
2025-03-05 02:40,OTHERRENEWABLEENERGY,,Subtotal,45.5(0.080%),19.1(0.081%),,
2025-03-05 02:40,ENERGYSTORAGESYSTEM,Pumped Hydro,DaGuan2#1,250.0,0.0,0.000%,2
2025-03-05 02:40,ENERGYSTORAGESYSTEM,Pumped Hydro,DaGuan2#2,250.0,0.0,0.000%,
2025-03-05 02:40,ENERGYSTORAGESYSTEM,Pumped Hydro,DaGuan2#3,250.0,0.0,0.000%,
2025-03-05 02:40,ENERGYSTORAGESYSTEM,Pumped Hydro,DaGuan2#4,250.0,0.0,0.000%,
2025-03-05 02:40,ENERGYSTORAGESYSTEM,Pumped Hydro,Mingtan#1,267.0,0.0,0.000%,
2025-03-05 02:40,ENERGYSTORAGESYSTEM,Pumped Hydro,Mingtan#2,267.0,0.0,0.000%,
2025-03-05 02:40,ENERGYSTORAGESYSTEM,Pumped Hydro,Mingtan#3,267.0,0.0,0.000%,
2025-03-05 02:40,ENERGYSTORAGESYSTEM,Pumped Hydro,Mingtan#4,267.0,0.0,0.000%,
2025-03-05 02:40,ENERGYSTORAGESYSTEM,Pumped Hydro,Mingtan#5,267.0,0.0,0.000%,
2025-03-05 02:40,ENERGYSTORAGESYSTEM,Pumped Hydro,Mingtan#6,267.0,0.0,0.000%,1
2025-03-05 02:40,ENERGYSTORAGESYSTEM,Battery,Battery(Remark XVI),492.3,0.0,0.000%,
2025-03-05 02:40,ENERGYSTORAGESYSTEM,,Subtotal,3094.3(5.444%),0.0(0.000%),,
2025-03-05 02:40,ENERGYSTORAGESYSTEMLOAD,Pumped Hydro,DaGuan2#1,-,0.0,-,2
2025-03-05 02:40,ENERGYSTORAGESYSTEMLOAD,Pumped Hydro,DaGuan2#2,-,-242.2,-,
2025-03-05 02:40,ENERGYSTORAGESYSTEMLOAD,Pumped Hydro,DaGuan2#3,-,-241.2,-,
2025-03-05 02:40,ENERGYSTORAGESYSTEMLOAD,Pumped Hydro,DaGuan2#4,-,0.0,-,
2025-03-05 02:40,ENERGYSTORAGESYSTEMLOAD,Pumped Hydro,Mingtan#1,-,0.0,-,
2025-03-05 02:40,ENERGYSTORAGESYSTEMLOAD,Pumped Hydro,Mingtan#2,-,-264.4,-,
2025-03-05 02:40,ENERGYSTORAGESYSTEMLOAD,Pumped Hydro,Mingtan#3,-,0.0,-,
2025-03-05 02:40,ENERGYSTORAGESYSTEMLOAD,Pumped Hydro,Mingtan#4,-,0.0,-,
2025-03-05 02:40,ENERGYSTORAGESYSTEMLOAD,Pumped Hydro,Mingtan#5,-,-265.7,-,
2025-03-05 02:40,ENERGYSTORAGESYSTEMLOAD,Pumped Hydro,Mingtan#6,-,0.0,-,1
2025-03-05 02:40,ENERGYSTORAGESYSTEMLOAD,Battery,Battery(Remark XVI),-,-4.2,-,
2025-03-05 02:50,NUCLEAR,,NPP3#2,951.0,944.9,99.359%,
2025-03-05 02:50,NUCLEAR,,Subtotal,951.0(1.673%),944.9(4.034%),,
2025-03-05 02:50,COAL,,Linkou#1,800.0,0.0,0.000%,1
2025-03-05 02:50,COAL,,Linkou#2,800.0,761.2,95.150%,
2025-03-05 02:50,COAL,,Linkou#3,800.0,760.8,95.100%,
2025-03-05 02:50,COAL,,Taichung#1,550.0,421.3,76.600%,22
2025-03-05 02:50,COAL,,Taichung#2,550.0,425.3,77.327%,22
2025-03-05 02:50,COAL,,Taichung#3,550.0,0.0,0.000%,1
2025-03-05 02:50,COAL,,Taichung#4,550.0,0.0,0.000%,3
2025-03-05 02:50,COAL,,Taichung#5,550.0,332.1,60.382%,23
2025-03-05 02:50,COAL,,Taichung#6,550.0,427.5,77.727%,22
2025-03-05 02:50,COAL,,Taichung#7,550.0,416.9,75.800%,22
2025-03-05 02:50,COAL,,Taichung#8,550.0,426.6,77.564%,22
2025-03-05 02:50,COAL,,Taichung#9,550.0,0.0,0.000%,1
2025-03-05 02:50,COAL,,Taichung#10,550.0,0.0,0.000%,1
2025-03-05 02:50,COAL,,Xinda#1(Remark XV),-,0.0,-,
2025-03-05 02:50,COAL,,Xingda#2(Remark XV),-,0.0,-,
2025-03-05 02:50,COAL,,Xingda#3(Remark XII),550.0,0.0,0.000%,28
2025-03-05 02:50,COAL,,Xingda#4(Remark XII),550.0,0.0,0.000%,28
2025-03-05 02:50,COAL,,Dalin#1,800.0,761.0,95.125%,
2025-03-05 02:50,COAL,,Dalin#2,800.0,0.0,0.000%,1
2025-03-05 02:50,COAL,,Subtotal,10600.0(18.650%),4732.7(20.203%),,
2025-03-05 02:50,COGEN,,Co-Generation,631.4,926.4,-,
2025-03-05 02:50,COGEN,,Subtotal,631.4(1.111%),926.4(3.954%),,
2025-03-05 02:50,IPPCOAL,,Hoping#1,648.6,0.0,0.000%,1
2025-03-05 02:50,IPPCOAL,,Hoping#2,660.0,539.9,81.803%,23
2025-03-05 02:50,IPPCOAL,,Mailiao#1,600.0,280.3,46.717%,22
2025-03-05 02:50,IPPCOAL,,Mailiao#3,600.0,571.1,95.183%,31
2025-03-05 02:50,IPPCOAL,,Subtotal,2508.6(4.414%),1391.3(5.939%),,
2025-03-05 02:50,LNG,,Datan#1,742.7,192.7,25.944%,16
2025-03-05 02:50,LNG,,Datan#2,742.7,672.6,90.561%,
2025-03-05 02:50,LNG,,Datan#3,724.7,652.7,90.065%,
2025-03-05 02:50,LNG,,Datan#4,724.7,701.8,96.840%,
2025-03-05 02:50,LNG,,Datan#5,724.7,0.0,0.000%,1
2025-03-05 02:50,LNG,,Datan#6,724.7,672.4,92.783%,
2025-03-05 02:50,LNG,,Datan#7(Remark X),-,0.0,-,19
2025-03-05 02:50,LNG,,Datan#8,1123.6,556.4,49.519%,17
2025-03-05 02:50,LNG,,Datan#9(Remark X),-,1107.0,-,19
2025-03-05 02:50,LNG,,Tongxiao#1,892.6,905.0,101.389%,31
2025-03-05 02:50,LNG,,Tongxiao#2,892.6,869.9,97.457%,23
2025-03-05 02:50,LNG,,Tongxiao#3,892.6,910.4,101.994%,
2025-03-05 02:50,LNG,,Tongxiao#4,386.0,0.0,0.000%,2
2025-03-05 02:50,LNG,,Tongxiao#5,386.0,288.6,74.767%,23
2025-03-05 02:50,LNG,,Tongxiao#6,321.2,338.5,105.386%,
2025-03-05 02:50,LNG,,TongxiaoGT#9,180.9,0.0,0.000%,
2025-03-05 02:50,LNG,,Xingda New CC#1(Remark X),-,0.0,-,
2025-03-05 02:50,LNG,,Xingda CC#1,445.2,19.0,4.268%,16
2025-03-05 02:50,LNG,,Xingda CC#2,445.2,397.1,89.198%,
2025-03-05 02:50,LNG,,Xingda CC#3,445.2,392.2,88.097%,
2025-03-05 02:50,LNG,,Xingda CC#4,445.2,347.8,78.124%,
2025-03-05 02:50,LNG,,Xingda CC#5,445.2,429.2,96.408%,
2025-03-05 02:50,LNG,,Nanbu#1,288.8,248.5,86.046%,
2025-03-05 02:50,LNG,,Nanbu#2,288.8,127.3,44.079%,16
2025-03-05 02:50,LNG,,Nanbu#3,288.8,276.3,95.672%,
2025-03-05 02:50,LNG,,Nanbu#4,251.4,230.7,91.766%,
2025-03-05 02:50,LNG,,Dalin#5,-,0.0,-,21
2025-03-05 02:50,LNG,,Dalin#6,550.0,226.4,41.164%,
2025-03-05 02:50,LNG,,Subtotal,13353.4(23.494%),10562.5(45.089%),,
2025-03-05 02:50,IPPLNG,,Haihu#1,450.0,418.0,92.889%,
2025-03-05 02:50,IPPLNG,,Haihu#2,450.0,415.9,92.422%,
2025-03-05 02:50,IPPLNG,,Hsintao#1,630.0,0.0,0.000%,7
2025-03-05 02:50,IPPLNG,,Guoguang#1,480.0,434.9,90.604%,
2025-03-05 02:50,IPPLNG,,Xingzhang#1,506.9,0.0,0.000%,
2025-03-05 02:50,IPPLNG,,Xingyuan#1,549.1,540.7,98.470%,
2025-03-05 02:50,IPPLNG,,Jiahui#1,700.0,0.0,0.000%,7
2025-03-05 02:50,IPPLNG,,Jiahui#2,510.0,379.2,74.353%,
2025-03-05 02:50,IPPLNG,,Fongde#1,506.9,491.4,96.951%,
2025-03-05 02:50,IPPLNG,,Fongde#2,506.9,488.4,96.359%,
2025-03-05 02:50,IPPLNG,,Fongde#3(Remark X),-,465.2,-,26
2025-03-05 02:50,IPPLNG,,Subtotal,5289.7(9.307%),3633.7(15.511%),,
2025-03-05 02:50,OIL,,Xiehe#3,500.0,143.1,28.620%,
2025-03-05 02:50,OIL,,Xiehe#4,500.0,136.6,27.320%,
2025-03-05 02:50,OIL,,Penghu-Jianshan(Remark IV),129.8,17.4,13.405%,17
2025-03-05 02:50,OIL,,Subtotal,1129.8(1.988%),297.1(1.268%),,
2025-03-05 02:50,DIESEL,,NPP2 Gas1,-,0.0,-,31
2025-03-05 02:50,DIESEL,,NPP2 Gas2,-,0.0,-,
2025-03-05 02:50,DIESEL,,NPP3 Gas1,-,0.0,-,2
2025-03-05 02:50,DIESEL,,NPP3 Gas2,-,0.0,-,1
2025-03-05 02:50,DIESEL,,Taichung Gas1&amp;2,140.0,0.0,0.000%,
2025-03-05 02:50,DIESEL,,Taichung Gas3&amp;4,140.0,0.0,0.000%,
2025-03-05 02:50,DIESEL,,Kinmen-Tashan(Remark IV),113.3,23.2,20.478%,
2025-03-05 02:50,DIESEL,,Masu-Zhushan(Remark IV),28.6,6.4,22.346%,
2025-03-05 02:50,DIESEL,,Other outlying Islands(Remark IV),40.8,N/A,N/A,
2025-03-05 02:50,DIESEL,,Subtotal(Remark V),462.7(0.814%),29.6(0.126%),,
2025-03-05 02:50,HYDRO,,Deji#1,78.0,0.0,0.000%,
2025-03-05 02:50,HYDRO,,Deji#2,78.0,0.0,0.000%,
2025-03-05 02:50,HYDRO,,Deji#3,78.0,0.0,0.000%,
2025-03-05 02:50,HYDRO,,Qingshan#1,92.0,0.0,0.000%,
2025-03-05 02:50,HYDRO,,Qingshan#2,92.0,0.0,0.000%,
2025-03-05 02:50,HYDRO,,Qingshan#3,92.0,0.0,0.000%,
2025-03-05 02:50,HYDRO,,Qingshan#4,92.0,0.0,0.000%,
2025-03-05 02:50,HYDRO,,Guguan#1,54.4,0.0,0.000%,2
2025-03-05 02:50,HYDRO,,Guguan#2,54.4,0.0,0.000%,
2025-03-05 02:50,HYDRO,,Guguan#3,54.4,0.0,0.000%,
2025-03-05 02:50,HYDRO,,Guguan#4,54.4,0.0,0.000%,
2025-03-05 02:50,HYDRO,,Tienlun#1,22.5,6.6,29.333%,
2025-03-05 02:50,HYDRO,,Tienlun#2,22.5,0.0,0.000%,
2025-03-05 02:50,HYDRO,,Tienlun#3,22.5,5.8,25.778%,
2025-03-05 02:50,HYDRO,,Tienlun#4,22.5,0.0,0.000%,
