UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast
2023-06-21 11:00:00,2024-07-17 00:00:00,3.1,3.153169063456007,297.6582042187936,284.83004672037885,505.6391162319634,0.2306508397923228,1025.55529,1740.30165,168.00001,0.0
2023-06-21 12:00:00,2024-07-17 00:00:00,3.1,3.153169063456007,297.6582042187936,284.83004672037885,505.6391162319634,0.2306508397923228,982.4362,1416.0167,161.0,0.0
2023-06-21 13:00:00,2024-07-17 00:00:00,3.1,3.947591219932144,294.9338923517274,285.64959829429483,581.1952302938093,1.65670587558761,1022.61057,1154.89394,144.99999,0.0
2023-06-21 14:00:00,2024-07-17 00:00:00,3.1,3.947591219932144,294.9338923517274,285.64959829429483,581.1952302938093,1.65670587558761,1020.24538,1498.85702,124.0,0.0
2023-06-21 15:00:00,2024-07-17 00:00:00,3.1,3.947591219932144,294.9338923517274,285.64959829429483,581.1952302938093,1.65670587558761,1019.41486,2035.13593,94.0,0.0
2023-06-21 16:00:00,2024-07-17 00:00:00,3.1,3.123855235764507,289.08101520945763,286.5551626761556,395.43746889060907,5.822865626593627,1044.80301,2717.01489,56.0,0.0
2023-06-21 17:00:00,2024-07-17 00:00:00,3.1,3.123855235764507,289.08101520945763,286.5551626761556,395.43746889060907,5.822865626593627,1041.66187,3196.55385,23.0,0.0
2023-06-21 18:00:00,2024-07-17 00:00:00,3.1,3.123855235764507,289.08101520945763,286.5551626761556,395.43746889060907,5.822865626593627,1036.98197,3381.87907,5.0,0.0
2023-06-21 19:00:00,2024-07-17 00:00:00,3.1,2.6302076269464454,286.43453630064323,285.0778463357243,12.986590986981692,1.352111130574791,1045.13582,2939.68223,0.0,0.0
2023-06-21 20:00:00,2024-07-17 00:00:00,3.1,2.6302076269464454,286.43453630064323,285.0778463357243,12.986590986981692,1.352111130574791,1047.57663,2320.54005,0.0,0.0
2023-06-21 21:00:00,2024-07-17 00:00:00,3.1,2.6302076269464454,286.43453630064323,285.0778463357243,12.986590986981692,1.352111130574791,1046.13715,1859.1998,0.0,0.0
2023-06-21 22:00:00,2024-07-17 00:00:00,3.1,2.544176730321616,285.82963618682595,284.4848639275775,6.493829194612696,2.466407350251894,1040.48616,1499.96762,0.0,0.0
2023-06-21 23:00:00,2024-07-17 00:00:00,3.1,2.544176730321616,285.82963618682595,284.4848639275775,6.493829194612696,2.466407350251894,1046.73423,1258.69578,0.0,0.0
2023-06-22 00:00:00,2024-07-17 00:00:00,3.1,2.544176730321616,285.82963618682595,284.4848639275775,6.493829194612696,2.466407350251894,997.21224,911.32947,8.54263,1.19235
2023-06-22 01:00:00,2024-07-17 00:00:00,3.1,2.325431311406049,284.8557387505478,283.78788282067774,0.0,0.7714249975417822,988.76169,609.39867,9.99141,1.34097
2023-06-22 02:00:00,2024-07-17 00:00:00,3.1,2.325431311406049,284.8557387505478,283.78788282067774,0.0,0.7714249975417822,979.2753,468.44308,0.0,1.69913
2023-06-22 03:00:00,2024-07-17 00:00:00,3.1,2.325431311406049,284.8557387505478,283.78788282067774,0.0,0.7714249975417822,973.94066,778.32294,0.0,2.93004
2023-06-22 04:00:00,2024-07-17 00:00:00,3.1,2.160958143602271,286.186554955321,284.2239497743013,34.53467376010021,1.150875318930289,982.98779,1236.5187,0.0,4.09095
2023-06-22 05:00:00,2024-07-17 00:00:00,3.1,2.160958143602271,286.186554955321,284.2239497743013,34.53467376010021,1.150875318930289,990.17224,1697.79161,24.83908,5.02752
2023-06-22 06:00:00,2024-07-17 00:00:00,3.1,2.160958143602271,286.186554955321,284.2239497743013,34.53467376010021,1.150875318930289,996.77677,2054.4881,97.44906,5.46519
2023-06-22 07:00:00,2024-07-17 00:00:00,3.1,2.7104832964490813,290.5157670314276,282.485695093029,475.6256952122618,0.1694947865216041,994.79637,2097.33659,135.70677,5.48224
2023-06-22 08:00:00,2024-07-17 00:00:00,3.1,2.7104832964490813,290.5157670314276,282.485695093029,475.6256952122618,0.1694947865216041,1027.86979,1979.15258,184.77982,5.75967
2023-06-22 09:00:00,2024-07-17 00:00:00,3.1,2.7104832964490813,290.5157670314276,282.485695093029,475.6256952122618,0.1694947865216041,1034.57638,1917.96675,256.94256,6.40689
2023-06-22 10:00:00,2024-07-17 00:00:00,3.1,3.16084049163456,293.7096864300106,280.56675498234256,658.3150253500207,0.2305956315401189,1004.28037,1827.90359,308.7797,7.21119
2023-06-22 11:00:00,2024-07-17 00:00:00,3.1,3.16084049163456,293.7096864300106,280.56675498234256,658.3150253500207,0.2305956315401189,1018.24184,1587.47124,304.17677,7.69728
2023-06-22 12:00:00,2024-07-17 00:00:00,3.1,3.16084049163456,293.7096864300106,280.56675498234256,658.3150253500207,0.2305956315401189,975.29914,1265.51156,329.32109,7.70938
2023-06-22 13:00:00,2024-07-17 00:00:00,3.1,3.311862439924273,293.8648406434722,280.1340124344091,767.5468915492602,0.0173638817457973,1015.35469,1009.01627,310.95467,7.56603
2023-06-22 14:00:00,2024-07-17 00:00:00,3.1,3.311862439924273,293.8648406434722,280.1340124344091,767.5468915492602,0.0173638817457973,1013.02173,1264.0166,282.55481,7.9385
2023-06-22 15:00:00,2024-07-17 00:00:00,3.1,3.311862439924273,293.8648406434722,280.1340124344091,767.5468915492602,0.0173638817457973,1012.1918,1673.61393,208.23206,8.249
2023-06-22 16:00:00,2024-07-17 00:00:00,3.1,2.788971919154908,290.1550622526141,282.8683723535724,556.5285676599215,0.0568269538640914,1037.56229,2227.23077,139.81466,8.51716
2023-06-22 17:00:00,2024-07-17 00:00:00,3.1,2.788971919154908,290.1550622526141,282.8683723535724,556.5285676599215,0.0568269538640914,1034.43701,2649.40312,107.0631,9.10053
2023-06-22 18:00:00,2024-07-17 00:00:00,3.1,2.788971919154908,290.1550622526141,282.8683723535724,556.5285676599215,0.0568269538640914,1029.76569,2866.37779,34.85963,9.77102
2023-06-22 19:00:00,2024-07-17 00:00:00,3.1,2.4011725508786688,284.91665901172075,280.89624048441215,22.77730810924744,0.0175177765036348,1037.87904,2573.65888,0.95355,9.88969
2023-06-22 20:00:00,2024-07-17 00:00:00,3.1,2.4011725508786688,284.91665901172075,280.89624048441215,22.77730810924744,0.0175177765036348,1040.2985,2124.17494,0.0,10.37618
2023-06-22 21:00:00,2024-07-17 00:00:00,3.1,2.4011725508786688,284.91665901172075,280.89624048441215,22.77730810924744,0.0175177765036348,1038.91099,1747.90974,0.0,9.68658
2023-06-22 22:00:00,2024-07-17 00:00:00,3.1,2.199728314905904,283.4037722671087,279.88188721033805,11.38851458155806,0.0197276749628615,1033.26739,1418.19035,0.0,8.97039
2023-06-22 23:00:00,2024-07-17 00:00:00,3.1,2.199728314905904,283.4037722671087,279.88188721033805,11.38851458155806,0.0197276749628615,1039.56255,1179.7227,11.19293,9.60188
2023-06-23 00:00:00,2024-07-17 00:00:00,3.1,2.199728314905904,283.4037722671087,279.88188721033805,11.38851458155806,0.0197276749628615,989.75833,824.50377,10.72081,5.69779
2023-06-23 01:00:00,2024-07-17 00:00:00,3.1,1.9810317299614049,282.4562376106318,278.8368501463465,0.0,0.0,981.33132,565.49555,0.12126,5.54614
