,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Other,Solar,Wind Onshore,Wind Offshore
2019-01-05 15:00:00+00:00,341.0,1926.0,5.0,1708.0,0.0,21.0,9.0,546.0,2.0,120.0,1.0,32.0,254.0,457.0,
2019-01-05 16:00:00+00:00,343.0,2081.0,5.0,1759.0,0.0,749.0,6.0,998.0,1.0,368.0,1.0,32.0,101.0,593.0,
2019-01-05 17:00:00+00:00,344.0,1980.0,5.0,1716.0,0.0,930.0,3.0,1199.0,1.0,534.0,1.0,33.0,3.0,775.0,
2019-01-05 18:00:00+00:00,337.0,2154.0,6.0,1756.0,0.0,1008.0,1.0,1242.0,1.0,624.0,1.0,33.0,0.0,781.0,
2019-01-05 19:00:00+00:00,341.0,2197.0,6.0,1756.0,0.0,580.0,2.0,1266.0,1.0,741.0,1.0,34.0,0.0,809.0,
2019-01-05 20:00:00+00:00,339.0,2064.0,6.0,1756.0,0.0,9.0,3.0,1109.0,1.0,461.0,1.0,33.0,0.0,891.0,
2019-01-05 21:00:00+00:00,341.0,2010.0,6.0,1757.0,0.0,0.0,3.0,1056.0,1.0,318.0,1.0,33.0,0.0,1106.0,
2019-01-05 22:00:00+00:00,335.0,1644.0,7.0,1757.0,0.0,55.0,4.0,706.0,2.0,112.0,1.0,34.0,0.0,1238.0,
2019-01-05 23:00:00+00:00,333.0,1021.0,11.0,1483.0,0.0,0.0,252.0,526.0,2.0,112.0,1.0,33.0,0.0,1294.0,
2019-01-06 00:00:00+00:00,335.0,603.0,16.0,1068.0,7.0,0.0,491.0,232.0,2.0,112.0,1.0,33.0,0.0,1382.0,
2019-01-06 01:00:00+00:00,332.0,449.0,16.0,990.0,10.0,0.0,822.0,132.0,3.0,112.0,1.0,33.0,0.0,1523.0,
2019-01-06 02:00:00+00:00,334.0,450.0,15.0,936.0,11.0,0.0,1136.0,90.0,2.0,112.0,1.0,34.0,0.0,1635.0,
2019-01-06 03:00:00+00:00,332.0,447.0,15.0,952.0,6.0,0.0,1349.0,89.0,3.0,63.0,1.0,34.0,0.0,1724.0,
2019-01-06 04:00:00+00:00,332.0,445.0,15.0,956.0,6.0,0.0,1312.0,93.0,3.0,62.0,1.0,33.0,0.0,1596.0,
2019-01-06 05:00:00+00:00,329.0,446.0,14.0,953.0,7.0,0.0,1161.0,91.0,3.0,62.0,1.0,32.0,0.0,1406.0,
2019-01-06 06:00:00+00:00,331.0,446.0,13.0,947.0,7.0,0.0,1068.0,131.0,2.0,62.0,1.0,30.0,0.0,1382.0,
2019-01-06 07:00:00+00:00,334.0,445.0,13.0,944.0,6.0,0.0,1011.0,205.0,3.0,62.0,1.0,31.0,0.0,1417.0,
2019-01-06 08:00:00+00:00,337.0,448.0,14.0,958.0,6.0,0.0,766.0,346.0,2.0,64.0,1.0,33.0,57.0,1480.0,
2019-01-06 09:00:00+00:00,339.0,534.0,12.0,1140.0,7.0,59.0,198.0,588.0,1.0,122.0,1.0,32.0,205.0,1474.0,
2019-01-06 10:00:00+00:00,338.0,691.0,11.0,1180.0,8.0,5.0,212.0,663.0,1.0,176.0,1.0,32.0,308.0,1346.0,
2019-01-06 11:00:00+00:00,338.0,681.0,11.0,1180.0,6.0,0.0,44.0,670.0,1.0,183.0,0.0,32.0,371.0,1246.0,
2019-01-06 12:00:00+00:00,335.0,673.0,11.0,1180.0,8.0,0.0,31.0,748.0,1.0,174.0,1.0,33.0,384.0,1188.0,
2019-01-06 13:00:00+00:00,336.0,704.0,11.0,1180.0,6.0,0.0,53.0,485.0,1.0,112.0,1.0,33.0,371.0,1171.0,
2019-01-06 14:00:00+00:00,339.0,644.0,11.0,1169.0,6.0,0.0,550.0,489.0,1.0,112.0,1.0,32.0,334.0,1213.0,
2019-01-06 15:00:00+00:00,341.0,655.0,9.0,1088.0,6.0,0.0,639.0,554.0,1.0,115.0,1.0,32.0,251.0,1181.0,
2019-01-06 16:00:00+00:00,337.0,678.0,9.0,1180.0,7.0,13.0,25.0,587.0,1.0,123.0,1.0,32.0,104.0,1363.0,
2019-01-06 17:00:00+00:00,338.0,696.0,9.0,1180.0,7.0,497.0,33.0,858.0,1.0,311.0,1.0,32.0,4.0,1676.0,
2019-01-06 18:00:00+00:00,337.0,761.0,9.0,1180.0,6.0,591.0,2.0,999.0,1.0,354.0,1.0,32.0,0.0,1821.0,
2019-01-06 19:00:00+00:00,335.0,760.0,9.0,1180.0,6.0,652.0,2.0,1082.0,1.0,261.0,1.0,32.0,0.0,1957.0,
2019-01-06 20:00:00+00:00,331.0,762.0,10.0,1180.0,6.0,858.0,2.0,1120.0,1.0,305.0,1.0,32.0,0.0,2038.0,
2019-01-06 21:00:00+00:00,331.0,762.0,9.0,1180.0,7.0,646.0,2.0,1105.0,1.0,233.0,1.0,32.0,0.0,2135.0,
2019-01-06 22:00:00+00:00,332.0,762.0,11.0,1180.0,7.0,179.0,24.0,857.0,1.0,179.0,1.0,32.0,0.0,2231.0,
2019-01-06 23:00:00+00:00,332.0,591.0,12.0,1121.0,8.0,0.0,500.0,439.0,1.0,112.0,1.0,33.0,0.0,2289.0,
2019-01-07 00:00:00+00:00,335.0,440.0,13.0,934.0,12.0,0.0,964.0,233.0,2.0,112.0,1.0,32.0,0.0,2270.0,
2019-01-07 01:00:00+00:00,339.0,442.0,13.0,930.0,17.0,0.0,1319.0,83.0,3.0,112.0,1.0,33.0,0.0,2336.0,
2019-01-07 02:00:00+00:00,339.0,440.0,14.0,927.0,22.0,0.0,1745.0,87.0,3.0,71.0,1.0,33.0,0.0,2374.0,
2019-01-07 03:00:00+00:00,333.0,440.0,16.0,995.0,13.0,0.0,1700.0,119.0,2.0,63.0,1.0,33.0,0.0,2280.0,
2019-01-07 04:00:00+00:00,337.0,523.0,19.0,1079.0,4.0,0.0,1669.0,95.0,3.0,114.0,1.0,33.0,0.0,2178.0,
2019-01-07 05:00:00+00:00,337.0,802.0,14.0,1214.0,0.0,0.0,926.0,147.0,2.0,112.0,1.0,31.0,0.0,2063.0,
2019-01-07 06:00:00+00:00,337.0,1333.0,6.0,1572.0,0.0,410.0,5.0,581.0,2.0,115.0,1.0,31.0,0.0,1972.0,
2019-01-07 07:00:00+00:00,335.0,1972.0,3.0,1733.0,0.0,1075.0,3.0,736.0,1.0,168.0,1.0,32.0,0.0,1920.0,
2019-01-07 08:00:00+00:00,330.0,2525.0,3.0,1758.0,0.0,1091.0,3.0,905.0,1.0,188.0,1.0,33.0,58.0,1825.0,
2019-01-07 09:00:00+00:00,334.0,2614.0,4.0,1758.0,0.0,1202.0,3.0,1020.0,1.0,278.0,1.0,32.0,213.0,1796.0,
2019-01-07 10:00:00+00:00,331.0,2594.0,4.0,1757.0,0.0,857.0,3.0,927.0,1.0,259.0,1.0,33.0,322.0,1658.0,
2019-01-07 11:00:00+00:00,336.0,2645.0,3.0,1756.0,0.0,661.0,4.0,933.0,2.0,257.0,0.0,36.0,372.0,1391.0,
2019-01-07 12:00:00+00:00,340.0,2606.0,3.0,1756.0,0.0,794.0,4.0,936.0,1.0,182.0,1.0,35.0,384.0,1089.0,
2019-01-07 13:00:00+00:00,335.0,2625.0,3.0,1757.0,0.0,173.0,5.0,784.0,1.0,87.0,1.0,35.0,374.0,875.0,
2019-01-07 14:00:00+00:00,338.0,2621.0,3.0,1756.0,0.0,208.0,5.0,756.0,1.0,125.0,1.0,35.0,338.0,776.0,
2019-01-07 15:00:00+00:00,334.0,2636.0,3.0,1757.0,0.0,420.0,7.0,691.0,2.0,188.0,1.0,37.0,255.0,761.0,
2019-01-07 16:00:00+00:00,325.0,2708.0,3.0,1756.0,0.0,497.0,7.0,586.0,1.0,201.0,1.0,36.0,107.0,951.0,
2019-01-07 17:00:00+00:00,332.0,2695.0,3.0,1754.0,0.0,1503.0,3.0,1320.0,1.0,310.0,1.0,36.0,4.0,1239.0,
2019-01-07 18:00:00+00:00,336.0,2610.0,3.0,1755.0,0.0,1487.0,3.0,1363.0,1.0,406.0,1.0,36.0,0.0,1500.0,
2019-01-07 19:00:00+00:00,341.0,2574.0,3.0,1756.0,0.0,953.0,4.0,1267.0,1.0,211.0,1.0,36.0,0.0,1728.0,
2019-01-07 20:00:00+00:00,343.0,2538.0,3.0,1757.0,0.0,690.0,4.0,948.0,1.0,137.0,1.0,36.0,0.0,1926.0,
2019-01-07 21:00:00+00:00,341.0,2204.0,5.0,1756.0,0.0,498.0,4.0,695.0,2.0,112.0,1.0,36.0,0.0,2008.0,
2019-01-07 22:00:00+00:00,344.0,1881.0,8.0,1756.0,0.0,363.0,4.0,537.0,2.0,112.0,1.0,36.0,0.0,2015.0,
2019-01-07 23:00:00+00:00,344.0,1367.0,11.0,1697.0,0.0,121.0,25.0,377.0,2.0,112.0,1.0,36.0,0.0,2108.0,
2019-01-08 00:00:00+00:00,344.0,912.0,15.0,1463.0,0.0,0.0,472.0,291.0,2.0,112.0,1.0,36.0,0.0,2221.0,
2019-01-08 01:00:00+00:00,343.0,880.0,14.0,1348.0,0.0,0.0,756.0,82.0,2.0,112.0,1.0,36.0,0.0,2308.0,
2019-01-08 02:00:00+00:00,343.0,871.0,13.0,1279.0,0.0,0.0,1107.0,80.0,3.0,112.0,1.0,36.0,0.0,2286.0,
2019-01-08 03:00:00+00:00,343.0,877.0,13.0,1214.0,0.0,0.0,873.0,85.0,2.0,112.0,1.0,35.0,0.0,2275.0,
2019-01-08 04:00:00+00:00,339.0,887.0,14.0,1207.0,0.0,0.0,1003.0,96.0,2.0,112.0,1.0,36.0,0.0,2084.0,
2019-01-08 05:00:00+00:00,328.0,1175.0,13.0,1366.0,0.0,0.0,369.0,148.0,2.0,112.0,1.0,35.0,0.0,1901.0,
2019-01-08 06:00:00+00:00,313.0,1443.0,7.0,1665.0,0.0,72.0,9.0,307.0,2.0,102.0,1.0,33.0,0.0,1760.0,
2019-01-08 07:00:00+00:00,312.0,2038.0,5.0,1757.0,0.0,309.0,6.0,430.0,2.0,285.0,1.0,35.0,0.0,1848.0,
