UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-11-28 03:00:00,2024-07-17 00:00:00,3.1,2.0661234524007024,270.85096180175844,263.8927516664186,1.0280489632070051,0.0095403496185721,812.31167,1152.93911,9513.72679,9.75567,121.77602,129.96784
2023-11-28 04:00:00,2024-07-17 00:00:00,3.1,2.0205549141410053,270.3506050124321,263.3229784188401,0.5141827682410001,0.0237901670184693,802.13123,1154.01429,9325.09406,0.9257,123.85977,129.49741
2023-11-28 05:00:00,2024-07-17 00:00:00,3.1,2.0205549141410053,270.3506050124321,263.3229784188401,0.5141827682410001,0.0237901670184693,787.48299,1153.85295,8990.94874,0.0,131.37542,130.55619
2023-11-28 06:00:00,2024-07-17 00:00:00,3.1,2.0205549141410053,270.3506050124321,263.3229784188401,0.5141827682410001,0.0237901670184693,766.11968,1153.34985,8427.01596,0.0,137.4631,132.47161
2023-11-28 07:00:00,2024-07-17 00:00:00,3.1,1.9765684513989783,269.9513005587597,262.99285343431427,0.0,0.0045056065869791,777.46704,1153.29321,7586.98185,0.0,141.21712,132.69363
2023-11-28 08:00:00,2024-07-17 00:00:00,3.1,1.9765684513989783,269.9513005587597,262.99285343431427,0.0,0.0045056065869791,779.3605,1150.62291,6852.41629,0.0,143.69799,133.03304
2023-11-28 09:00:00,2024-07-17 00:00:00,3.1,1.9765684513989783,269.9513005587597,262.99285343431427,0.0,0.0045056065869791,786.30411,1149.47988,6346.72755,0.0,120.44214,134.66239
2023-11-28 10:00:00,2024-07-17 00:00:00,3.1,1.9416669119754333,269.53933733549894,262.7622060362322,0.0,0.0101000719030662,799.22286,1148.95522,6166.41898,0.0,112.55809,137.26879
2023-11-28 11:00:00,2024-07-17 00:00:00,3.1,1.9416669119754333,269.53933733549894,262.7622060362322,0.0,0.0101000719030662,799.79695,1151.11072,6292.57496,0.0,111.30237,138.11471
2023-11-28 12:00:00,2024-07-17 00:00:00,3.1,1.9416669119754333,269.53933733549894,262.7622060362322,0.0,0.0101000719030662,796.81565,1153.56142,6759.8176,0.0,97.68241,137.04772
2023-11-28 13:00:00,2024-07-17 00:00:00,3.1,1.853501035486804,269.3759247776195,262.7376291312634,1.2699729059674765,0.002756224425439,777.92233,1153.04296,7330.94556,0.0,99.60528,138.15926
2023-11-28 14:00:00,2024-07-17 00:00:00,3.1,1.853501035486804,269.3759247776195,262.7376291312634,1.2699729059674765,0.002756224425439,765.26406,1152.08135,7811.74929,8.91736,118.73601,137.22284
2023-11-28 15:00:00,2024-07-17 00:00:00,3.1,1.853501035486804,269.3759247776195,262.7376291312634,1.2699729059674765,0.002756224425439,739.81964,1151.66786,8165.69075,22.69099,123.75343,136.98607
2023-11-28 16:00:00,2024-07-17 00:00:00,3.1,1.783663758744108,274.6417518070747,264.29444941816786,88.52877136271877,0.0034136768883148,732.2746,1150.35702,8351.61665,32.98101,128.95747,137.67463
