UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_biomass_production_forecast,avg_unknown_production_forecast
2023-06-04 07:00:00,2024-07-17 00:00:00,3.1,4.648211337785692,288.4807800985569,282.2307685729287,511.5073270708892,0.0012633460615852,3381.29144,14221.9215,1936.25256,0.0,5993.8667,7008.43043,1246.3206,17209.30968
2023-06-04 08:00:00,2024-07-17 00:00:00,3.1,4.648211337785692,288.4807800985569,282.2307685729287,511.5073270708892,0.0012633460615852,3353.21678,14454.55703,1935.42051,0.0,8520.54692,6973.04927,1247.02161,19138.22683
2023-06-04 09:00:00,2024-07-17 00:00:00,3.1,4.648211337785692,288.4807800985569,282.2307685729287,511.5073270708892,0.0012633460615852,3401.80763,15165.40592,1936.94105,0.0,11447.7601,7140.05242,1257.28945,20331.49481
2023-06-04 10:00:00,2024-07-17 00:00:00,3.1,5.0498006073470965,290.69134794351766,282.5207400985107,671.6358601847194,0.0015787161866539,3487.04764,15808.99601,1934.0705,0.0,13690.55922,7241.80606,1258.56949,20602.08039
2023-06-04 11:00:00,2024-07-17 00:00:00,3.1,5.0498006073470965,290.69134794351766,282.5207400985107,671.6358601847194,0.0015787161866539,3588.20126,16692.24096,1933.05399,0.0,16194.24883,7371.33974,1253.73909,20921.3531
2023-06-04 12:00:00,2024-07-17 00:00:00,3.1,5.0498006073470965,290.69134794351766,282.5207400985107,671.6358601847194,0.0015787161866539,3563.96489,17393.66649,1930.44356,0.0,17841.10053,7391.65338,1241.40071,21672.71764
2023-06-04 13:00:00,2024-07-17 00:00:00,3.1,5.852411028117665,291.02354883355173,282.870972078455,797.8797614012993,0.0,3490.48955,18103.97413,1901.80749,0.0,17890.52699,7546.75586,1252.63179,21250.85135
2023-06-04 14:00:00,2024-07-17 00:00:00,3.1,5.852411028117665,291.02354883355173,282.870972078455,797.8797614012993,0.0,3363.22281,18856.10629,1897.398,0.0,16012.23239,7397.07799,1251.67477,20724.76031
2023-06-04 15:00:00,2024-07-17 00:00:00,3.1,5.852411028117665,291.02354883355173,282.870972078455,797.8797614012993,0.0,3259.97531,19487.17354,1904.72971,0.0,14979.63141,7331.03886,1254.39862,20657.18564
2023-06-04 16:00:00,2024-07-17 00:00:00,3.1,6.262295401651018,288.9942366690558,283.870661677298,609.2955622911963,0.0,3416.73302,19950.78847,1898.17815,0.0,11909.57377,7316.12552,1260.80656,20453.62144
2023-06-04 17:00:00,2024-07-17 00:00:00,3.1,6.262295401651018,288.9942366690558,283.870661677298,609.2955622911963,0.0,3585.23016,20092.52586,1899.67881,0.0,9308.71076,7338.02328,1252.77923,20444.03115
2023-06-04 18:00:00,2024-07-17 00:00:00,3.1,6.262295401651018,288.9942366690558,283.870661677298,609.2955622911963,0.0,3848.61191,19907.73494,1904.70822,0.0,6196.69136,7182.61315,1252.13999,19811.97353
2023-06-04 19:00:00,2024-07-17 00:00:00,3.1,5.959277508474295,285.82185134613144,282.89144306513987,43.70778866217847,0.0041072738711347,3990.88785,20231.87002,1935.33365,0.0,3756.11234,7059.17773,1252.34306,18816.9623
2023-06-04 20:00:00,2024-07-17 00:00:00,3.1,5.959277508474295,285.82185134613144,282.89144306513987,43.70778866217847,0.0041072738711347,4066.32861,20171.69994,1910.67883,0.0,2442.22634,7035.89934,1262.43891,17991.84677
2023-06-04 21:00:00,2024-07-17 00:00:00,3.1,5.959277508474295,285.82185134613144,282.89144306513987,43.70778866217847,0.0041072738711347,4076.85431,20019.55538,1902.30078,0.0,639.02502,6961.82364,1260.40836,17048.07495
2023-06-04 22:00:00,2024-07-17 00:00:00,3.1,5.189692546494952,284.0691963921547,282.2031092436495,21.853365246915523,0.0120064514883356,4030.50263,20391.72937,1928.41122,0.0,0.0,6904.33777,1261.09641,15657.36273
2023-06-04 23:00:00,2024-07-17 00:00:00,3.1,5.189692546494952,284.0691963921547,282.2031092436495,21.853365246915523,0.0120064514883356,4008.6643,20626.42969,1911.61465,0.0,0.0,6960.12216,1273.45695,14274.21927
2023-06-05 00:00:00,2024-07-17 00:00:00,3.1,5.189692546494952,284.0691963921547,282.2031092436495,21.853365246915523,0.0120064514883356,4102.65033,22323.42639,1947.96885,0.0,0.0,4912.55313,1259.54433,13884.54193
2023-06-05 01:00:00,2024-07-17 00:00:00,3.1,4.55074970285828,282.9735288890788,281.46257359752497,0.0,0.0041277654824017,4220.70284,21494.90352,1944.06441,0.0,0.0,4952.85887,1268.50929,13225.76265
2023-06-05 02:00:00,2024-07-17 00:00:00,3.1,4.55074970285828,282.9735288890788,281.46257359752497,0.0,0.0041277654824017,4305.94189,20761.65354,1942.99487,0.0,0.0,5034.91245,1267.74568,13201.59122
2023-06-05 03:00:00,2024-07-17 00:00:00,3.1,4.55074970285828,282.9735288890788,281.46257359752497,0.0,0.0041277654824017,4291.78305,19654.65361,1945.48689,0.0,0.0,5037.48343,1273.7206,13178.11754
2023-06-05 04:00:00,2024-07-17 00:00:00,3.1,4.845688396675099,285.12051994741563,281.8816604195107,49.92690430324799,0.0073464883894784,4272.49582,18710.79601,1937.95025,0.0,0.0,5182.01586,1273.52449,13405.08984
2023-06-05 05:00:00,2024-07-17 00:00:00,3.1,4.845688396675099,285.12051994741563,281.8816604195107,49.92690430324799,0.0073464883894784,4266.53874,17896.63408,1943.19602,0.0,90.40201,5378.88319,1272.50076,13805.51834
2023-06-05 06:00:00,2024-07-17 00:00:00,3.1,4.845688396675099,285.12051994741563,281.8816604195107,49.92690430324799,0.0073464883894784,4198.02353,17194.46991,1949.25121,0.0,1507.36789,5471.07414,1201.77188,14944.24461
2023-06-05 07:00:00,2024-07-17 00:00:00,3.1,4.701599701885669,288.73028695059907,282.5407606135583,507.3076911783858,0.0,4175.97682,16716.93969,1936.25256,0.0,3253.9493,5470.72725,1255.66257,16448.32002
2023-06-05 08:00:00,2024-07-17 00:00:00,3.1,4.701599701885669,288.73028695059907,282.5407606135583,507.3076911783858,0.0,4159.13876,16956.83203,1935.42051,0.0,4637.28422,5471.42625,1256.29843,17965.25215
2023-06-05 09:00:00,2024-07-17 00:00:00,3.1,4.701599701885669,288.73028695059907,282.5407606135583,507.3076911783858,0.0,4221.89458,17727.83557,1936.94105,0.0,6251.01865,5650.62348,1266.59638,18894.48177
2023-06-05 10:00:00,2024-07-17 00:00:00,3.1,5.205129245686187,290.9330423307602,282.9720280915916,668.201384775457,0.0009479759365165,4330.87072,18456.90665,1934.0705,0.0,7500.77123,5770.44758,1267.90323,19119.95405
2023-06-05 11:00:00,2024-07-17 00:00:00,3.1,5.205129245686187,290.9330423307602,282.9720280915916,668.201384775457,0.0009479759365165,4433.59596,19486.32542,1933.05399,0.0,8952.4889,5919.28999,1262.91214,19406.08287
2023-06-05 12:00:00,2024-07-17 00:00:00,3.1,5.205129245686187,290.9330423307602,282.9720280915916,668.201384775457,0.0009479759365165,4433.06205,20278.22504,1930.44356,0.0,9978.1112,5980.97332,1250.49821,20186.70804
2023-06-05 13:00:00,2024-07-17 00:00:00,3.1,5.671178455232301,291.1181852633966,283.14577209000026,790.1025398302634,0.0,4359.72747,21124.20988,1901.80749,0.0,10128.22863,6162.95022,1261.81914,19940.52033
2023-06-05 14:00:00,2024-07-17 00:00:00,3.1,5.671178455232301,291.1181852633966,283.14577209000026,790.1025398302634,0.0,4256.17354,21989.11082,1897.398,0.0,9215.36112,6069.32134,1260.75968,19623.3788
2023-06-05 15:00:00,2024-07-17 00:00:00,3.1,5.671178455232301,291.1181852633966,283.14577209000026,790.1025398302634,0.0,4187.89714,22658.01182,1904.72971,0.0,8767.42059,6041.26838,1263.43479,19681.38572
2023-06-05 16:00:00,2024-07-17 00:00:00,3.1,5.738325543554977,289.1927072776946,283.78461059143484,602.2446120332572,0.0,4290.07197,23158.38417,1898.17815,0.0,7126.75587,6038.84393,1269.889,19620.38901
2023-06-05 17:00:00,2024-07-17 00:00:00,3.1,5.738325543554977,289.1927072776946,283.78461059143484,602.2446120332572,0.0,4349.77095,23344.9916,1899.67881,0.0,5735.05059,6077.9378,1261.77099,19758.60806
2023-06-05 18:00:00,2024-07-17 00:00:00,3.1,5.738325543554977,289.1927072776946,283.78461059143484,602.2446120332572,0.0,4517.3048,23150.7326,1904.70822,0.0,3986.30971,5945.87551,1261.05583,19290.8969
2023-06-05 19:00:00,2024-07-17 00:00:00,3.1,5.170867568477609,285.6722320747352,282.7355117638881,47.382993524543856,0.0020115563043756,4652.04654,23484.80145,1935.33365,0.0,2570.92196,5841.59603,1261.37309,18437.6601
2023-06-05 20:00:00,2024-07-17 00:00:00,3.1,5.170867568477609,285.6722320747352,282.7355117638881,47.382993524543856,0.0020115563043756,4678.86798,23458.09963,1910.67883,0.0,1781.90857,5837.76665,1271.506,17805.86478
2023-06-05 21:00:00,2024-07-17 00:00:00,3.1,5.170867568477609,285.6722320747352,282.7355117638881,47.382993524543856,0.0020115563043756,4651.2117,23300.01978,1902.30078,0.0,648.54422,5798.53354,1269.49888,16990.56086
2023-06-05 22:00:00,2024-07-17 00:00:00,3.1,4.759546905980572,284.22001450912404,282.12187449983503,23.69190430525176,0.0020115563043756,4656.54299,23715.13628,1928.41122,0.0,0.0,5764.12362,1270.16261,15775.06615
2023-06-05 23:00:00,2024-07-17 00:00:00,3.1,4.759546905980572,284.22001450912404,282.12187449983503,23.69190430525176,0.0020115563043756,4680.51014,23922.5781,1911.61465,0.0,0.0,5824.83293,1282.60214,14522.41315
2023-06-06 00:00:00,2024-07-17 00:00:00,3.1,4.759546905980572,284.22001450912404,282.12187449983503,23.69190430525176,0.0020115563043756,4307.87948,20838.57162,1947.96885,0.0,0.0,3789.1434,1290.22581,13384.03525
2023-06-06 01:00:00,2024-07-17 00:00:00,3.1,4.333885746012948,283.2819204852035,281.428328152257,0.0,0.0,4427.1713,20236.7706,1944.06441,0.0,0.0,3854.71445,1299.45254,13093.10206
2023-06-06 02:00:00,2024-07-17 00:00:00,3.1,4.333885746012948,283.2819204852035,281.428328152257,0.0,0.0,4514.33208,19698.98394,1942.99487,0.0,0.0,3946.69428,1298.62611,13392.75463
2023-06-06 03:00:00,2024-07-17 00:00:00,3.1,4.333885746012948,283.2819204852035,281.428328152257,0.0,0.0,4503.41551,18747.88187,1945.48689,0.0,0.0,3975.71952,1304.42723,13561.61139
2023-06-06 04:00:00,2024-07-17 00:00:00,3.1,4.700064704086064,285.6681805718088,281.8440889977717,55.42910322487067,0.0,4484.85956,17999.53232,1937.95025,0.0,0.0,4120.09084,1304.22985,13936.07438
2023-06-06 05:00:00,2024-07-17 00:00:00,3.1,4.700064704086064,285.6681805718088,281.8440889977717,55.42910322487067,0.0,4479.40403,17357.80192,1943.19602,0.0,42.76046,4321.61884,1302.86257,14330.36858
2023-06-06 06:00:00,2024-07-17 00:00:00,3.1,4.700064704086064,285.6681805718088,281.8440889977717,55.42910322487067,0.0,4409.48578,16790.50539,1949.25121,0.0,850.89803,4437.87191,1232.33894,15212.37421
2023-06-06 07:00:00,2024-07-17 00:00:00,3.1,4.796018622327082,289.2085070010676,282.1429825957561,55.42910322487067,0.0,4386.16644,16373.45674,1936.25256,0.0,1852.39022,4467.54719,1285.72757,16301.88159
2023-06-06 08:00:00,2024-07-17 00:00:00,3.1,4.796018622327082,289.2085070010676,282.1429825957561,55.42910322487067,0.0,4369.55649,16571.47366,1935.42051,0.0,2645.23257,4491.78397,1286.15347,17373.83032
2023-06-06 09:00:00,2024-07-17 00:00:00,3.1,4.796018622327082,289.2085070010676,282.1429825957561,55.42910322487067,0.0,4430.75235,17192.01963,1936.94105,0.0,3578.61971,4678.93652,1296.54846,17971.88339
2023-06-06 10:00:00,2024-07-17 00:00:00,3.1,5.3715884063065165,291.36754878309773,282.3109602172592,700.7201041693904,0.0,4534.81397,17738.14251,1934.0705,0.0,4308.87948,4810.55017,1297.94127,18019.88403
2023-06-06 11:00:00,2024-07-17 00:00:00,3.1,5.3715884063065165,291.36754878309773,282.3109602172592,700.7201041693904,0.0,4636.87846,18499.59163,1933.05399,0.0,5173.14096,4971.98842,1292.43337,18048.83934
2023-06-06 12:00:00,2024-07-17 00:00:00,3.1,5.3715884063065165,291.36754878309773,282.3109602172592,700.7201041693904,0.0,4633.29483,18992.35867,1930.44356,0.0,5800.25067,5060.66077,1279.77624,18546.09188
2023-06-06 13:00:00,2024-07-17 00:00:00,3.1,5.762320255060872,291.5273764098638,282.2594002338728,807.3876217106481,0.0,4556.28503,19508.14208,1901.80749,0.0,5918.27242,5260.17026,1291.38642,18209.1468
2023-06-06 14:00:00,2024-07-17 00:00:00,3.1,5.762320255060872,291.5273764098638,282.2594002338728,807.3876217106481,0.0,4453.16891,20066.32983,1897.398,0.0,5419.24721,5203.10802,1289.99698,17825.79537
2023-06-06 15:00:00,2024-07-17 00:00:00,3.1,5.762320255060872,291.5273764098638,282.2594002338728,807.3876217106481,0.0,4388.93368,20514.99476,1904.72971,0.0,5180.33268,5199.83631,1292.51514,17733.74292
2023-06-06 16:00:00,2024-07-17 00:00:00,3.1,5.524857081442277,289.4033360305968,283.2318921446876,621.8277560935938,0.0,4490.21026,20857.54787,1898.17815,0.0,4233.65628,5205.55955,1299.11828,17538.62351
2023-06-06 17:00:00,2024-07-17 00:00:00,3.1,5.524857081442277,289.4033360305968,283.2318921446876,621.8277560935938,0.0,4546.23435,20943.73357,1899.67881,0.0,3424.88932,5255.87106,1290.70862,17549.04988
2023-06-06 18:00:00,2024-07-17 00:00:00,3.1,5.524857081442277,289.4033360305968,283.2318921446876,621.8277560935938,0.0,4711.57887,20779.65676,1904.70822,0.0,2397.30189,5139.04157,1289.74936,17076.56303
2023-06-06 19:00:00,2024-07-17 00:00:00,3.1,4.760211941832564,285.4817115850004,282.3261482577016,50.62164848812447,0.0,4845.75046,21127.15824,1935.33365,0.0,1561.76788,5047.25967,1290.43397,16299.3795
2023-06-06 20:00:00,2024-07-17 00:00:00,3.1,4.760211941832564,285.4817115850004,282.3261482577016,50.62164848812447,0.0,4872.67868,21175.59346,1910.67883,0.0,1090.97856,5056.11781,1300.68601,15835.82413
2023-06-06 21:00:00,2024-07-17 00:00:00,3.1,4.760211941832564,285.4817115850004,282.3261482577016,50.62164848812447,0.0,4839.253,21163.23253,1902.30078,0.0,411.50862,5039.61619,1298.75415,15248.95564
2023-06-06 22:00:00,2024-07-17 00:00:00,3.1,4.398702096260201,283.88858382665614,281.79437747653856,25.31080409746547,0.0,4842.74183,21678.61039,1928.41122,0.0,0.0,5020.26058,1299.33985,14415.68427
2023-06-06 23:00:00,2024-07-17 00:00:00,3.1,4.398702096260201,283.88858382665614,281.79437747653856,25.31080409746547,0.0,4870.93751,22022.32927,1911.61465,0.0,0.0,5084.18328,1312.03322,13576.50503
