UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_unknown_production_forecast
2023-09-30 04:00:00,2024-07-17 00:00:00,3.1,5.238728945621043,282.41382491285435,279.49560606949365,3.2160604303346334,0.4326391362013079,0.08676,4310.69766,7094.03437,5.18231,4121.7765,462.24207
2023-09-30 05:00:00,2024-07-17 00:00:00,3.1,5.238728945621043,282.41382491285435,279.49560606949365,3.2160604303346334,0.4326391362013079,0.0,4326.00268,7746.42638,40.56119,4009.66981,498.60446
2023-09-30 06:00:00,2024-07-17 00:00:00,3.1,5.238728945621043,282.41382491285435,279.49560606949365,3.2160604303346334,0.4326391362013079,0.00105,4334.00836,8197.88002,89.01292,3917.04234,529.07471
2023-09-30 07:00:00,2024-07-17 00:00:00,3.1,5.269231103180081,284.08092843190065,279.30323954671405,161.87446778340197,0.188702365109753,0.0,4359.44527,8330.38248,166.74629,3782.03074,560.60403
2023-09-30 08:00:00,2024-07-17 00:00:00,3.1,5.269231103180081,284.08092843190065,279.30323954671405,161.87446778340197,0.188702365109753,0.0,4366.74002,8297.317,252.12415,3678.0743,586.07936
2023-09-30 09:00:00,2024-07-17 00:00:00,3.1,5.269231103180081,284.08092843190065,279.30323954671405,161.87446778340197,0.188702365109753,0.0,4383.54966,8133.01419,321.14797,3636.88916,593.9321
2023-09-30 10:00:00,2024-07-17 00:00:00,3.1,4.92916906447873,284.9107217692115,278.9817583903971,228.7626968979505,0.3468367592155126,0.0,4360.53059,8004.76386,364.39866,3605.37594,602.5497
2023-09-30 11:00:00,2024-07-17 00:00:00,3.1,4.92916906447873,284.9107217692115,278.9817583903971,228.7626968979505,0.3468367592155126,0.0,4376.36602,7950.64404,372.51485,3589.14154,595.46906
2023-09-30 12:00:00,2024-07-17 00:00:00,3.1,4.92916906447873,284.9107217692115,278.9817583903971,228.7626968979505,0.3468367592155126,0.0,4402.82664,7962.50904,346.97226,3565.10692,576.4583
2023-09-30 13:00:00,2024-07-17 00:00:00,3.1,4.307157806131256,284.2155017092946,279.170024458096,197.7393122622105,0.1304636328048432,0.0,4406.90496,8082.51699,300.09412,3553.84725,549.88475
