UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_wind_production_forecast
2023-02-03 20:00:00,2024-07-17 00:00:00,3.1,7.095730174365194,282.2083581491716,273.1426890029449,414.9199190530817,0.0,1999.06526,1092.33197,244.17296
2023-02-03 21:00:00,2024-07-17 00:00:00,3.1,7.095730174365194,282.2083581491716,273.1426890029449,414.9199190530817,0.0,1981.78564,1123.09847,244.10036
2023-02-03 22:00:00,2024-07-17 00:00:00,3.1,5.686766212920018,278.92631346484234,273.25603921324966,275.78547503287564,0.0,1972.55559,1183.86214,246.66926
2023-02-03 23:00:00,2024-07-17 00:00:00,3.1,5.686766212920018,278.92631346484234,273.25603921324966,275.78547503287564,0.0,1948.52062,1186.17627,257.7511
2023-02-04 00:00:00,2024-07-17 00:00:00,3.1,5.686766212920018,278.92631346484234,273.25603921324966,275.78547503287564,0.0,1985.85094,1091.25969,397.97197
2023-02-04 01:00:00,2024-07-17 00:00:00,3.1,5.510907982626348,277.3960664871978,273.48192683115144,3.300110016216056e-05,0.0,1959.82694,1084.16606,425.06438
2023-02-04 02:00:00,2024-07-17 00:00:00,3.1,5.510907982626348,277.3960664871978,273.48192683115144,3.300110016216056e-05,0.0,1911.54153,1087.00834,455.38614
2023-02-04 03:00:00,2024-07-17 00:00:00,3.1,5.510907982626348,277.3960664871978,273.48192683115144,3.300110016216056e-05,0.0,1881.90134,1078.52856,466.92559
2023-02-04 04:00:00,2024-07-17 00:00:00,3.1,4.979018553926091,276.55044372551845,273.69126396232747,1.6525400352834782e-05,0.0,1849.63443,1092.45816,464.72632
2023-02-04 05:00:00,2024-07-17 00:00:00,3.1,4.979018553926091,276.55044372551845,273.69126396232747,1.6525400352834782e-05,0.0,1836.1246,1086.93531,459.5492
2023-02-04 06:00:00,2024-07-17 00:00:00,3.1,4.979018553926091,276.55044372551845,273.69126396232747,1.6525400352834782e-05,0.0,1814.12574,1077.59364,468.37461
2023-02-04 07:00:00,2024-07-17 00:00:00,3.1,4.353236982717716,276.0146191608619,273.6739468611919,0.0,0.0,1822.98499,1082.22308,494.21987
2023-02-04 08:00:00,2024-07-17 00:00:00,3.1,4.353236982717716,276.0146191608619,273.6739468611919,0.0,0.0,1836.52649,1051.76398,524.76001
2023-02-04 09:00:00,2024-07-17 00:00:00,3.1,4.353236982717716,276.0146191608619,273.6739468611919,0.0,0.0,1825.00771,1022.5104,539.0103
2023-02-04 10:00:00,2024-07-17 00:00:00,3.1,3.610150430124488,275.3295629730449,273.23316366874843,0.0,0.0,1794.51061,1012.84474,540.40417
2023-02-04 11:00:00,2024-07-17 00:00:00,3.1,3.610150430124488,275.3295629730449,273.23316366874843,0.0,0.0,1816.63585,1024.61215,554.47788
2023-02-04 12:00:00,2024-07-17 00:00:00,3.1,3.610150430124488,275.3295629730449,273.23316366874843,0.0,0.0,1811.46419,1036.48539,586.30617
2023-02-04 13:00:00,2024-07-17 00:00:00,3.1,3.495283518896113,277.8560648009642,274.1645517985826,65.59998520817287,0.0,1809.36864,1003.31891,592.12424
2023-02-04 14:00:00,2024-07-17 00:00:00,3.1,3.495283518896113,277.8560648009642,274.1645517985826,65.59998520817287,0.0,1844.99997,1010.46523,604.51166
2023-02-04 15:00:00,2024-07-17 00:00:00,3.1,3.495283518896113,277.8560648009642,274.1645517985826,65.59998520817287,0.0,1883.74427,1020.13136,590.81316
2023-02-04 16:00:00,2024-07-17 00:00:00,3.1,3.72069566907996,283.6377767101146,275.362222287962,269.1069808463909,0.0,1909.71141,1033.16402,582.02445
2023-02-04 17:00:00,2024-07-17 00:00:00,3.1,3.72069566907996,283.6377767101146,275.362222287962,269.1069808463909,0.0,1959.30845,1010.70513,570.4942
2023-02-04 18:00:00,2024-07-17 00:00:00,3.1,3.72069566907996,283.6377767101146,275.362222287962,269.1069808463909,0.0,1972.21156,1015.24237,578.35576
2023-02-04 19:00:00,2024-07-17 00:00:00,3.1,3.370522527671807,285.5987500783657,275.6879024870766,540.5308699184036,0.0,1969.60356,1028.02702,559.6469
2023-02-04 20:00:00,2024-07-17 00:00:00,3.1,3.370522527671807,285.5987500783657,275.6879024870766,540.5308699184036,0.0,1953.96117,1073.24985,536.78453
